date,impact_real_pips,direction,amp_optimal,error_baseline,r2_inversion,duration_hours,reversal_type,quality_score
2025-10-01,38.000000000000256,-1,1.6131676182275587,20.89034649999973,0.02548917088147672,29.033333333333335,PEAK,0.22951522679926528
2025-09-02,36.399999999998656,1,1.5452447711442256,22.49034650000133,0.06474815684918621,116.45,PEAK,0.22434426995243947
2025-07-01,32.10000000000157,-1,1.3627021196080742,26.790346499998414,0.7027512365298622,25.066666666666666,TROUGH,0.43211355135678353
2025-06-02,33.10000000000146,1,1.4051538990351102,25.790346499998527,0.471215376048,71.96666666666667,TROUGH,0.40370259879753634
2025-05-01,49.59999999999853,-1,2.105608259581158,9.290346500001455,0.833395280284716,64.75,PEAK,0.20082687570158567
2025-04-01,20.400000000000418,1,0.8660163003116487,38.49034649999957,0.15883530766248816,30.633333333333333,PEAK,0.5995598874588481
2025-03-03,19.500000000001183,1,0.8278096988273446,39.3903464999988,0.5964291336352798,66.7,TROUGH,0.6916417857725878
2025-02-03,77.49999999999923,1,3.290012905595624,18.609653499999247,0.9396749392987432,101.75,PEAK,0.5385212744057872
2024-12-02,26.700000000001722,-1,1.1334625107020608,32.19034649999826,0.6826582961603864,65.2,PEAK,0.7731598620031639
2024-10-01,21.999999999999797,1,0.9339391473948876,36.89034650000019,0.8067559674582894,28.8,PEAK,0.5057890489578176
2024-09-03,20.599999999999508,-1,0.8745066561970182,38.29034650000048,0.543000989475438,29.416666666666668,PEAK,0.3116161145620936
