date,cluster,impact_real,impact_baseline,impact_inversion,error_baseline,error_inversion,amp_optimal,amp_inversion,r2_inversion,gain
2025-09-11,Cluster #3 (CPI),57.10000000000104,56.992125,43.09189293064055,0.10787500000103734,14.008107069360491,2.5373717473398947,1.8902564578281886,0.6376423334826076,-13.900232069359454
2025-08-12,Cluster #3 (CPI),62.499999999998664,56.992125,41.68276094108082,5.507874999998663,20.817239058917842,4.9999936677422125,1.8284438833032115,0.428811685295364,-15.30936405891918
2025-07-15,Cluster #3 (CPI),45.29999999999923,56.992125,38.90271639777547,11.692125000000772,6.397283602223759,2.0130106898011864,1.706495256922578,0.0168144357337687,5.294841397777013
2025-06-11,Cluster #3 (CPI),54.00000000000071,56.992125,41.264510498832415,2.992124999999291,12.735489501168296,2.3996141067970127,1.810097030898234,0.3668277749119039,-9.743364501169005
2025-05-13,Cluster #3 (CPI),34.600000000000186,56.992125,41.56148286886241,22.392124999999815,6.961482868862227,1.5375337874555182,1.823123934616511,0.4108385084603226,15.430642131137589
2025-04-10,Cluster #3 (CPI),40.10000000000069,56.992125,39.388826287897494,16.89212499999931,0.7111737121031965,1.7819388163550065,1.7278188121559552,0.0888549856584977,16.180951287896114
2025-10-01,Cluster #1 (Manufacturing),38.000000000000256,58.890346499999985,40.25892312883329,20.89034649999973,2.2589231288330325,1.6131676182275587,1.7090629246354194,0.0254891708814767,18.631423371166697
2025-09-02,Cluster #1 (Manufacturing),36.399999999998656,58.890346499999985,40.53265525763817,22.49034650000133,4.132655257639513,1.5452447711442256,1.7206833405895385,0.0647481568491862,18.357691242361817
2025-07-01,Cluster #1 (Manufacturing),32.10000000000157,58.890346499999985,44.98111302801217,26.790346499998414,12.881113028010596,1.3627021196080742,1.909528288647961,0.7027512365298622,13.909233471987818
2025-06-02,Cluster #1 (Manufacturing),33.10000000000146,58.890346499999985,43.36673602814521,25.790346499998527,10.266736028143754,1.4051538990351102,1.840995112337521,0.471215376048,15.523610471854774
2025-05-01,Cluster #1 (Manufacturing),49.59999999999853,58.890346499999985,45.892024793336624,9.290346500001455,3.7079752066619065,2.105608259581158,1.9481981139870108,0.833395280284716,5.582371293339548
2025-04-01,Cluster #1 (Manufacturing),20.400000000000414,58.890346499999985,41.188675158572295,38.490346499999575,20.78867515857188,0.8660163003116487,1.748532552723743,0.1588353076624881,17.701671341427694
2025-03-03,Cluster #1 (Manufacturing),19.500000000001183,58.890346499999985,44.23978528235202,39.3903464999988,24.739785282350834,0.8278096988273446,1.8780576067060508,0.5964291336352798,14.650561217647965
2025-02-03,Cluster #1 (Manufacturing),77.49999999999923,58.890346499999985,46.633056600283815,18.609653499999247,30.866943399715417,3.290012905595624,1.9796562328039546,0.9396749392987432,-12.25728989971617
2024-12-02,Cluster #1 (Manufacturing),26.70000000000172,58.890346499999985,44.841015590299186,32.19034649999827,18.141015590297467,1.1334625107020608,1.9035809031238757,0.6826582961603864,14.049330909700803
2024-10-01,Cluster #1 (Manufacturing),21.999999999999797,58.890346499999985,45.70628296557075,36.89034650000019,23.706282965570953,0.9339391473948876,1.940313042884319,0.8067559674582894,13.184063534429239
2024-09-03,Cluster #1 (Manufacturing),20.599999999999508,58.890346499999985,43.86725911341336,38.29034650000048,23.267259113413854,0.8745066561970182,1.8622432079514664,0.543000989475438,15.023087386586628
