date,event_time_bern,event_time_db,price_start,price_peak,direction,impact_pips,duration_min,duration_hours,is_multi_wave,num_candles
2025-09-11,14:30:00,12:30:00,1.16874,1.17448,UP,57.40000000000079,173.0,2.8833333333333333,True,301
2025-08-12,14:30:00,12:30:00,1.16056,1.1695,UP,89.39999999999948,194.0,3.2333333333333334,True,301
2025-07-15,14:30:00,12:30:00,1.16668,1.15934,DOWN,73.39999999999903,299.0,4.983333333333333,True,301
2025-06-11,14:30:00,12:30:00,1.14358,1.14962,UP,60.40000000000045,249.0,4.15,True,301
2025-05-13,14:30:00,12:30:00,1.11141,1.11824,UP,68.29999999999892,252.0,4.2,True,301
2025-04-10,14:30:00,12:30:00,1.11037,1.12255,UP,121.79999999999858,192.0,3.2,True,301
