date,event_time_bern,event_time_db,price_start,price_peak,direction,impact_pips,duration_min,num_candles
2025-09-11,14:30:00,12:30:00,1.16874,1.17442,UP,56.80000000000129,109.0,121
2025-08-12,14:30:00,12:30:00,1.16056,1.166,UP,54.3999999999989,95.0,121
2025-07-15,14:30:00,12:30:00,1.16668,1.16222,DOWN,44.599999999999085,119.0,121
2025-06-11,14:30:00,12:30:00,1.14358,1.14886,UP,52.799999999999514,6.0,121
2025-05-13,14:30:00,12:30:00,1.11141,1.11485,UP,34.399999999998876,67.0,121
2025-04-10,14:30:00,12:30:00,1.11037,1.11431,UP,39.39999999999833,113.0,121
