date,label,impact_real,impact_predicted,error
2025-09-11,11.09.2025 CPI US,51.7,56.259017639931514,4.559017639931511
2025-01-15,01.15.2025 CPI US,49.9,56.25901763993152,6.359017639931523
2025-05-13,05.13.2025 CPI US,34.0,56.25901763993152,22.25901763993152
2025-07-15,07.15.2025 CPI US,24.6,56.259017639931514,31.659017639931513
2025-08-12,08.12.2025 CPI US,50.5,20.211806652595538,30.288193347404462
2025-06-11,06.11.2025 CPI US,54.0,56.25901763993152,2.259017639931521
2025-04-10,04.10.2025 CPI US,28.1,56.25901763993152,28.15901763993152
2025-02-12,02.12.2025 CPI US,51.7,55.38298167568324,3.682981675683237
2024-12-11,12.11.2024 CPI US,21.3,20.673142291323117,0.6268577086768836
2024-11-13,11.13.2024 CPI US,25.5,20.211806652595538,5.288193347404462
