date,num_events,score_ajuste,surprise_max,impact_base_corrected,impact_reel,facteur_parfait,trend,slope_pips,r_squared,momentum_24h,position_range,status
2025-09-11,11,84.18896427200734,200.0,17.057734148427233,51.7,3.0308832081760917,BAISSIER,-0.25764254155270205,0.537040370479497,-0.1230706117635085,0.07775377969760751,TESTÉ
2025-01-15,11,84.18896427200735,200.0,17.057734148427237,49.9,2.925359228007484,HAUSSIER,0.445125447086051,0.53191600018506,0.45613145942574396,0.9348148148148158,TESTÉ
2025-05-13,11,84.18896427200735,116.66666666666667,17.057734148427237,34.0,1.9932307365181254,NEUTRE,0.12468966968230562,0.07641972428859523,0.11808291042824635,0.6729452054794424,TESTÉ
2025-07-15,11,84.18896427200734,233.33333333333334,17.057734148427233,24.6,1.442161062304291,NEUTRE,0.0004470860509165929,1.678927986414891e-06,-0.11203188205011025,0.566091954022972,TESTÉ
2025-08-12,11,84.18896427200735,233.33333333333334,17.057734148427237,50.499999999999986,2.9605338880636856,NEUTRE,-0.033181674731744576,0.009623857741645314,-0.2979870843638244,0.34155597722961345,NOUVEAU
2025-06-11,11,84.18896427200735,66.66666666666666,17.057734148427237,54.00000000000071,3.165719405058241,NEUTRE,-0.07293814432989612,0.06052656101978737,0.1383634580355817,0.7493188010899138,NOUVEAU
2025-04-10,11,84.18896427200735,200.0,17.057734148427237,28.099999999999792,1.6473465792987914,NEUTRE,-0.41001735745844636,0.07969731902180444,0.27475766011662134,0.855133614627288,NOUVEAU
2025-02-12,8,83.21980681334334,66.66666666666667,16.79212004406716,51.70000000000119,3.078825059868921,HAUSSIER,0.5029415632232268,0.7674193465238558,0.6571614116369919,1.0,NOUVEAU
2024-12-11,9,44.82035621858595,0.04756770469970004,6.26809674272917,21.299999999999653,3.3981606976164023,BAISSIER,-0.1596241847254345,0.13134774928857074,-0.3152387553766239,0.16561844863728642,NOUVEAU
2024-11-13,11,44.30998119579335,0.04626108998733048,6.128219777066968,25.500000000000522,4.161077919468009,NEUTRE,0.0022405585945709477,6.989054687911445e-05,-0.1658775798997357,0.42983008181246696,NOUVEAU
2024-10-10,9,85.1586768153133,100.0,17.323500383185422,23.900000000001143,1.3796287973762518,BAISSIER,-0.23348740269303495,0.6209684476720446,-0.28206313727528765,0.14178690344060393,NOUVEAU
2024-09-11,9,85.1586768153133,49.999999999999986,17.323500383185422,40.800000000000836,2.3551822147677632,HAUSSIER,0.21258547233326222,0.3648746773503595,0.06342475558818714,0.7884615384615422,NOUVEAU
2024-08-14,9,44.82035621858595,3.333333333333336,6.26809674272917,21.700000000000053,3.46197592198485,HAUSSIER,0.801677230170419,0.7584112080311891,0.9082377715214291,0.939747781410555,NOUVEAU
