date,num_events,score_ajuste,surprise_max,impact_base_corrected,impact_reel,facteur_parfait,24h_r_squared,24h_slope_pips,24h_momentum_pct,24h_position_range,24h_trend,48h_r_squared,48h_slope_pips,48h_momentum_pct,48h_position_range,48h_trend,72h_r_squared,72h_slope_pips,72h_momentum_pct,72h_position_range,72h_trend
2025-09-11,11,84.18896427200734,200.0,17.057734148427233,51.7,3.0308832081760917,0.3603000113998458,-0.009263659236829412,0.0264966323634834,0.5772230889235456,NEUTRE,0.7280129246423566,-0.021934153250604837,-0.5557396691054624,0.32370953630795013,BAISSIER,0.405670127533865,-0.011458397340208456,-0.057218986455341035,0.32370953630795013,BAISSIER
2025-01-15,11,84.18896427200735,200.0,17.057734148427237,49.9,2.925359228007484,0.7879861426558946,0.0335651201291263,0.9232150525041987,1.0,HAUSSIER,0.8176786221601349,0.03259964848558967,0.9557280226485054,1.0,HAUSSIER,0.7538918905842728,0.02923717975697088,0.947844167000196,1.0,HAUSSIER
2025-05-13,11,84.18896427200735,116.66666666666667,17.057734148427237,34.0,1.9932307365181254,0.45933039322213454,-0.05434287322066515,-0.9846866096866158,0.3095781071835723,BAISSIER,0.5530837499794977,-0.0595697620682283,-0.7000125002232244,0.3095781071835723,BAISSIER,0.5530837499794977,-0.0595697620682283,-0.7000125002232244,0.3095781071835723,BAISSIER
2025-07-15,11,84.18896427200734,233.33333333333334,17.057734148427233,24.6,1.442161062304291,0.03594174347774037,-0.00287984292357517,-0.023964190652258882,0.6188235294117309,NEUTRE,0.008227883025133997,-0.0012563829189563328,0.07882043505451544,0.6188235294117309,NEUTRE,0.008227883025133997,-0.0012563829189563328,0.07882043505451544,0.6188235294117309,NEUTRE
2025-08-12,11,84.18896427200735,233.33333333333334,17.057734148427237,50.499999999999986,2.9605338880636856,0.5591994671810487,-0.026465849160601518,-0.16314054128312533,0.43211334120425104,BAISSIER,0.571439536489519,-0.02459102039575794,-0.17599739008747373,0.43211334120425104,BAISSIER,0.571439536489519,-0.02459102039575794,-0.17599739008747373,0.43211334120425104,BAISSIER
2025-06-11,11,84.18896427200735,66.66666666666666,17.057734148427237,54.00000000000071,3.165719405058241,0.2600333545065786,0.010596341274353828,0.3491974584726277,1.0,HAUSSIER,0.08410908203719125,0.0032812886306293177,0.5101727750067879,1.0,NEUTRE,0.13305181294925328,0.004036343317744321,0.5657100757788245,1.0,NEUTRE
2025-04-10,11,84.18896427200735,200.0,17.057734148427237,28.099999999999792,1.6473465792987914,0.045932057218093014,-0.014149348339868958,1.3848018002423292,1.0,NEUTRE,0.24299789643733938,0.022296432153636168,1.90284327640676,1.0,HAUSSIER,0.23737583444999666,0.015446968202755259,1.3580224424366054,1.0,HAUSSIER
2025-02-12,8,83.21980681334334,66.66666666666667,16.79212004406716,51.70000000000119,3.078825059868921,0.9070769007946441,0.03996296481452604,0.25328494070609253,0.41144708423324516,HAUSSIER,0.660839564697987,0.01976348178207574,0.19494500804995296,0.41144708423324516,HAUSSIER,0.6601729125629858,0.018796606274470613,0.3965053110331356,0.42991631799161406,HAUSSIER
2024-12-11,9,44.82035621858595,0.04756770469970004,6.26809674272917,21.299999999999653,3.3981606976164023,0.5812145387181412,-0.022264603894961862,-0.36487357367604256,0.31296758104737765,BAISSIER,0.6082702375285829,-0.01709791915649608,-0.44601428003257443,0.23904761904762126,BAISSIER,0.6131735178277273,-0.016285329059932612,-0.4469569993276761,0.23904761904762126,BAISSIER
2024-11-13,11,44.30998119579335,0.04626108998733048,6.128219777066968,25.500000000000522,4.161077919468009,0.29966746795472043,-0.010926479579335518,-0.12103129925690455,0.795981452859359,BAISSIER,0.7345070721245136,-0.027140563996013965,-0.6819920512007097,0.3857677902621824,BAISSIER,0.7698436994098308,-0.028455952989969654,-0.6310031643501767,0.3857677902621824,BAISSIER
2024-10-10,9,85.1586768153133,100.0,17.323500383185422,23.900000000001143,1.3796287973762518,0.8482553880660697,-0.01975347787702264,-0.4464773845536962,0.0,BAISSIER,0.8955023484452829,-0.016822079883594226,-0.45373373665220895,0.0,BAISSIER,0.5866638489724968,-0.008816668819489379,-0.4056406843933022,0.0,NEUTRE
2024-09-11,9,85.1586768153133,49.999999999999986,17.323500383185422,40.800000000000836,2.3551822147677632,0.059682460046723174,0.0036059521697315816,-0.09968373070894171,0.21628498727735873,NEUTRE,0.3775497178956889,-0.009642720186623216,-0.5574749451996783,0.11243386243386456,NEUTRE,0.46000525900327516,-0.011549097362366622,-0.5709286384298964,0.11243386243386456,BAISSIER
2024-08-14,9,44.82035621858595,3.333333333333336,6.26809674272917,21.700000000000053,3.46197592198485,0.8557967427300571,0.04897114523369834,0.764482648255674,0.9187996469549844,HAUSSIER,0.8069737410323147,0.02958150726212968,0.9657586336439516,0.9200695047784501,HAUSSIER,0.8038570705593364,0.028223645944030727,0.9176748573574185,0.9219015280135789,HAUSSIER
