date,label,r_squared_72h,amplification,impact_real,impact_predicted,error
2025-09-11,11.09.2025 CPI US,0.405670127533865,2.5058920049369777,51.7,56.39160900380511,4.691609003805105
2025-01-15,01.15.2025 CPI US,0.7538918905842728,3.163752559691808,49.9,71.19584442563198,21.295844425631977
2025-05-13,05.13.2025 CPI US,0.5530837499794977,2.7843858204612673,34.0,62.65872439588225,28.658724395882253
2025-07-15,07.15.2025 CPI US,0.008227883025133997,1.7550441166110833,24.6,39.49482316611238,14.894823166112381
2025-08-12,08.12.2025 CPI US,0.571439536489519,2.819063572335999,50.5,22.791347146172196,27.708652853827804
2025-06-11,06.11.2025 CPI US,0.13305181294925328,1.9908614850237294,54.0,44.8015645618441,9.198435438155897
2025-04-10,04.10.2025 CPI US,0.23737583444999666,2.1879504264429337,28.1,49.23677665461948,21.13677665461948
2025-02-12,02.12.2025 CPI US,0.6601729125629858,2.986698666413993,51.7,66.1649110051175,14.4649110051175
2024-12-11,12.11.2024 CPI US,0.6131735178277273,2.8979074098801423,21.3,23.963540892612723,2.6635408926127226
2024-11-13,11.13.2024 CPI US,0.7698436994098308,3.193888716925052,25.5,25.821704486558236,0.3217044865582359
