w1,w2,w3,a,b,mae,correlation
0.0,0.0,1.0,1.889174003346952,1.7395227945568443,0.5545631968158033,0.5462199332994556
0.1,0.0,0.9,1.8252586670010298,1.7787226700369136,0.5550202883126321,0.5270879712779684
0.2,0.0,0.8,1.7345579391756305,1.8307393935841745,0.5576078590869792,0.5040780166102934
0.0,0.1,0.9,1.8286745069433301,1.7625414423555785,0.559940019459217,0.5309107709501166
0.1,0.1,0.8,1.758915535300089,1.804721238045786,0.5608631829077975,0.5109333819935672
0.3,0.0,0.7,1.6220357501423752,1.8928196502381862,0.5628979062210195,0.4778424121301034
0.2,0.1,0.7,1.66429754626656,1.8588183059772103,0.5637872971194481,0.48732978706045477
0.0,0.2,0.8,1.7601638420451375,1.7901619741474142,0.5657376588132321,0.5144227220451689
0.1,0.2,0.7,1.6855342925997736,1.834843999057171,0.5670699405494891,0.49373013579046154
0.3,0.1,0.6,1.55004575661035,1.921951182807767,0.5684939549309358,0.4607827683553139
0.2,0.2,0.6,1.5881881702922584,1.890426262182724,0.5702578743152876,0.4696876368193026
0.4,0.0,0.6,1.4941217882587474,1.9615690153612206,0.5708250859515521,0.44920004595987284
0.0,0.3,0.7,1.6849795597200399,1.8217918503237809,0.5718529132797404,0.4969274140245232
0.1,0.3,0.6,1.6065485522881533,1.8684422917087715,0.5735305775342513,0.4756608910941705
0.4,0.1,0.5,1.4225540894731028,1.9907417762345312,0.5746365039723739,0.4321115553716212
0.3,0.2,0.5,1.4734764443482187,1.9539673986736346,0.5750650593634593,0.4429946990213422
0.2,0.3,0.5,1.507673378113146,1.9249003856924944,0.5769087376279639,0.4513365727586406
0.0,0.4,0.6,1.6045739082788841,1.8567568794994624,0.5781795106763836,0.4786103342558604
0.5,0.0,0.5,1.3576752997877517,2.0334827501096626,0.5784105095824649,0.41903198313959167
0.1,0.4,0.5,1.5234497023650848,1.904814090262514,0.5801357791260506,0.4569163758083561
0.4,0.2,0.4,1.3476296350796313,2.02217033472018,0.5811476290607357,0.41445758537802524
0.3,0.3,0.4,1.3937011016991028,1.9882308244063533,0.5817414054600414,0.4246572692596148
0.5,0.1,0.4,1.2883945189330062,2.061822451598424,0.5818025111754508,0.40217092462937004
0.2,0.4,0.4,1.4241998785921517,1.9615525250901424,0.5836332585739161,0.4324639899795699
0.0,0.5,0.5,1.52043503065811,1.8943402265756117,0.5846134204615182,0.459662852340479
0.6,0.0,0.4,1.2190501426879856,2.105404125365782,0.5854185589124234,0.38818365683941924
0.1,0.5,0.4,1.4377112224542106,1.9432422529350302,0.5867819554258052,0.43768762186086324
0.4,0.3,0.3,1.2705910085845116,2.0552729593851056,0.5876949631945805,0.39640462586939845
0.5,0.2,0.3,1.2168386902441737,2.0918526190821565,0.5881135969852312,0.3848943066553975
0.3,0.4,0.3,1.3120520187985165,2.024102355715075,0.588424028533322,0.4059471030236102
0.6,0.1,0.3,1.15348056745334,2.1322455898325714,0.5895765069975729,0.37176187373055086
0.2,0.5,0.3,1.33915118390443,1.9997035001277288,0.5903334184184291,0.4132526785874748
0.0,0.6,0.4,1.4340145973379868,1.933819954432117,0.5910574099562942,0.44027470486158643
0.7,0.0,0.3,1.0834666786889606,2.1748147847604065,0.5919288479850094,0.35739297730527386
0.1,0.6,0.3,1.3507240496451245,1.9830288291989944,0.5933752513069064,0.4181590825473575
0.4,0.4,0.2,1.1926103646145616,2.0894831503710076,0.5941906627812753,0.3781131839428407
0.5,0.3,0.2,1.1440851622867907,2.123065178063063,0.5944029414010676,0.367351721248958
0.3,0.5,0.2,1.229767141843293,2.0609694844226993,0.5950244687566386,0.3870325242744732
