date,impact_real,r_squared_72h,amp_optimal,error_optimal,error_baseline
2025-09-11,51.7,0.405670127533865,2.2974094766303343,1.087567156332625e-07,4.559017639931511
2025-01-15,49.9,0.7538918905842728,2.21742291128065,1.3872370566048176e-05,6.359017639931523
2025-05-13,34.0,0.5530837499794977,1.510869910321224,2.2774561401206483e-05,22.25901763993152
2025-07-15,24.6,0.008227883025133997,1.0931591291661154,2.349240345722592e-05,31.659017639931513
2025-08-12,50.5,0.571439536489519,4.9999936677422125,10.076437889356953,30.288193347404462
2025-06-11,54.0,0.13305181294925328,2.3996141067969803,2.705467205998957e-05,2.259017639931521
2025-04-10,28.1,0.23737583444999666,1.2486888798523998,3.887360996657208e-06,28.15901763993152
2025-02-12,51.7,0.6601729125629858,2.333749080045074,6.985688408178703e-06,3.682981675683237
2024-12-11,21.3,0.6131735178277273,2.5758047170027143,9.02829664539695e-06,0.6268577086768836
2024-11-13,25.5,0.7698436994098308,3.154094936942661,1.7188233766063377e-05,5.288193347404462
