intercept_multi,coef_multi,intercept_single,coef_single,mae_cv,std_cv
-18,0.3,-15,0.3,28.275181624185265,22.357455057164145
-18,0.3,-15,0.35,28.275181624185265,22.357455057164145
-18,0.3,-15,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-15,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-15,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-15,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-15,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-15,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-14,0.3,28.275181624185265,22.357455057164145
-18,0.3,-14,0.35,28.275181624185265,22.357455057164145
-18,0.3,-14,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-14,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-14,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-14,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-14,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-14,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-14,0.7,28.275181624185265,22.357455057164145
-18,0.3,-13,0.3,28.275181624185265,22.357455057164145
-18,0.3,-13,0.35,28.275181624185265,22.357455057164145
-18,0.3,-13,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-13,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-13,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-13,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-13,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-13,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-13,0.7,28.275181624185265,22.357455057164145
-18,0.3,-12,0.3,28.275181624185265,22.357455057164145
-18,0.3,-12,0.35,28.275181624185265,22.357455057164145
-18,0.3,-12,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-12,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-12,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-12,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-12,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-12,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-12,0.7,28.275181624185265,22.357455057164145
-18,0.3,-11,0.3,28.275181624185265,22.357455057164145
-18,0.3,-11,0.35,28.275181624185265,22.357455057164145
-18,0.3,-11,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-11,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-11,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-11,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-11,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-11,0.7,28.275181624185265,22.357455057164145
-18,0.3,-10,0.3,28.275181624185265,22.357455057164145
-18,0.3,-10,0.35,28.275181624185265,22.357455057164145
-18,0.3,-10,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-10,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-10,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-10,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-10,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-10,0.7,28.275181624185265,22.357455057164145
-18,0.3,-9,0.3,28.275181624185265,22.357455057164145
-18,0.3,-9,0.35,28.275181624185265,22.357455057164145
-18,0.3,-9,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-9,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-9,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-9,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-9,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-9,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-9,0.7,28.275181624185265,22.357455057164145
-18,0.3,-8,0.3,28.275181624185265,22.357455057164145
-18,0.3,-8,0.35,28.275181624185265,22.357455057164145
-18,0.3,-8,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-8,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-8,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-8,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-8,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-8,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-8,0.7,28.275181624185265,22.357455057164145
-18,0.3,-7,0.3,28.275181624185265,22.357455057164145
-18,0.3,-7,0.35,28.275181624185265,22.357455057164145
-18,0.3,-7,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-7,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-7,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-7,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-7,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-7,0.7,28.275181624185265,22.357455057164145
-18,0.3,-6,0.3,28.275181624185265,22.357455057164145
-18,0.3,-6,0.35,28.275181624185265,22.357455057164145
-18,0.3,-6,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-6,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-6,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-6,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-6,0.5999999999999999,28.275181624185265,22.357455057164145
-18,0.3,-6,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-6,0.7,28.275181624185265,22.357455057164145
-18,0.3,-5,0.3,28.275181624185265,22.357455057164145
-18,0.3,-5,0.35,28.275181624185265,22.357455057164145
-18,0.3,-5,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-5,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-5,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-5,0.6499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-5,0.7,28.275181624185265,22.357455057164145
-18,0.3,-4,0.3,28.275181624185265,22.357455057164145
-18,0.3,-4,0.35,28.275181624185265,22.357455057164145
-18,0.3,-4,0.39999999999999997,28.275181624185265,22.357455057164145
-18,0.3,-4,0.44999999999999996,28.275181624185265,22.357455057164145
-18,0.3,-4,0.49999999999999994,28.275181624185265,22.357455057164145
-18,0.3,-4,0.5499999999999999,28.275181624185265,22.357455057164145
-18,0.3,-4,0.5999999999999999,28.275181624185265,22.357455057164145
