pattern_type,score_range,mean_impact_pips,std_impact_pips,count,mean_score,std_score,example_date
DOUBLE_WAVE_DOWN,0-100,60.41502415458909,19.59861007654927,23,40.57221371709432,36.7809835474004,2023-01-18 11:59:00+01:00
DOUBLE_WAVE_DOWN,100-200,52.74500000000006,11.018948501873602,24,152.47706340659542,31.14243964456979,2023-03-15 13:36:00+01:00
DOUBLE_WAVE_DOWN,200-300,57.210000000000214,22.359414963276045,17,235.66252715380426,22.606716580894933,2023-01-04 16:02:00+01:00
DOUBLE_WAVE_DOWN,300-400,75.4066666666669,35.692888297251386,9,341.2651621130279,29.875641023887027,2023-09-14 13:31:00+02:00
DOUBLE_WAVE_DOWN,500+,58.574999999999605,19.260112062671332,10,651.5116129440501,64.43237907821718,2023-05-05 13:30:00+02:00
DOUBLE_WAVE_UP,0-100,56.84736842105202,26.26650948390034,19,36.24451546802554,30.309991786331228,2023-02-01 23:30:00+01:00
DOUBLE_WAVE_UP,100-200,54.02222222222222,14.349607723908035,18,154.79798407948726,28.237758227531668,2023-01-04 08:21:00+01:00
DOUBLE_WAVE_UP,200-300,56.02263157894752,19.722196137038924,19,244.41805964836362,25.919532272739307,2023-02-03 16:15:00+01:00
DOUBLE_WAVE_UP,300-400,63.579999999999515,34.10918498000177,5,334.47268130609916,22.289217669901767,2024-09-27 14:19:00+02:00
DOUBLE_WAVE_UP,400-500,49.18666666666738,6.752490898425815,3,441.69294053122786,20.9144449501712,2023-11-01 14:46:00+01:00
DOUBLE_WAVE_UP,500+,55.6049999999995,11.032898325216026,12,656.6414300393831,126.47847643665266,2023-11-03 12:59:00+01:00
SINGLE_WAVE_FORT_DOWN,0-100,58.1321621621626,19.211440187661196,37,45.55270804397497,29.075944811471196,2023-01-03 08:37:00+01:00
SINGLE_WAVE_FORT_DOWN,100-200,58.451034482758615,17.25851618866677,29,146.40456310802773,32.34635402789344,2023-01-05 14:02:00+01:00
SINGLE_WAVE_FORT_DOWN,200-300,49.88173913043485,8.165105161141401,23,251.65584356651954,25.88929337363618,2023-05-31 15:52:00+02:00
SINGLE_WAVE_FORT_DOWN,300-400,65.17555555555542,20.354215233650734,9,351.54357356941534,33.74459696700966,2023-02-03 14:15:00+01:00
SINGLE_WAVE_FORT_DOWN,400-500,72.51166666666661,12.620856415736641,6,459.83951188897646,44.75501322039699,2023-05-04 14:15:00+02:00
SINGLE_WAVE_FORT_DOWN,500+,71.88214285714272,20.188561185663033,14,662.518708827737,148.6703268652637,2023-07-27 14:16:00+02:00
SINGLE_WAVE_FORT_UP,0-100,56.09838095238061,17.03143994640483,35,49.11823242085839,30.394365770551374,2023-01-09 14:02:00+01:00
SINGLE_WAVE_FORT_UP,100-200,57.10479999999993,20.484473616213364,25,144.14708615332282,31.426164861113975,2023-04-04 15:52:00+02:00
SINGLE_WAVE_FORT_UP,200-300,62.91210526315772,32.64707551628679,19,243.57513398035516,23.566163403096592,2023-01-06 15:52:00+01:00
SINGLE_WAVE_FORT_UP,300-400,44.9711111111105,4.934491981056585,9,346.2294557146658,29.334309511869623,2023-06-05 15:10:00+02:00
SINGLE_WAVE_FORT_UP,400-500,59.117142857143854,22.563417821985944,7,434.96934900988805,21.67898323042005,2023-12-13 19:51:00+01:00
SINGLE_WAVE_FORT_UP,500+,64.21157894736875,30.258762415604153,19,617.8026070529033,76.51614029577806,2023-06-15 14:09:00+02:00
