date,num_events,score_avg,score_max,score_min,families
2025-12-10,11,56.69037152017924,75.71116767335741,42.012728389432944,"FOMC, Fed Rate, Interest Rates, CPI"
2025-12-05,9,61.999070439578986,67.6438161052937,59.90047788837122,"NFP, Other, Employment, Unemployment"
2025-12-01,6,88.89514821791904,100.0,63.305740150233156,"Consumer, PMI, ISM"
2025-11-13,4,43.994135068634584,45.13412286023265,42.012728389432944,CPI
2025-11-07,9,61.999070439578986,67.6438161052937,59.90047788837122,"Unemployment, NFP, Other, Employment"
2025-11-03,6,88.89514821791904,100.0,63.305740150233156,"ISM, Consumer, PMI"
2025-10-17,10,60.992502433146925,61.492477137506555,57.69826407074845,"Other, Employment, Unemployment, NFP"
2025-10-15,10,44.662694821927154,46.131002713643156,42.012728389432944,"Real_Earnings, CPI"
2025-10-03,9,61.999070439578986,67.6438161052937,59.90047788837122,"NFP, Other, Employment, Unemployment"
2025-10-01,8,87.08457868221844,100.0,63.305740150233135,"PMI, Consumer, ISM"
2025-09-17,13,63.67829035395111,75.71116767335741,45.77832801413763,"Interest Rates, Fed Rate, FOMC"
2025-09-11,11,44.30998119579335,46.131002713643156,40.7828449344552,"CPI, Real_Earnings"
2025-09-05,12,61.45577652709451,67.6438161052937,57.69826407074845,"Other, Employment, NFP, Unemployment"
2025-09-02,8,87.08457868221844,100.0,63.305740150233135,"Consumer, PMI, ISM"
2025-08-12,11,44.30998119579335,46.131002713643156,40.7828449344552,"Real_Earnings, CPI"
2025-08-01,17,73.80401549493871,100.0,59.90047788837122,"NFP, ISM, Other, Employment, Unemployment, Consumer, PMI"
2025-07-15,11,44.30998119579335,46.131002713643156,40.7828449344552,"Real_Earnings, CPI"
2025-07-03,12,61.45577652709451,67.6438161052937,57.69826407074845,"NFP, Unemployment, Other, Employment"
2025-07-01,8,87.08457868221844,100.0,63.305740150233135,"ISM, Consumer, PMI"
2025-06-18,11,61.49049447769542,64.67768311660907,45.77832801413763,"Interest Rates, Fed Rate, FOMC"
2025-06-11,11,44.30998119579335,46.131002713643156,40.7828449344552,"CPI, Real_Earnings"
2025-06-06,12,61.45577652709451,67.6438161052937,57.69826407074845,"NFP, Unemployment, Other, Employment"
2025-06-02,8,87.08457868221844,100.0,63.305740150233135,"Consumer, PMI, ISM"
2025-05-13,11,44.30998119579335,46.131002713643156,40.7828449344552,"Real_Earnings, CPI"
2025-05-02,12,61.45577652709451,67.6438161052937,57.69826407074845,"Unemployment, NFP, Other, Employment"
2025-05-01,8,87.08457868221844,100.0,63.305740150233135,"Consumer, PMI, ISM"
2025-04-10,11,44.30998119579335,46.131002713643156,40.7828449344552,"CPI, Real_Earnings"
2025-04-04,10,61.212723814909204,61.492477137506555,59.90047788837122,"Other, Employment, Unemployment, NFP"
2025-04-01,8,87.08457868221844,100.0,63.305740150233135,"ISM, Consumer, PMI"
2025-03-19,11,61.49049447769542,64.67768311660907,45.77832801413763,"Interest Rates, FOMC, Fed Rate"
2025-03-12,5,43.35187704179871,45.13412286023265,40.7828449344552,"Real_Earnings, CPI"
2025-03-07,8,61.29347723136465,61.492477137506555,59.90047788837122,"Other, Employment, Unemployment, NFP"
2025-03-03,8,87.08457868221844,100.0,63.305740150233135,"ISM, Consumer, PMI"
2025-02-12,8,43.79989832281228,45.70384828422969,40.7828449344552,"CPI, Real_Earnings"
2025-02-07,8,61.29347723136465,61.492477137506555,59.90047788837122,"Unemployment, Other, Employment, NFP"
2025-02-03,8,87.08457868221844,100.0,63.305740150233135,"Consumer, PMI, ISM"
2025-01-15,11,44.309981195793334,46.131002713643156,40.7828449344552,"CPI, Real_Earnings"
2025-01-10,10,61.212723814909204,61.492477137506555,59.90047788837122,"Other, Employment, Unemployment, NFP"
2025-01-03,4,92.51628728932027,92.51628728932027,92.51628728932027,ISM
2025-01-02,4,81.65287007511657,100.0,63.305740150233135,"Consumer, PMI"
