base_impact,coef_score,amplitude_method,amplitude_factor,score_tendance_v2,impact_pred,impact_real,error,error_pct
50.0,0.1,2,0.270999999999999,-0.1515059483362533,51.70459377123468,51.7,0.004593771234674193,0.008885437591246022
52.0,0.06,4,1.6462077633154297,-0.9203330935040868,51.584988785680615,51.7,0.11501121431938799,0.2224588284707698
50.0,0.06,1,0.541999999999998,-0.3030118966725066,51.545512525481605,51.7,0.1544874745183975,0.2988152311767843
50.0,0.12,2,0.270999999999999,-0.1515059483362533,51.545512525481605,51.7,0.1544874745183975,0.2988152311767843
50.0,0.08,2,0.270999999999999,-0.1515059483362533,51.86367501698774,51.7,0.1636750169877388,0.3165861063592626
54.0,0.1,4,1.6462077633154297,-0.9203330935040868,51.481711359831834,51.7,0.2182886401681685,0.4222217411376567
52.0,0.12,3,0.856540727468379,-0.4788598347000794,51.462510363045084,51.7,0.2374896369549191,0.4593609999128029
52.0,0.1,3,0.856540727468379,-0.4788598347000794,51.985425302537564,51.7,0.28542530253756127,0.5520798888540837
50.0,0.14,2,0.270999999999999,-0.1515059483362533,51.38643127972854,51.7,0.3135687202714621,0.6065158999448009
50.0,0.06,2,0.270999999999999,-0.1515059483362533,52.0227562627408,51.7,0.3227562627407963,0.6242867751272655
50.0,0.08,1,0.541999999999998,-0.3030118966725066,51.22735003397547,51.7,0.4726499660245338,0.9142165687128313
56.0,0.14,4,1.6462077633154297,-0.9203330935040868,51.22381797427436,51.7,0.4761820257256417,0.9210484056588815
52.0,0.14,1,0.541999999999998,-0.3030118966725066,52.28377706183536,51.7,0.5837770618353559,1.1291625954262203
56.0,0.12,4,1.6462077633154297,-0.9203330935040868,52.30612969223517,51.7,0.6061296922351644,1.1723978573214011
50.0,0.06,3,0.856540727468379,-0.4788598347000794,50.991591520694755,51.7,0.7084084793052483,1.3702291669347162
52.0,0.14,3,0.856540727468379,-0.4788598347000794,50.939595423552596,51.7,0.7604045764474066,1.4708018886797032
50.0,0.1,1,0.541999999999998,-0.3030118966725066,50.90918754246934,51.7,0.790812457530663,1.5296179062488644
52.0,0.08,3,0.856540727468379,-0.4788598347000794,52.50834024203005,51.7,0.8083402420300487,1.5635207776209838
54.0,0.08,4,1.6462077633154297,-0.9203330935040868,52.525369087865464,51.7,0.8253690878654609,1.5964585838790346
52.0,0.12,1,0.541999999999998,-0.3030118966725066,52.61466605300174,51.7,0.9146660530017385,1.769179986463711
