datetime,open,high,low,close
2025-09-10 14:30:00+02:00,1.17194,1.17219,1.17191,1.17215
2025-09-10 14:31:00+02:00,1.17212,1.17238,1.17208,1.17234
2025-09-10 14:32:00+02:00,1.17234,1.17243,1.17231,1.1724
2025-09-10 14:33:00+02:00,1.17241,1.17258,1.17238,1.17257
2025-09-10 14:34:00+02:00,1.17258,1.17276,1.17254,1.17256
2025-09-10 14:35:00+02:00,1.17256,1.17261,1.17245,1.17259
2025-09-10 14:36:00+02:00,1.17257,1.17261,1.17247,1.17259
2025-09-10 14:37:00+02:00,1.17258,1.17274,1.17256,1.1727
2025-09-10 14:38:00+02:00,1.17269,1.1727,1.17251,1.17252
2025-09-10 14:39:00+02:00,1.17252,1.17254,1.17234,1.17245
2025-09-10 14:40:00+02:00,1.17246,1.17258,1.17242,1.17257
2025-09-10 14:41:00+02:00,1.17257,1.17257,1.17235,1.17251
2025-09-10 14:42:00+02:00,1.17252,1.17262,1.17244,1.17259
2025-09-10 14:43:00+02:00,1.17262,1.17273,1.17258,1.17265
2025-09-10 14:44:00+02:00,1.17264,1.1727,1.17254,1.17264
2025-09-10 14:45:00+02:00,1.17263,1.17277,1.17257,1.17273
2025-09-10 14:46:00+02:00,1.17276,1.1729,1.17271,1.17289
2025-09-10 14:47:00+02:00,1.17289,1.17293,1.17278,1.17293
2025-09-10 14:48:00+02:00,1.17293,1.17309,1.17292,1.17295
2025-09-10 14:49:00+02:00,1.17294,1.17296,1.1727,1.17271
2025-09-10 14:50:00+02:00,1.17272,1.17285,1.17259,1.17261
2025-09-10 14:51:00+02:00,1.17263,1.17279,1.1726,1.17268
2025-09-10 14:52:00+02:00,1.17268,1.17271,1.17256,1.17257
2025-09-10 14:53:00+02:00,1.1726,1.17266,1.17212,1.17212
2025-09-10 14:54:00+02:00,1.17212,1.17236,1.17212,1.17227
2025-09-10 14:55:00+02:00,1.17228,1.17262,1.17224,1.17259
2025-09-10 14:56:00+02:00,1.17261,1.17262,1.17251,1.17257
