date,surprise,impact_reel,baseline,v2,combined_s92_11,combined_s92_12,err_baseline,err_v2,err_s92_11,err_s92_12,trend,duration_hours,score_pondere,dir_sent_s92_11,dir_sent_s92_12
2025-09-11,33.6,51.7,37.5,15.75,14.961758260743446,14.86873476026522,14.200000000000003,35.95,36.73824173925656,36.83126523973478,BAISSIER,18.0,-0.5590625399861766,-0.5004709455597172,-0.5595334855458938
2025-01-15,27.5,49.9,48.75,15.75,16.85602598199673,16.64009204889913,1.1499999999999986,34.15,33.04397401800327,33.25990795110087,HAUSSIER,23.283333333333335,0.3628990900967638,0.7022387187280805,0.5651378088248442
2025-05-13,-108.5,34.0,37.5,10.5,10.710547599102872,10.710547599102872,3.5,23.5,23.289452400897126,23.289452400897126,NEUTRE,0.0,0.0,0.2005215229551166,0.2005215229551166
2025-07-15,-70.0,24.6,37.5,10.5,10.499919122240954,10.499919122240954,12.899999999999999,14.100000000000001,14.100080877759048,14.100080877759048,NEUTRE,0.0,0.0,-7.7026437184989e-05,-7.7026437184989e-05
