datetime,open,high,low,close
2025-09-10 17:03:00+02:00,1.17096,1.17101,1.17083,1.17091
2025-09-10 17:04:00+02:00,1.1709,1.171,1.1709,1.17093
2025-09-10 17:05:00+02:00,1.17091,1.17101,1.17087,1.171
2025-09-10 17:06:00+02:00,1.171,1.17106,1.17096,1.171
2025-09-10 17:07:00+02:00,1.17102,1.17106,1.17095,1.17098
2025-09-10 17:08:00+02:00,1.17099,1.17109,1.17097,1.17101
2025-09-10 17:09:00+02:00,1.17102,1.17103,1.17095,1.17101
2025-09-10 17:10:00+02:00,1.171,1.17101,1.17097,1.17099
2025-09-10 17:11:00+02:00,1.171,1.17114,1.17096,1.17114
2025-09-10 17:12:00+02:00,1.17115,1.17115,1.1709,1.17093
2025-09-10 17:13:00+02:00,1.17092,1.17094,1.17089,1.17093
