base_impact,coef,impact_pred,error
30,0.0,31.5,20.200000000000003
30,0.05,30.61947649952177,21.080523500478233
30,0.1,29.73895299904354,21.961047000956462
30,0.15000000000000002,28.858429498565318,22.841570501434685
30,0.2,27.97790599808709,23.722094001912915
30,0.25,27.09738249760886,24.602617502391144
30,0.30000000000000004,26.21685899713063,25.483141002869374
30,0.35000000000000003,25.336335496652403,26.3636645033476
30,0.4,24.455811996174177,27.244188003825826
30,0.45,23.575288495695943,28.12471150430406
32,0.0,33.6,18.1
32,0.05,32.66077493282322,19.03922506717678
32,0.1,31.721549865646445,19.978450134353558
32,0.15000000000000002,30.782324798469674,20.91767520153033
32,0.2,29.843099731292895,21.856900268707108
32,0.25,28.903874664116117,22.796125335883886
32,0.30000000000000004,27.96464959693934,23.735350403060664
32,0.35000000000000003,27.025424529762564,24.67457547023744
32,0.4,26.08619946258579,25.613800537414214
32,0.45,25.146974395409007,26.553025604590996
34,0.0,35.7,16.0
34,0.05,34.70207336612467,16.99792663387533
34,0.1,33.70414673224935,17.995853267750654
34,0.15000000000000002,32.706220098374025,18.993779901625977
34,0.2,31.708293464498702,19.9917065355013
34,0.25,30.710366830623375,20.989633169376628
34,0.30000000000000004,29.712440196748048,21.987559803251955
34,0.35000000000000003,28.714513562872725,22.98548643712728
34,0.4,27.7165869289974,23.9834130710026
34,0.45,26.71866029512207,24.981339704877932
36,0.0,37.800000000000004,13.899999999999999
36,0.05,36.74337179942613,14.956628200573874
36,0.1,35.68674359885225,16.01325640114775
36,0.15000000000000002,34.630115398278384,17.06988460172162
36,0.2,33.57348719770451,18.126512802295494
36,0.25,32.51685899713063,19.18314100286937
36,0.30000000000000004,31.460230796556758,20.239769203443245
36,0.35000000000000003,30.403602595982886,21.296397404017117
36,0.4,29.346974395409013,22.35302560459099
36,0.45,28.290346194835134,23.40965380516487
38,0.0,39.9,11.800000000000004
38,0.05,38.78467023272758,12.915329767272425
38,0.1,37.66934046545515,14.030659534544853
38,0.15000000000000002,36.554010698182736,15.145989301817266
38,0.2,35.438680930910316,16.261319069089687
38,0.25,34.32335116363789,17.376648836362115
38,0.30000000000000004,33.20802139636547,18.491978603634536
38,0.35000000000000003,32.092691629093046,19.607308370906956
38,0.4,30.977361861820626,20.722638138179377
38,0.45,29.862032094548194,21.83796790545181
