date,event_time,nb_events,score_max,score_avg,events,prix_count,status
2025-03-12,13:30:00,2,45.13412286023265,43.573425624832794,CPI | CPI s.a,4312,✅
2025-10-15,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4307,✅
2024-10-10,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4127,✅
2024-02-09,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,2696,✅
2024-02-13,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4306,✅
2024-03-12,13:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4295,✅
2024-04-10,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4296,✅
2024-05-15,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4287,✅
2024-06-12,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4295,✅
2024-07-11,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4123,✅
2024-08-14,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4305,✅
2024-09-11,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4290,✅
2024-11-13,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4318,✅
2025-09-11,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4131,✅
2024-12-11,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4274,✅
2025-01-15,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4297,✅
2025-02-12,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4306,✅
2025-04-10,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4134,✅
2025-05-13,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4317,✅
2025-06-11,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4310,✅
2025-07-15,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4307,✅
2025-08-12,14:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4300,✅
2024-01-10,08:30:00,1,42.012728389432944,42.012728389432944,CPI s.a,4313,✅
