date,event_time,surprise_net,trend,duration_hours,r_squared,amplitude_from_extreme,amplitude_factor,score_v2,impact_pred,impact_real,error,error_pct
2025-03-12,13:30:00,-0.04323037403672503,BAISSIER,24.0,0.35432152372360215,32.2,0.322,-0.11409153063899989,49.40817377076383,38.79999999999883,10.608173770765,27.34065404836422
2025-10-15,14:30:00,0.0,HAUSSIER,18.0,0.7369097452906679,78.00000000000028,0.7800000000000028,0.4310922009950422,52.15546100497521,12.900000000000134,39.255461004975075,304.3058992633695
2024-10-10,14:30:00,0.09096692111959331,BAISSIER,12.0,0.5635358315317958,33.69999999999873,0.3369999999999873,-0.09495578761310401,49.547746846323335,29.49999999999786,20.047746846325474,67.95846388585399
2024-02-09,14:30:00,0.0,NEUTRE,0.0,0.07714925221277236,0.0,0.1,0.0,50.0,20.099999999998452,29.900000000001548,148.7562189054918
2024-02-13,14:30:00,0.0,NEUTRE,0.0,0.0026256843305995092,0.0,0.1,0.0,50.0,53.90000000000006,3.9000000000000625,7.235621521335915
2024-03-12,13:30:00,0.0,NEUTRE,0.0,0.3820301847989883,0.0,0.1,0.0,50.0,20.700000000000163,29.299999999999837,141.54589371980487
2024-04-10,14:30:00,0.0,NEUTRE,0.0,0.10645345921961069,0.0,0.1,0.0,50.0,55.70000000000075,5.700000000000749,10.233393177739089
2024-05-15,14:30:00,0.0,HAUSSIER,18.0,0.5496395644013616,82.59999999999934,0.8259999999999934,0.3405017101466408,51.70250855073321,31.399999999999206,20.302508550734,64.65767054374048
2024-06-12,14:30:00,0.0,HAUSSIER,18.0,0.6122181351325153,86.70000000000178,0.8670000000000178,0.39809484236992626,51.99047421184964,40.800000000000836,11.190474211848802,27.427632872177877
2024-07-11,14:30:00,0.0,HAUSSIER,18.0,0.8432728494598862,73.19999999999993,0.7319999999999993,0.4629567943534771,52.31478397176738,42.90000000000127,9.414783971766113,21.945883384069543
2024-08-14,14:30:00,0.10664112388250421,HAUSSIER,18.0,0.7632251605217445,84.19999999999872,0.8419999999999872,0.4819766888694743,52.43782868871265,17.100000000001003,35.337828688711646,206.65396893982205
2024-09-11,14:30:00,-0.02514322087842385,HAUSSIER,18.0,0.6334617846052648,8.500000000000174,0.1,0.04750963384539486,50.22491683152689,20.500000000001073,29.724916831525817,144.99959430011836
2024-11-13,14:30:00,-0.04626108998733048,NEUTRE,0.0,0.06549963124437064,0.0,0.1,0.0,49.97686945500634,21.200000000001218,28.77686945500512,135.73995025945032
2025-09-11,14:30:00,0.11269349845200492,BAISSIER,18.0,0.7454167199815689,27.099999999999902,0.270999999999999,-0.1515059483362533,49.27021678954788,41.199999999999015,8.070216789548866,19.58790482900257
2024-12-11,14:30:00,0.012958280657394697,BAISSIER,18.0,0.14361293099003447,26.200000000000667,0.26200000000000667,-0.02821994093954249,49.862130723418765,24.399999999999977,25.462130723418788,104.35299476810988
2025-01-15,14:30:00,0.08979206049150126,HAUSSIER,23.283333333333335,0.37406921241183955,97.30000000000017,0.9730000000000016,0.3531008146641518,51.788744729686385,38.200000000001566,13.58874472968482,35.57263018241954
2025-02-12,14:30:00,0.2784412319296116,HAUSSIER,18.0,0.7146528656241571,12.600000000000389,0.1260000000000039,0.06753469580148493,50.40775389808726,39.400000000000546,11.007753898086712,27.938461670270453
2025-04-10,14:30:00,-0.15151515151515577,NEUTRE,0.0,0.016687864611641845,0.0,0.1,0.0,49.92424242424242,37.00000000000037,12.924242424242053,34.93038493038358
2025-05-13,14:30:00,-0.08702432938240684,NEUTRE,0.0,0.04475145267736569,0.0,0.1,0.0,49.9564878353088,12.900000000000134,37.056487835308666,287.2595956225448
2025-06-11,14:30:00,-0.31716417910448963,NEUTRE,0.0,0.0023903298619104563,0.0,0.1,0.0,49.84141791044775,34.59999999999796,15.24141791044979,44.05034078164939
2025-07-15,14:30:00,0.0,NEUTRE,0.0,0.07086789176972808,0.0,0.1,0.0,50.0,18.699999999998163,31.300000000001837,167.37967914441128
2025-08-12,14:30:00,0.00931387767773136,NEUTRE,0.0,0.032347800228402446,0.0,0.1,0.0,50.00232846941943,28.799999999999937,21.202328469419495,73.6191960743734
2024-01-10,08:30:00,0.0,NEUTRE,0.0,0.30131755240561287,0.0,0.1,0.0,50.0,11.599999999998278,38.400000000001725,331.0344827586847
