side,eod_ts_local,eod_ts_utc,eod_country,eod_title,eod_importance,db_ts_local,db_ts_utc,db_country,db_title,db_importance,delta_min
ONLY_IN_DB,,,,,,2025-08-01 23:30:00+02:00,2025-08-01 19:30:00+00:00,EU,,2.0,
ONLY_IN_EODHD,2025-08-01 21:30:00+02:00,2025-08-01 19:30:00+00:00,EU,,,,,,,,
