time_group,num_events,event_keys,event_titles,countries,max_empirical_score,mean_empirical_score,impact_reel_pips,surprise_pct,year
2025-07-11 09:00:00+02:00,1,consumer confidence,Consumer Confidence,CH,59.96,59.96,14.4,8.571428571428571,2025
2025-08-05 16:00:00+02:00,2,"ism non manufacturing pmi,ism services pmi",ISM Non-Manufacturing PMI | ISM Services PMI,US,75.21,74.44999999999999,30.0,5.112781954887226,2025
2025-05-23 01:01:00+02:00,1,consumer confidence,Consumer Confidence,GB,29.86,29.86,3.5,9.090909090909092,2025
2025-04-04 07:45:00+02:00,1,unemployment rate,Unemployment Rate,CH,46.43,46.43,22.7,9.375000000000009,2025
2025-08-01 11:00:00+02:00,3,"core inflation rate,cpi,inflation rate",Core Inflation Rate | CPI | Inflation Rate,EU,59.03,57.98,15.7,5.263157894736848,2025
2025-05-30 16:00:00+02:00,6,"inflation expectations,michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Inflation Expectations | Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations,US,62.74,50.59,32.4,9.589041095890414,2025
2025-08-08 09:00:00+02:00,1,consumer confidence,Consumer Confidence,CH,59.96,59.96,11.95,10.0,2025
2025-02-05 16:00:00+01:00,2,"ism non manufacturing pmi,ism services pmi",ISM Non-Manufacturing PMI | ISM Services PMI,US,75.21,74.44999999999999,9.2,6.790123456790122,2025
2025-08-27 08:00:00+02:00,1,consumer confidence,Consumer Confidence,DE,50.21,50.21,4.7,7.27272727272728,2025
2025-02-28 11:00:00+01:00,3,"cpi,harmonised inflation rate,inflation rate",CPI | Harmonised Inflation Rate | Inflation Rate,IT,59.3,58.086666666666666,9.4,5.55555555555556,2025
2024-02-22 14:30:00+01:00,2,"continuing jobless claims,initial jobless claims",Continuing Jobless Claims | Initial Jobless Claims,US,71.98,71.33000000000001,27.6,7.79816513761468,2024
2024-12-30 09:00:00+01:00,4,"core inflation rate,cpi,harmonised inflation rate,inflation rate",Core Inflation Rate | CPI | Harmonised Inflation Rate,ES,62.12,60.1325,13.1,7.692307692307682,2024
2024-05-02 09:45:00+02:00,1,hcob manufacturing pmi,HCOB Manufacturing PMI,IT,57.67,57.67,27.3,5.400000000000006,2024
2024-09-13 08:45:00+02:00,2,"harmonised inflation rate,inflation rate",Harmonised Inflation Rate | Inflation Rate,FR,62.84,62.385000000000005,11.85,5.263157894736835,2024
2024-11-08 16:00:00+01:00,5,"michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations | Michigan Consumer Sentiment,US,62.74,49.288,10.76,5.795148247978433,2024
2024-03-01 11:00:00+01:00,6,"core inflation rate,cpi,harmonised inflation rate,inflation rate,inflation rate,unemployment rate",Core Inflation Rate | CPI | Harmonised Inflation Rate,"EU,IT",59.03,57.633333333333326,17.2,9.999999999999998,2024
2024-11-22 09:15:00+01:00,4,"hcob composite pmi,hcob services pmi,manufacturing pmi,services pmi",HCOB Composite PMI | HCOB Services PMI | Manufacturing PMI,FR,72.2,70.465,152.93,7.246376811594203,2024
2024-10-01 09:15:00+02:00,1,hcob manufacturing pmi,HCOB Manufacturing PMI,ES,57.48,57.48,11.26,5.788423153692611,2024
2024-12-16 11:00:00+01:00,3,"cpi,harmonised inflation rate,inflation rate",CPI | Harmonised Inflation Rate | Inflation Rate,IT,59.3,58.086666666666666,17.1,7.142857142857134,2024
2024-04-12 09:00:00+02:00,4,"core inflation rate,cpi,harmonised inflation rate,inflation rate",Core Inflation Rate | CPI | Harmonised Inflation Rate,ES,62.12,60.1325,4.8,7.692307692307682,2024
2024-07-11 14:30:00+02:00,6,"continuing jobless claims,core inflation rate,cpi,cpi s a,inflation rate,initial jobless claims",Continuing Jobless Claims | Core Inflation Rate | CPI,US,81.7,76.90833333333333,49.9,5.932203389830509,2024
