event_datetime,score,surprise,num_events,phase1_pips_old,phase1_pips_new,ttr_minutes,direction,start_price,ttr_price
2025-03-24 13:30:00,21.86968729843206,124.99999999999996,2,2.80000000000058,10.700000000001264,5,DOWN,1.08125,1.08018
2024-10-29 21:30:00,0.0,124.91304347826086,17,2.189999999999692,2.500000000000835,8,UP,1.08192,1.08217
2023-01-26 14:30:00,33.15485453538364,123.99999999999996,16,20.700000000000163,19.199999999999218,10,DOWN,1.08877,1.08685
2024-01-23 22:30:00,0.0,122.46666666666668,1,2.40000000000018,0.8999999999992347,14,DOWN,1.08587,1.08578
2025-02-20 18:00:00,25.199964392161,121.57142857142856,18,10.200000000000207,5.899999999998684,8,DOWN,1.04982,1.04923
2024-01-17 22:30:00,0.0,120.125,1,0.5999999999994898,0.20000000000131024,2,DOWN,1.0884,1.08838
2023-04-07 18:30:00,61.492477137506555,120.0,10,1.4999999999987246,4.999999999999449,2,DOWN,1.09097,1.09047
2025-05-28 16:00:00,22.95123044865877,120.0,4,14.100000000001334,9.100000000001884,14,UP,1.12851,1.12942
2023-01-24 16:00:00,20.88399757339171,120.0,3,16.300000000000203,6.6000000000010495,12,UP,1.0872,1.08786
2025-09-03 22:30:00,0.0,118.29411764705884,1,2.8999999999990145,1.80000000000069,15,UP,1.16607,1.16625
2024-08-15 15:15:00,20.23593490359507,118.18181818181816,7,8.850000000000247,5.1000000000001044,14,DOWN,1.0988,1.09829
2022-11-23 03:30:00,0.0,118.18181818181816,1,5.199999999998539,4.999999999999449,11,UP,1.03112,1.03162
2023-07-06 18:15:00,0.0,117.98245614035088,1,5.800000000000249,1.80000000000069,8,UP,1.08787,1.08805
2023-03-15 19:30:00,0.0,116.46757679180888,9,15.199999999999658,2.100000000000435,9,DOWN,1.05769,1.05748
2024-01-23 16:00:00,20.88399757339171,114.28571428571428,4,10.900000000000354,4.8000000000003595,12,UP,1.08282,1.0833
2025-02-24 14:30:00,20.713211827077785,114.28571428571428,1,4.500000000000615,3.2999999999994145,2,DOWN,1.04671,1.04638
2024-08-15 16:30:00,0.0,113.95348837209302,1,3.750000000000142,7.200000000000539,12,DOWN,1.09863,1.09791
2022-12-29 22:00:00,0.0,113.75609756097562,3,4.3999999999999595,3.20000000000098,15,DOWN,1.06633,1.06601
2022-11-04 17:30:00,61.492477137506555,113.33333333333331,8,8.099999999999774,8.899999999999464,15,UP,0.99336,0.99425
2025-05-07 16:30:00,25.199964392161,112.53333333333332,11,4.599999999999049,6.099999999999994,12,UP,1.13477,1.13538
2024-08-20 22:30:00,0.0,112.39285714285714,1,0.700000000000145,1.5999999999993797,6,DOWN,1.11293,1.11277
2025-07-28 16:30:00,0.0,111.25,1,3.599999999999159,8.299999999998864,8,DOWN,1.16081,1.15998
2023-01-25 03:30:00,0.0,111.125,1,2.20000000000109,1.7000000000000348,3,UP,1.08997,1.09014
2024-03-07 21:00:00,0.0,110.70270270270268,1,3.20000000000098,2.7999999999983594,4,DOWN,1.09486,1.09458
2025-01-30 14:30:00,39.92706987049297,109.09090909090908,19,10.700000000001264,9.999999999998899,12,UP,1.04323,1.04423
2025-03-26 15:30:00,25.199964392161,108.8125,12,4.599999999999049,3.8999999999989043,11,UP,1.07881,1.0792
2023-03-15 01:30:00,0.0,108.1081081081081,1,2.8999999999990145,5.1000000000001044,10,UP,1.07538,1.07589
2023-11-01 15:30:00,0.0,108.09464508094646,9,8.699999999999264,4.8000000000003595,14,DOWN,1.05378,1.0533
2025-03-27 16:00:00,0.0,107.14285714285714,4,5.20000000000076,7.7000000000015945,12,UP,1.07994,1.08071
2025-04-07 21:00:00,0.0,105.32894736842104,2,6.299999999999084,2.4999999999986144,12,DOWN,1.09106,1.09081
2025-08-21 14:30:00,26.84356289399415,104.28571428571428,14,7.500000000000284,11.499999999999844,15,DOWN,1.16206,1.16091
2022-10-28 20:00:00,24.07920765964181,104.0,6,7.599999999999829,6.399999999999739,14,DOWN,0.99664,0.996
2024-09-09 21:00:00,0.0,103.6,2,1.1500000000008723,5.5000000000005045,5,UP,1.1035,1.10405
2024-10-30 13:15:00,0.0,102.60869565217392,2,8.159999999999279,7.499999999998064,6,DOWN,1.08526,1.08451
2025-03-11 21:30:00,0.0,102.2380952380952,1,6.300000000001305,1.7999999999984695,10,DOWN,1.09157,1.09139
2023-08-10 20:00:00,14.212383375335396,102.19579139981704,1,6.999999999999229,0.8999999999992347,9,DOWN,1.09794,1.09785
2023-11-16 22:00:00,0.0,101.90156599552571,4,2.100000000000435,3.4000000000000696,2,DOWN,1.08547,1.08513
2024-09-12 14:30:00,27.133173317859303,100.0,14,13.199999999999878,7.0000000000014495,6,DOWN,1.10369,1.10299
2025-08-19 22:30:00,0.0,100.0,1,1.9999999999997795,2.1999999999988695,11,DOWN,1.16485,1.16463
2025-02-25 15:00:00,0.0,100.0,10,7.0000000000014495,3.6999999999998145,9,DOWN,1.04986,1.04949
2024-09-26 16:00:00,0.0,100.0,4,11.730000000000906,12.400000000001299,15,DOWN,1.1183,1.11706
2025-08-26 15:00:00,0.0,100.0,6,6.899999999998574,9.099999999999664,14,UP,1.16548,1.16639
2024-12-02 16:00:00,100.0,100.0,8,9.500000000000064,8.999999999999009,13,UP,1.04838,1.04928
2024-09-30 16:30:00,0.0,100.0,2,8.329999999998616,6.500000000000394,14,UP,1.11416,1.11481
2023-01-27 14:30:00,25.206393585313748,100.0,10,5.699999999999594,23.900000000001143,15,DOWN,1.08675,1.08436
2025-09-03 16:00:00,26.55913179216532,100.0,9,13.699999999998711,6.899999999998574,13,DOWN,1.16753,1.16684
2023-05-03 18:15:00,0.0,100.0,1,6.099999999999994,9.999999999998899,12,DOWN,1.10693,1.10593
2024-12-12 14:30:00,50.99833830084667,100.0,14,14.099999999999111,19.899999999999363,14,DOWN,1.04837,1.04638
2024-05-17 16:00:00,0.0,100.0,3,3.4000000000000696,4.599999999999049,15,UP,1.08688,1.08734
2024-07-26 14:30:00,25.206393585313748,100.0,11,6.699999999999484,8.20000000000043,6,DOWN,1.08597,1.08515
2025-05-06 19:00:00,9.078303333571974,100.0,3,15.899999999999803,4.3999999999999595,8,DOWN,1.13715,1.13671
2024-03-14 13:30:00,28.542650278268667,100.0,22,14.099999999999111,4.20000000000087,12,DOWN,1.09047,1.09005
2024-11-07 16:00:00,30.886023743354997,100.0,4,11.849999999999916,3.7999999999982492,5,DOWN,1.07913,1.07875
2024-10-10 14:30:00,46.13100271364315,100.0,13,19.860000000000433,8.799999999999919,13,DOWN,1.09226,1.09138
2024-07-17 15:15:00,20.23593490359507,100.0,7,6.299999999999084,8.300000000001084,9,UP,1.09279,1.09362
2025-05-15 15:15:00,20.23593490359507,100.0,7,18.799999999998818,12.999999999998568,15,DOWN,1.11933,1.11803
2022-12-02 19:30:00,61.492477137506555,100.0,9,4.20000000000087,3.6999999999998145,12,DOWN,1.05373,1.05336
2025-03-28 13:30:00,25.206393585313748,100.0,11,10.899999999998132,6.300000000001305,9,DOWN,1.08278,1.08215
2023-04-20 20:00:00,19.677570075850348,100.0,5,2.900000000001235,4.3999999999999595,15,UP,1.09636,1.0968
2024-01-17 14:30:00,28.822567457072772,100.0,19,11.499999999999844,7.800000000000029,12,UP,1.08564,1.08642
2024-07-12 14:30:00,27.133173317859303,100.0,11,9.300000000000974,5.9000000000009045,11,UP,1.08987,1.09046
2023-03-02 19:30:00,26.84356289399415,100.0,8,13.199999999999878,7.7000000000015945,9,UP,1.05991,1.06068
2024-08-19 16:00:00,0.0,100.0,2,7.550000000000612,2.9999999999996696,13,UP,1.10694,1.10724
2023-09-08 16:00:00,30.886023743354997,100.0,5,13.999999999998458,2.9999999999996696,14,UP,1.0709,1.0712
2025-07-29 15:00:00,0.0,100.0,6,5.599999999998939,9.200000000000319,9,UP,1.15231,1.15323
2023-07-14 14:30:00,28.822567457072772,100.0,5,11.299999999998532,7.800000000000029,4,DOWN,1.12345,1.12267
2023-12-07 16:00:00,30.886023743354997,100.0,3,8.900000000000574,4.60000000000127,6,DOWN,1.07939,1.07893
2024-11-25 14:30:00,21.86968729843206,100.0,2,3.4000000000000696,5.60000000000116,6,UP,1.05137,1.05193
2023-06-15 20:00:00,26.483600012468735,100.0,2,2.40000000000018,1.500000000000945,3,UP,1.09479,1.09494
2024-11-15 16:00:00,26.483600012468735,100.0,3,8.529999999999927,6.6000000000010495,5,UP,1.05514,1.0558
2024-12-16 14:30:00,35.00725344868514,98.33333333333334,3,2.9999999999996696,16.199999999999548,15,UP,1.04962,1.05124
2024-01-11 20:00:00,14.212383375335396,97.70114942528735,2,8.199999999998209,2.500000000000835,5,UP,1.09717,1.09742
2023-07-19 16:30:00,0.0,96.95652173913044,6,5.100000000000104,10.799999999999699,13,UP,1.11826,1.11934
2023-09-19 22:30:00,0.0,96.85039370078742,1,1.1999999999989797,1.2999999999996348,10,UP,1.06817,1.0683
2025-04-24 16:00:00,19.677570075850348,96.66666666666669,2,6.599999999998829,7.200000000000539,6,UP,1.13615,1.13687
2025-07-24 16:00:00,16.70601113074671,94.0,1,14.80000000000148,7.7000000000015945,10,UP,1.17651,1.17728
2024-02-28 16:30:00,0.0,93.972602739726,13,6.6000000000010495,5.9000000000009045,12,DOWN,1.084,1.08341
2023-12-19 22:00:00,0.0,92.79475982532752,5,1.900000000001345,3.6999999999998145,7,DOWN,1.09836,1.09799
2023-09-18 22:00:00,0.0,92.44635193133048,4,3.5000000000007248,0.8999999999992347,1,DOWN,1.06927,1.06918
2024-02-07 21:00:00,0.0,90.25,1,2.2999999999995246,3.60000000000138,4,UP,1.0772,1.07756
2024-11-07 14:30:00,26.84356289399415,89.99999999999999,11,6.120000000000569,8.500000000000174,15,DOWN,1.08188,1.08103
2024-11-18 22:00:00,0.0,89.06386701662292,4,4.250000000001197,5.20000000000076,8,DOWN,1.05992,1.0594
2023-05-23 16:00:00,20.88399757339171,87.5,6,10.599999999998388,10.300000000000864,15,DOWN,1.07709,1.07606
2025-06-05 14:30:00,29.10611136021945,87.49999999999999,16,4.8000000000003595,9.900000000000464,6,UP,1.14712,1.14811
2023-08-03 14:30:00,26.84356289399415,85.00000000000001,8,22.4000000000002,6.300000000001305,3,DOWN,1.0942,1.09357
2025-03-25 21:30:00,0.0,83.99999999999999,1,3.0999999999981043,2.4000000000001798,11,DOWN,1.07919,1.07895
2024-03-05 22:30:00,0.0,83.73076923076923,1,2.60000000000149,1.100000000000545,15,DOWN,1.08578,1.08567
2025-06-11 16:30:00,25.199964392161,82.2,12,12.700000000001044,6.800000000000139,10,UP,1.14895,1.14963
2023-05-25 17:00:00,0.0,81.81818181818183,2,3.2999999999994145,8.399999999999519,14,UP,1.07128,1.07212
