date,phase1_time,phase2_time,time_gap_minutes,phase1_events,phase2_events,total_events,phase1_move,phase2_move,direction,expected_sum,actual_net,attenuation_factor,max_surprise,mean_surprise,coherence_score,phase1_surprises,phase2_surprises
2025-09-04,2025-09-04 14:15:00+02:00,2025-09-04 15:45:00+02:00,90.0,10,10,20,18.499999999999073,14.899999999999913,DOWN,33.39999999999898,10.699999999999044,0.32035928143710685,20.0,3.1549999999999994,0.5,"[-11.0, -0.19999999999999996, 0.5999999999999996, 2.0, 7.0, -0.5999999999999943, 3.3999999999999773, -20.0, -2.5999999999999943, 2.400000000000034]","[-0.7999999999999972, -0.8999999999999986, -0.7999999999999972, 1.0, 5.899999999999999, 0.29999999999999716, 2.0, 1.1000000000000014, -0.20000000000000284, -0.29999999999999716]"
2025-09-04,2025-09-04 15:45:00+02:00,2025-09-04 16:30:00+02:00,45.0,10,1,11,14.899999999999913,7.300000000001194,DOWN,22.200000000001108,20.900000000001473,0.9414414414414608,5.899999999999999,1.2999999999999992,0.0,"[-0.7999999999999972, -0.8999999999999986, -0.7999999999999972, 1.0, 5.899999999999999, 0.29999999999999716, 2.0, 1.1000000000000014, -0.20000000000000284, -0.29999999999999716]",[1.0]
2025-09-04,2025-09-04 16:30:00+02:00,2025-09-04 18:00:00+02:00,90.0,1,4,5,7.300000000001194,12.700000000001044,DOWN,20.000000000002238,5.300000000001415,0.2650000000000411,4.215,1.9982,0.0,[1.0],"[2.181, 0.0, 4.215, -2.5949999999999998]"
2025-09-03,2025-09-03 09:45:00+02:00,2025-09-03 11:00:00+02:00,75.0,15,1,16,22.900000000001253,5.1000000000001044,UP,28.000000000001357,34.4000000000011,1.2285714285714082,0.8000000000000043,0.2625000000000005,0.5,"[0.30000000000000426, 0.0, -0.6000000000000014, 0.0, 0.09999999999999432, 0.0, 0.09999999999999432, -0.3999999999999986, -0.8000000000000043, -0.3999999999999986, -0.8000000000000043, -0.10000000000000142, -0.20000000000000284, -0.10000000000000142, -0.20000000000000284]",[0.1]
2025-09-03,2025-09-03 11:00:00+02:00,2025-09-03 11:30:00+02:00,30.0,1,1,2,5.1000000000001044,12.700000000001044,UP,17.80000000000115,9.600000000000719,0.5393258426966349,14.0,7.05,0.5,[0.1],[-14.0]
2025-09-03,2025-09-03 16:00:00+02:00,2025-09-03 22:30:00+02:00,390.0,5,1,6,30.09999999999957,3.8999999999989043,UP,33.99999999999848,14.299999999998203,0.4205882352940836,4.022,0.8081666666666667,1.0,"[0.20800000000000018, 0.0, 0.09999999999999987, 0.3, -0.2190000000000003]",[4.022]
2025-09-02,2025-09-02 08:45:00+02:00,2025-09-02 11:00:00+02:00,135.0,2,4,6,21.700000000000053,21.999999999999797,DOWN,43.69999999999985,79.90000000000164,1.828375286041234,34.8,7.336666666666663,1.0,"[-34.8, 7.699999999999999]","[0.09999999999999964, 0.01999999999998181, 0.10000000000000009, -1.2999999999999998]"
2025-09-02,2025-09-02 15:45:00+02:00,2025-09-02 19:00:00+02:00,195.0,8,1,9,30.600000000000627,3.4000000000000696,UP,34.000000000000696,0.20000000000131024,0.005882352941214887,3.3999999999999986,1.43333333333333,0.0,"[-0.29999999999999716, 0.0, 0.5999999999999943, 3.3999999999999986, -0.29999999999999716, -1.5999999999999943, -3.0999999999999943, -3.0999999999999943]",[-0.5]
2025-08-29,2025-08-29 08:45:00+02:00,2025-08-29 09:55:00+02:00,70.0,15,7,22,5.999999999999339,11.200000000000099,UP,17.199999999999438,12.099999999999334,0.7034883720930075,19.0,0.9596818181818182,0.0,"[-0.09999999999999998, -0.09999999999999998, 0.0, 0.0, 0.0, 0.10000000000000009, -0.09999999999999998, 0.0, 0.10000000000000009, 0.0, -0.09999999999999964, 0.0, 0.10000000000000009, -0.09999999999999964, -1.0999999999999996]","[0.0, -19.0, -0.04300000000000015, 0.0, 0.0, -0.10000000000000009, -0.0699999999999994]"
2025-08-29,2025-08-29 09:55:00+02:00,2025-08-29 11:00:00+02:00,65.0,7,4,11,11.200000000000099,8.500000000000174,UP,19.700000000000273,15.600000000000058,0.7918781725888244,19.0,1.7830000000000004,0.0,"[0.0, -19.0, -0.04300000000000015, 0.0, 0.0, -0.10000000000000009, -0.0699999999999994]","[-0.1, -0.1, -0.10000000000000009, -0.09999999999999987]"
2025-08-29,2025-08-29 14:00:00+02:00,2025-08-29 14:30:00+02:00,30.0,2,8,10,11.499999999999844,7.500000000000284,DOWN,19.000000000000128,13.300000000000534,0.7000000000000234,16.599999999999994,3.079999999999999,0.5,"[0.10000000000000009, 0.0]","[0.0, 0.0, 0.0, 0.0, -14.099999999999994, -16.599999999999994, 0.0, 0.0]"
2025-08-28,2025-08-28 06:00:00+02:00,2025-08-28 10:00:00+02:00,240.0,1,6,7,3.5999999999991594,10.099999999999554,DOWN,13.699999999998713,12.199999999999989,0.8905109489051923,6.4,1.0142857142857136,0.5,[6.4],"[0.20000000000000284, -0.3999999999999915, 0.0, 0.0, -0.10000000000000009, 0.0]"
2025-08-28,2025-08-28 14:30:00+02:00,2025-08-28 16:00:00+02:00,90.0,11,1,12,13.900000000000023,12.900000000000134,UP,26.800000000000157,13.300000000000534,0.4962686567164349,16.0,1.7000000000000002,0.5,"[0.20000000000000018, -0.10000000000000009, 1.5, -1.0, 0.2999999999999998, 0.0, 0.19999999999999973, 0.19999999999999996, -0.10000000000000009, -16.0, 0.5]",[0.29999999999999993]
2025-09-10,2025-09-10 09:00:00+02:00,2025-09-10 10:00:00+02:00,60.0,1,1,2,26.200000000000667,15.400000000000968,DOWN,41.600000000001636,18.100000000000893,0.4350961538461582,0.5,0.25,0.0,[0.0],[0.5]
2025-09-10,2025-09-10 14:30:00+02:00,2025-09-10 16:00:00+02:00,90.0,3,1,4,31.29999999999855,9.200000000000319,UP,40.49999999999887,32.7999999999995,0.8098765432098868,0.7000000000000002,0.32500000000000007,0.0,"[-0.7000000000000002, -0.10000000000000009, -0.4]",[-0.1]
