time_group,num_events,max_score,phase1_pips,phase1_direction,pullback_pips,impact_net_pips,pullback_ratio
2025-01-02 16:00:00,4,100.0,4.8000000000003595,-1,13.499999999999623,-8.699999999999264,2.812499999999711
2025-09-02 16:00:00,7,100.0,17.899999999999583,1,5.20000000000076,12.699999999998823,0.2905027932961386
2025-10-01 16:00:00,9,100.0,1055.3000000000013,-1,10.499999999999954,1044.8000000000013,0.009949777314507666
2023-04-03 20:00:00,6,100.0,4.20000000000087,1,6.099999999999994,-1.8999999999991246,1.4523809523806503
2022-11-01 19:00:00,7,100.0,4.299999999999304,-1,6.199999999999539,-1.9000000000002348,1.441860465116405
2023-07-03 20:00:00,6,100.0,3.0999999999981043,1,1.2999999999996348,1.7999999999984695,0.41935483870981605
2024-08-01 16:00:00,7,100.0,7.049999999999557,-1,4.649999999999377,2.4000000000001798,0.6595744680850595
2024-04-01 16:00:00,6,100.0,13.900000000000023,-1,1.900000000001345,11.999999999998678,0.13669064748211093
2025-03-03 16:00:00,9,100.0,3.5999999999991594,1,1.40000000000029,2.1999999999988695,0.3888888888890602
2024-07-01 16:00:00,6,100.0,13.499999999999623,-1,4.500000000000615,8.999999999999009,0.33333333333338816
2024-09-03 16:00:00,7,100.0,10.449999999999626,-1,6.700000000001705,3.7499999999979217,0.6411483253590378
2022-10-03 20:00:00,3,100.0,6.800000000000139,-1,21.49999999999985,-14.699999999999712,3.161764705882266
2025-04-01 16:00:00,11,100.0,20.400000000000418,1,11.900000000000244,8.500000000000174,0.5833333333333334
2023-08-01 16:00:00,6,100.0,19.400000000000528,-1,2.80000000000058,16.599999999999948,0.14432989690724246
2025-07-01 16:00:00,14,100.0,8.00000000000134,-1,9.00000000000123,-0.9999999999998899,1.1249999999999654
2023-02-01 16:00:00,11,100.0,8.900000000000574,-1,7.200000000000539,1.7000000000000348,0.8089887640449522
2024-01-02 16:00:00,4,100.0,11.900000000000244,-1,1.100000000000545,10.799999999999699,0.09243697478995987
2025-06-02 16:00:00,6,100.0,9.600000000000719,1,2.9999999999996696,6.6000000000010495,0.31249999999994216
2023-12-01 16:00:00,9,100.0,12.199999999999989,1,19.000000000000128,-6.800000000000139,1.5573770491803398
2025-02-03 16:00:00,7,100.0,11.800000000001809,1,43.89999999999894,-32.09999999999713,3.7203389830501874
2023-11-01 15:00:00,8,100.0,7.999999999999119,-1,23.800000000000487,-15.800000000001369,2.9750000000003887
2023-09-01 16:00:00,6,100.0,14.799999999999258,1,30.199999999998006,-15.399999999998748,2.040540540540508
2023-06-01 16:00:00,7,100.0,12.399999999999078,-1,1.2999999999996348,11.099999999999444,0.1048387096773977
2024-03-01 16:00:00,13,100.0,13.199999999999878,1,12.000000000000899,1.1999999999989797,0.9090909090909856
2024-11-01 15:00:00,6,100.0,12.680000000000469,-1,1.3700000000005375,11.309999999999931,0.10804416403789328
2024-12-02 16:00:00,8,100.0,9.500000000000064,1,4.899999999998794,4.60000000000127,0.5157894736840801
2023-01-03 16:00:00,2,100.0,12.299999999998423,-1,0.7999999999985796,11.499999999999844,0.06504065040639692
2023-05-01 20:00:00,6,100.0,3.1999999999987594,1,0.2999999999997449,2.8999999999990145,0.09374999999995663
2025-08-01 16:00:00,12,100.0,26.89999999999859,-1,7.699999999999374,19.199999999999218,0.286245353159843
2024-05-01 16:00:00,8,100.0,5.60000000000116,1,2.100000000000435,3.5000000000007248,0.375
2022-12-01 21:00:00,5,100.0,5.9000000000009045,-1,7.500000000000284,-1.5999999999993797,1.2711864406778195
2024-10-01 16:00:00,8,100.0,9.56000000000179,1,5.860000000001975,3.6999999999998145,0.612970711297163
2025-05-01 16:00:00,6,100.0,11.899999999998023,-1,1.3000000000018552,10.599999999996168,0.10924369747916564
2023-10-02 16:00:00,6,100.0,23.299999999999432,-1,9.099999999999664,14.199999999999768,0.39055793991415816
2023-03-01 21:00:00,7,100.0,3.9999999999995595,1,0.8999999999992347,3.1000000000003247,0.22499999999983347
