20250901 013700;1.171400;1.171460;1.171380;1.171430;0
20250901 013800;1.171420;1.171540;1.171410;1.171500;0
20250901 013900;1.171500;1.171500;1.171410;1.171490;0
20250901 014000;1.171480;1.171480;1.171330;1.171340;0
20250901 014100;1.171350;1.171430;1.171350;1.171410;0
20250901 014200;1.171410;1.171450;1.171320;1.171320;0
20250901 014300;1.171320;1.171390;1.171300;1.171320;0
20250901 014400;1.171320;1.171320;1.171200;1.171240;0
20250901 014500;1.171240;1.171320;1.171160;1.171160;0
20250901 014600;1.171140;1.171190;1.171140;1.171190;0
20250901 014700;1.171190;1.171330;1.171180;1.171220;0
20250901 014800;1.171200;1.171270;1.171160;1.171160;0
20250901 014900;1.171150;1.171170;1.171080;1.171160;0
20250901 015000;1.171180;1.171230;1.171130;1.171130;0
20250901 015100;1.171160;1.171270;1.171160;1.171270;0
20250901 015200;1.171240;1.171330;1.171230;1.171330;0
20250901 015300;1.171340;1.171340;1.171220;1.171260;0
20250901 015400;1.171240;1.171350;1.171240;1.171320;0
20250901 015500;1.171320;1.171490;1.171320;1.171470;0
20250901 015600;1.171480;1.171480;1.171420;1.171470;0
20250901 015700;1.171460;1.171480;1.171440;1.171450;0
20250901 015800;1.171450;1.171450;1.171370;1.171400;0
20250901 015900;1.171390;1.171430;1.171300;1.171430;0
20250901 020000;1.171420;1.171450;1.171330;1.171440;0
20250901 020100;1.171410;1.171560;1.171400;1.171540;0
20250901 020200;1.171510;1.171510;1.171380;1.171410;0
20250901 020300;1.171390;1.171650;1.171390;1.171590;0
20250901 020400;1.171590;1.171680;1.171580;1.171670;0
20250901 020500;1.171700;1.172360;1.171700;1.172340;0
20250901 020600;1.172330;1.172360;1.172170;1.172210;0
20250901 020700;1.172200;1.172400;1.172190;1.172380;0
20250901 020800;1.172380;1.172420;1.172220;1.172320;0
20250901 020900;1.172310;1.172370;1.172250;1.172320;0
20250901 021000;1.172310;1.172440;1.172260;1.172430;0
20250901 021100;1.172430;1.172440;1.172390;1.172390;0
20250901 021200;1.172420;1.172450;1.172210;1.172270;0
20250901 021300;1.172260;1.172310;1.172180;1.172250;0
20250901 021400;1.172260;1.172330;1.172220;1.172290;0
20250901 021500;1.172280;1.172390;1.172280;1.172330;0
20250901 021600;1.172320;1.172390;1.172200;1.172340;0
20250901 021700;1.172330;1.172330;1.172140;1.172170;0
20250901 021800;1.172150;1.172160;1.172060;1.172080;0
20250901 021900;1.172070;1.172100;1.171920;1.171920;0
20250901 022000;1.171930;1.171960;1.171750;1.171820;0
20250901 022100;1.171860;1.171950;1.171840;1.171850;0
20250901 022200;1.171870;1.171960;1.171840;1.171890;0
20250901 022300;1.171900;1.172000;1.171850;1.171980;0
20250901 022400;1.171940;1.172070;1.171940;1.172020;0
20250901 022500;1.172030;1.172180;1.171990;1.172170;0
20250901 022600;1.172160;1.172200;1.172050;1.172090;0
20250901 022700;1.172090;1.172370;1.172090;1.172320;0
20250901 022800;1.172350;1.172430;1.172270;1.172310;0
20250901 022900;1.172280;1.172340;1.172270;1.172320;0
20250901 023000;1.172320;1.172380;1.172290;1.172370;0
20250901 023100;1.172370;1.172370;1.171960;1.172110;0
20250901 023200;1.172100;1.172270;1.172100;1.172190;0
20250901 023300;1.172210;1.172300;1.172180;1.172300;0
20250901 023400;1.172270;1.172610;1.172270;1.172580;0
20250901 023500;1.172590;1.172660;1.172520;1.172590;0
20250901 023600;1.172620;1.172820;1.172610;1.172770;0
20250901 023700;1.172780;1.173080;1.172780;1.173020;0
20250901 023800;1.173010;1.173220;1.172910;1.173010;0
20250901 023900;1.173010;1.173130;1.173000;1.173110;0
20250901 024000;1.173110;1.173230;1.173100;1.173120;0
20250901 024100;1.173170;1.173190;1.173090;1.173150;0
20250901 024200;1.173170;1.173280;1.173160;1.173280;0
20250901 024300;1.173290;1.173330;1.173090;1.173220;0
20250901 024400;1.173200;1.173320;1.173180;1.173240;0
20250901 024500;1.173210;1.173230;1.173120;1.173160;0
20250901 024600;1.173150;1.173220;1.173100;1.173140;0
20250901 024700;1.173120;1.173260;1.173110;1.173230;0
20250901 024800;1.173220;1.173230;1.173040;1.173040;0
20250901 024900;1.173040;1.173100;1.173000;1.173060;0
20250901 025000;1.173040;1.173140;1.172990;1.173050;0
20250901 025100;1.173030;1.173030;1.172810;1.172810;0
20250901 025200;1.172820;1.172820;1.172630;1.172790;0
20250901 025300;1.172800;1.172810;1.172720;1.172790;0
20250901 025400;1.172810;1.172830;1.172770;1.172770;0
20250901 025500;1.172780;1.172800;1.172520;1.172540;0
