time_group,num_events,max_score,max_surprise,phase1_pips,phase1_direction,pullback_pips,impact_net_pips,pullback_ratio
2025-03-19 21:00:00,4,0.0,44852.47524752475,3.0999999999981043,1,1.0999999999983245,1.9999999999997797,0.35483870967709585
2023-08-09 16:30:00,9,0.0,33162.5,5.20000000000076,1,2.6999999999999247,2.500000000000835,0.5192307692306789
2024-03-20 15:30:00,9,0.0,15115.384615384615,1.2999999999996348,-1,1.80000000000069,-0.5000000000010552,1.3846153846163043
2024-08-21 16:30:00,9,0.0,8380.0,7.399999999999629,-1,15.95000000000013,-8.550000000000502,2.155405405405531
2023-03-29 20:30:00,9,0.0,8240.217391304346,5.9000000000009045,1,0.5999999999994898,5.300000000001415,0.10169491525413522
2024-09-25 16:30:00,9,0.0,7590.000000000001,6.319999999999659,-1,3.1200000000009,3.1999999999987594,0.49367088607611836
2025-01-02 17:00:00,11,25.199964392161,6505.999999999999,35.400000000000986,-1,14.600000000000168,20.800000000000818,0.4124293785310667
2024-07-02 22:30:00,1,0.0,6008.666666666667,2.1999999999988695,-1,0.0,2.1999999999988695,0.0
2024-01-04 17:00:00,9,0.0,5169.767441860466,5.800000000000249,1,4.100000000000215,1.7000000000000348,0.7068965517241446
2025-04-24 14:30:00,13,37.427795215361485,5100.0,6.899999999998574,1,13.300000000000534,-6.40000000000196,1.9275362318845337
2024-11-15 14:30:00,6,35.00725344868514,4557.142857142857,28.369999999999784,-1,0.8900000000000574,27.479999999999727,0.031371166725416434
2023-10-03 22:30:00,1,0.0,4476.08695652174,3.7999999999982492,-1,1.1999999999989797,2.5999999999992696,0.3157894736840875
2022-09-28 20:30:00,9,0.0,4091.3043478260865,8.00000000000023,1,0.0999999999995449,7.900000000000684,0.012499999999942755
2023-10-04 16:30:00,10,0.0,3925.4658385093167,9.599999999998499,1,5.599999999998939,3.9999999999995595,0.583333333333314
2024-08-27 16:30:00,4,0.0,3750.0,3.649999999999487,-1,1.0500000000002174,2.5999999999992696,0.28767123287681234
2023-03-29 02:30:00,1,0.0,3349.1978609625667,3.8999999999989043,1,0.700000000000145,3.1999999999987594,0.17948717948726708
2025-05-14 16:30:00,11,25.199964392161,3254.9999999999995,6.900000000000794,-1,6.099999999999994,0.8000000000008001,0.8840579710143901
2023-02-15 03:30:00,1,0.0,3173.208722741433,4.500000000000615,-1,0.9999999999998899,3.5000000000007248,0.2222222222221674
2022-09-14 02:30:00,1,0.0,3117.5,8.00000000000023,-1,9.500000000000064,-1.4999999999998348,1.187499999999974
2023-02-08 21:30:00,9,0.0,2922.680412371134,3.1000000000003247,-1,3.900000000001125,-0.8000000000008001,1.2580645161292634
2024-10-18 14:30:00,4,17.50579112239943,2799.9999999999995,8.259999999999934,1,2.4399999999991095,5.8200000000008245,0.29539951573839335
2025-03-19 15:30:00,9,0.0,2711.9999999999995,4.300000000001525,-1,9.599999999998499,-5.299999999996974,2.232558139533743
2025-03-17 13:30:00,10,35.00725344868514,2566.666666666667,13.300000000000534,-1,14.099999999999113,-0.7999999999985796,1.0601503759397404
2022-11-02 01:30:00,1,0.0,2545.692883895131,6.399999999999739,1,2.1999999999999797,4.1999999999997595,0.3437500000000108
2024-11-26 22:30:00,1,0.0,2474.0,0.9999999999998899,1,0.5499999999991623,0.4500000000007276,0.5499999999992229
2024-09-11 16:30:00,9,0.0,2411.0,4.3999999999999595,-1,9.650000000001047,-5.250000000001087,2.1931818181820764
2024-02-07 16:30:00,9,0.0,2346.428571428571,5.299999999999194,1,23.199999999998777,-17.899999999999583,4.377358490566473
2024-07-25 14:30:00,30,33.282053649144096,2300.0,6.599999999998829,-1,11.799999999999589,-5.20000000000076,1.7878787878790428
2025-09-10 16:30:00,11,25.199964392161,2257.4999999999995,6.00000000000156,1,1.5999999999993797,4.40000000000218,0.26666666666649397
2025-04-23 16:30:00,11,25.199964392161,2253.0,6.900000000000794,-1,0.2999999999997449,6.6000000000010495,0.04347826086952324
2023-09-13 16:30:00,9,0.0,2245.9915611814345,7.0000000000014495,1,3.300000000001635,3.6999999999998145,0.47142857142870737
2022-10-26 02:30:00,1,0.0,2159.9999999999995,4.100000000000215,-1,3.6000000000002697,0.49999999999994493,0.8780487804878246
2024-03-19 21:30:00,1,0.0,2072.7272727272725,2.4000000000001798,-1,0.9999999999998899,1.40000000000029,0.4166666666665896
2024-09-17 22:30:00,1,0.0,2060.0,1.9499999999994522,-1,0.20000000000131024,1.749999999998142,0.10256410256480329
2023-10-12 17:00:00,10,0.0,1968.2926829268297,5.999999999999339,-1,2.80000000000058,3.1999999999987594,0.4666666666668147
2023-07-12 16:30:00,3,0.0,1937.7862595419845,14.900000000002134,1,4.3999999999999595,10.500000000002174,0.2953020134227738
2025-04-09 16:30:00,11,25.199964392161,1872.0,13.700000000000934,-1,6.6000000000010495,7.099999999999884,0.481751824817562
2023-08-08 22:30:00,1,0.0,1845.4935622317596,3.6999999999998145,1,4.999999999999449,-1.2999999999996348,1.3513513513512703
2023-09-21 14:30:00,13,26.84356289399415,1828.571428571429,8.699999999999264,1,7.399999999999629,1.2999999999996348,0.8505747126437075
2023-02-23 22:00:00,11,0.0,1818.5185185185187,3.20000000000098,-1,1.4999999999987246,1.7000000000022553,0.4687499999994579
2023-08-15 14:30:00,22,35.00725344868514,1800.0,24.299999999999322,1,6.699999999999484,17.599999999999838,0.27572016460904
2022-12-20 22:30:00,1,0.0,1737.7245508982035,1.2000000000012,1,2.20000000000109,-0.9999999999998899,1.8333333333324082
2025-01-30 16:00:00,6,0.0,1733.3333333333335,8.299999999998864,1,3.8999999999989043,4.3999999999999595,0.46987951807222145
