time_group,num_events,event_keys,event_titles,countries,max_empirical_score,mean_empirical_score,impact_reel_pips,surprise_pct,year,impact_base,amplification_v1,impact_v1_brut,impact_v1_final,amplification_v2,impact_v2_brut,impact_v2_final,impact_reel,erreur_v1,erreur_v2,erreur_pct_v1,erreur_pct_v2,amelioration_pct,surprise_range
2025-03-21 08:45:00+01:00,1,non farm payrolls,Non-Farm Payrolls,FR,47.27,47.27,12.2,2.1052631578947367,2025,12.72613,1.0,12.72613,9.64640654,1.0,12.72613,9.64640654,12.2,2.55359346,2.55359346,20.931093934426233,20.931093934426233,0.0,0-5%
2025-05-22 10:30:00+02:00,1,s p global services pmi,S&P Global Services PMI,GB,55.06,55.06,32.7,0.4000000000000056,2025,15.990139999999998,1.0,15.990139999999998,12.12052612,1.0,15.990139999999998,12.12052612,32.7,20.579473880000002,20.579473880000002,62.93417088685015,62.93417088685015,0.0,0-5%
2025-05-02 09:15:00+02:00,2,"hcob manufacturing pmi,manufacturing pmi",HCOB Manufacturing PMI | Manufacturing PMI,ES,61.18,59.33,13.1,3.799999999999997,2025,18.55442,1.0,18.55442,14.06425036,1.0,18.55442,14.06425036,13.1,0.9642503600000012,0.9642503600000012,7.360689770992376,7.360689770992376,0.0,0-5%
2025-02-24 11:00:00+01:00,3,"core inflation rate,cpi,inflation rate",Core Inflation Rate | CPI | Inflation Rate,EU,59.03,57.98,10.6,0.0078920369347368,2025,17.653570000000002,1.0,17.653570000000002,13.381406060000002,1.0,17.653570000000002,13.381406060000002,10.6,2.781406060000002,2.781406060000002,26.23967981132077,26.23967981132077,0.0,0-5%
2025-08-01 09:45:00+02:00,2,"hcob manufacturing pmi,manufacturing pmi",HCOB Manufacturing PMI | Manufacturing PMI,IT,57.67,57.650000000000006,12.5,2.2587268993839715,2025,17.083730000000003,1.0,17.083730000000003,12.949467340000002,1.0,17.083730000000003,12.949467340000002,12.5,0.44946734000000177,0.44946734000000177,3.595738720000014,3.595738720000014,0.0,0-5%
2025-01-06 10:30:00+01:00,2,"s p global composite pmi,s p global services pmi",S&P Global Composite PMI | S&P Global Services PMI,GB,55.06,54.655,23.1,0.5836575875486326,2025,15.990139999999998,1.0,15.990139999999998,12.12052612,1.0,15.990139999999998,12.12052612,23.1,10.979473880000002,10.979473880000002,47.53018995670996,47.53018995670996,0.0,0-5%
2025-04-23 15:45:00+02:00,3,"s p global composite pmi,s p global manufacturing pmi,s p global services pmi",S&P Global Composite PMI | S&P Global Manufacturing PMI | S&P Global Services PMI,US,72.91,72.05666666666667,50.4,3.258655804480654,2025,23.469289999999994,1.0,23.469289999999994,17.789721819999997,1.0,23.469289999999994,17.789721819999997,50.4,32.61027818,32.61027818,64.7029328968254,64.7029328968254,0.0,0-5%
2025-05-26 08:30:00+02:00,1,non farm payrolls,Non Farm Payrolls,CH,52.74,52.74,21.1,0.2181818181818103,2025,15.01806,1.0,15.01806,11.383689480000001,1.0,15.01806,11.383689480000001,21.1,9.71631052,9.71631052,46.048865023696685,46.048865023696685,0.0,0-5%
2025-06-04 10:30:00+02:00,2,"s p global composite pmi,s p global services pmi",S&P Global Composite PMI | S&P Global Services PMI,GB,55.06,54.655,15.0,1.8218623481781344,2025,15.990139999999998,1.0,15.990139999999998,12.12052612,1.0,15.990139999999998,12.12052612,15.0,2.879473880000001,2.879473880000001,19.19649253333334,19.19649253333334,0.0,0-5%
2025-06-23 15:45:00+02:00,2,"s p global composite pmi,s p global services pmi",S&P Global Composite PMI | S&P Global Services PMI,US,72.91,72.16499999999999,50.8,0.5714285714285661,2025,23.469289999999994,1.0,23.469289999999994,17.789721819999997,1.0,23.469289999999994,17.789721819999997,50.8,33.01027818,33.01027818,64.98086255905513,64.98086255905513,0.0,0-5%
2025-06-27 16:00:00+02:00,6,"inflation expectations,michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Inflation Expectations | Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations,US,62.74,50.59,20.5,2.439024390243894,2025,19.208060000000003,1.0,19.208060000000003,14.559709480000002,1.0,19.208060000000003,14.559709480000002,20.5,5.940290519999998,5.940290519999998,28.977026926829257,28.977026926829257,0.0,0-5%
2025-07-02 11:00:00+02:00,1,unemployment rate,Unemployment Rate,EU,56.9,56.9,5.5,1.6129032258064455,2025,16.7611,1.0,16.7611,12.7049138,1.0,16.7611,12.7049138,5.5,7.2049138,7.2049138,130.99843272727273,130.99843272727273,0.0,0-5%
2025-02-03 09:55:00+01:00,2,"hcob manufacturing pmi,manufacturing pmi",HCOB Manufacturing PMI | Manufacturing PMI,DE,68.32,67.05,19.5,2.040816326530609,2025,21.546079999999996,1.0,21.546079999999996,16.331928639999997,1.0,21.546079999999996,16.331928639999997,19.5,3.1680713600000026,3.1680713600000026,16.24651979487181,16.24651979487181,0.0,0-5%
2025-02-28 15:20:00+01:00,1,consumer confidence,Consumer Confidence,ES,50.39,50.39,8.6,1.279069767441854,2025,14.033409999999998,1.0,14.033409999999998,10.637324779999998,1.0,14.033409999999998,10.637324779999998,8.6,2.0373247799999987,2.0373247799999987,23.689823023255798,23.689823023255798,0.0,0-5%
2025-02-20 23:00:00+01:00,5,"judo bank composite pmi,judo bank manufacturing pmi,judo bank services pmi,manufacturing pmi,services pmi",Judo Bank Composite PMI | Judo Bank Manufacturing PMI | Judo Bank Services PMI,AU,40.72,25.036,0.4,1.4028056112224507,2025,9.981679999999999,1.0,9.981679999999999,7.56611344,1.0,9.981679999999999,7.56611344,0.4,7.166113439999999,7.166113439999999,1791.5283599999998,1791.5283599999998,0.0,0-5%
2024-07-24 10:30:00+02:00,3,"s p global composite pmi,s p global manufacturing pmi,s p global services pmi",S&P Global Composite PMI | S&P Global Manufacturing PMI | S&P Global Services PMI,GB,55.06,54.77,6.3,1.3698630136986218,2024,15.990139999999998,1.0,15.990139999999998,12.12052612,1.0,15.990139999999998,12.12052612,6.3,5.820526119999999,5.820526119999999,92.38930349206348,92.38930349206348,0.0,0-5%
