date,tested_s98,impact_real,r_squared_72h,amp_optimal,error_optimal,error_baseline
2025-10-15,NON,23.900000000001143,0.08037045553108857,1.0793522156322566,3.1558541060405787e-06,31.457270078300034
2025-09-11,OUI,14.299999999998203,0.405670127533865,0.6354522160218732,3.302779495228947e-05,41.95901763993331
2025-08-12,OUI,43.89999999999894,0.571439536489519,4.9999936677422125,3.4764378893558927,23.688193347403402
2025-07-15,OUI,20.800000000000818,0.008227883025133997,0.9467002416454009,6.424286464579154e-06,34.12761240760557
2025-06-11,OUI,19.100000000000783,0.13305181294925328,0.8487534270592877,1.360995153731892e-05,37.15901763993074
2025-05-13,OUI,40.10000000000069,0.5530837499794977,1.7819388163550065,5.092103731385578e-05,16.15901763993083
2025-04-10,OUI,93.19999999999995,0.23737583444999666,4.1415584111366535,3.0835775532978005e-06,36.940982360068425
2025-02-12,OUI,36.300000000000225,0.6601729125629858,1.6385913401854635,2.96669696808749e-05,19.082981675683016
2025-01-15,OUI,67.39999999999968,0.7538918905842728,3.067674838418817,2.180689442354833e-05,12.47238759239331
2024-12-11,OUI,16.999999999998128,0.6131735178277273,2.055806639548316,6.726866466522097e-06,3.6731422913249894
2024-11-13,OUI,21.700000000000053,0.7698436994098308,2.684073354415019,1.1327672090999386e-05,1.4881933474045148
2024-10-10,NON,8.799999999999919,0.5866638489724968,0.5000063322577876,2.6272557895289985,48.335555353514
2024-09-11,NON,8.00000000000134,0.46000525900327516,0.5000063322577876,3.427255789527578,49.135555353512586
2024-08-14,NON,18.399999999998418,0.8038570705593364,2.2251094069170367,1.3531845795000663e-06,2.2731422913246995
2024-07-11,NON,9.500000000000064,0.024568016966998507,0.5000063322577876,1.9272557895288536,47.63555535351386
2024-06-12,NON,10.000000000001119,0.2734931950959105,0.5000063322577876,5.421498658280388,67.10651677472379
2024-05-15,NON,26.300000000001322,0.8372875995909532,1.1951761014822666,1.706220013986126e-05,28.712849214403104
2024-04-10,NON,25.999999999999357,0.45486178711347314,1.1343784254923952,9.68036746584744e-06,31.300081117874026
2024-03-12,NON,6.900000000000794,0.25203297897135124,0.5000063322577876,4.527255789528123,50.23555535351313
2024-02-13,NON,9.599999999998499,0.42652392080488055,0.5000063322577876,1.827255789530419,47.53555535351542
2024-02-09,NON,5.999999999999339,0.5387968683872869,0.7399240252878068,2.598897319572302e-07,14.27235248090322
2024-01-11,NON,15.399999999998748,0.21547105987284987,0.6654461059809361,2.1963338909358754e-05,42.45584248764601
2023-12-12,NON,8.099999999999774,0.3065028912606873,0.979533007757523,1.0099367820259886e-05,12.573142291323343
2023-11-14,NON,25.999999999999357,0.5575746105912416,1.1376464381904146,2.441678319797802e-05,31.135555353514565
2023-10-12,NON,8.20000000000043,0.8246853929328354,0.5000063322577876,3.2272557895284884,48.93555535351349
2023-09-13,NON,13.499999999999623,0.1286634674894318,0.590701333213342,1.9488482523755124e-05,43.6355553535143
2023-08-10,NON,19.800000000000928,0.005315688583401257,2.3944129922949204,1.6197561333086696e-05,0.8731422913221891
2023-07-12,NON,7.399999999999629,0.7401880459109655,0.5000063322577876,4.027255789529288,49.73555535351429
2023-06-13,NON,14.400000000001079,0.6324613453721364,0.6308509526144073,3.37799283229856e-05,42.665911211878644
2023-06-13,NON,9.700000000001374,0.6324613453721364,0.5000063322577876,1.7133267847988414,47.36591121187835
