cluster_time,trend_r2,impact_measured,total_score,n_events,amplification_ideal,trend_duration_hours
2023-03-14 16:30:00+00:00,0.5351571924450987,20.500000000001073,282.05518653948076,6,0.029671817268065604,8.733333333333333
2023-04-12 16:30:00+00:00,0.2442157714971541,4.500000000000615,282.05518653948076,6,0.006513325741771048,123.86666666666666
2023-08-10 12:30:00+00:00,0.534041387708696,41.29999999999967,282.05518653948076,6,0.05977785625224564,24.166666666666668
2023-09-13 12:30:00+00:00,0.1099348704344961,30.799999999999716,282.05518653948076,6,0.044580096188115335,35.28333333333333
2023-10-12 12:30:00+00:00,0.2595029913179689,54.69999999999864,282.05518653948076,6,0.07917309290551529,23.983333333333334
2023-11-14 13:30:00+00:00,0.7697333908435033,96.60000000000002,282.05518653948076,6,0.13981939258999942,113.76666666666668
2023-12-12 13:30:00+00:00,0.1753043452304212,34.899999999999935,282.0551865394808,6,0.05051445964172845,162.8
2024-02-13 13:30:00+00:00,0.888324924963271,92.40000000000136,282.05518653948076,6,0.1337402885643492,4.316666666666666
2024-03-12 12:30:00+00:00,0.36484680878425,31.49999999999986,282.05518653948076,6,0.0455932801923909,94.78333333333332
2024-04-10 12:30:00+00:00,0.5414152427968426,96.00000000000053,282.05518653948076,6,0.13895094915776413,119.25
2024-05-15 12:30:00+00:00,0.8486680232664496,39.70000000000029,282.05518653948076,6,0.05746200709961714,117.6
2024-06-12 12:30:00+00:00,0.5921861031507168,72.10000000000161,282.05518653948076,6,0.1043579524403642,287.51666666666665
2024-07-11 12:30:00+00:00,0.0087417385974336,52.49999999999977,282.05518653948076,6,0.07598880032065151,142.3
2024-08-14 12:30:00+00:00,0.0943735028178555,23.400000000000087,282.0551865394808,6,0.03386929385720494,222.28333333333333
2024-09-11 12:30:00+00:00,0.6016331798371294,44.69999999999974,282.05518653948076,6,0.0646990357015832,119.96666666666668
2024-10-10 12:30:00+00:00,0.872017633125867,23.799999999998267,282.05518653948076,6,0.03444825614535966,243.53333333333333
2024-11-13 13:30:00+00:00,0.5414694908389036,28.099999999999792,282.05518653948076,6,0.04067210074305335,5.333333333333333
2024-12-11 13:30:00+00:00,0.6131786909587497,24.599999999999067,282.0551865394808,6,0.035606180721675505,111.5
2025-01-15 13:30:00+00:00,0.8878957353244481,52.1999999999978,282.05518653948076,6,0.07555457860453065,52.03333333333333
2025-02-12 13:30:00+00:00,0.431125415211709,49.9000000000005,282.05518653948076,6,0.07222554544762981,17.816666666666666
2025-03-12 12:30:00+00:00,0.3139261525017025,38.399999999998435,282.05518653948076,6,0.055580379663103086,18.1
2025-04-10 12:30:00+00:00,0.7842984002009193,32.69999999999884,282.0551865394808,6,0.04733016705686146,18.183333333333337
2025-05-13 12:30:00+00:00,0.7162583792269916,35.09999999999902,282.05518653948076,6,0.050803940785805815,108.36666666666666
2025-06-11 12:30:00+00:00,0.0953404814652966,52.400000000001334,282.05518653948076,6,0.07584405974861444,29.266666666666666
2025-07-15 12:30:00+00:00,0.0074040420973958,22.899999999999032,282.05518653948076,6,0.03314559099700674,30.116666666666667
2025-08-12 12:30:00+00:00,0.6129720712163909,51.00000000000104,282.05518653948076,6,0.0738176917400633,93.13333333333334
2025-09-11 12:30:00+00:00,0.1858687503572403,60.100000000000705,282.0551865394808,6,0.08698908379564245,339.98333333333335
2025-10-15 12:30:00+00:00,0.0780768462154187,11.400000000001407,282.05518653948076,6,0.016500425212486437,111.56666666666666
2025-10-24 12:30:00+00:00,0.0844750754691542,7.300000000001194,282.0551865394808,6,0.010566061758873316,41.983333333333334
