date,wave1_pips,wave2_pips,total_pips,pullback1_ratio,pullback2_ratio,confidence,direction
2024-12-27,3.0,8.9,11.9,0.867,0.36,80.0,bullish
2024-12-30,6.2,57.8,64.0,0.468,0.289,85.0,bearish
2025-01-06,31.2,82.9,114.10000000000001,0.369,0.248,85.0,bearish
2025-01-14,28.4,30.1,58.5,0.961,0.581,80.0,bullish
2025-01-20,85.1,90.8,175.89999999999998,0.383,0.242,95.0,bullish
2025-01-21,13.0,35.6,48.6,0.492,0.211,75.0,bullish
2025-01-31,11.9,23.4,35.3,0.697,0.393,85.0,bearish
2025-02-03,10.9,18.3,29.200000000000003,0.56,0.776,95.0,bearish
2025-02-06,6.7,14.0,20.7,0.701,0.864,80.0,bullish
2025-02-11,6.2,19.3,25.5,1.0,0.461,75.0,bullish
2025-02-13,20.1,51.2,71.30000000000001,0.478,0.266,75.0,bullish
2025-02-14,14.1,30.0,44.1,0.915,0.307,80.0,bullish
2025-02-21,7.2,12.6,19.8,0.319,0.556,95.0,bullish
2025-02-26,8.2,10.3,18.5,0.707,0.34,95.0,bearish
2025-03-03,5.2,7.9,13.100000000000001,0.385,0.532,80.0,bullish
2025-03-05,12.7,70.2,82.9,0.89,0.288,70.0,bullish
2025-03-12,12.0,16.1,28.1,0.908,0.87,95.0,bearish
2025-03-13,9.7,32.2,41.900000000000006,0.464,0.286,75.0,bullish
2025-03-18,5.2,15.3,20.5,0.904,0.444,75.0,bearish
2025-03-31,11.8,24.8,36.6,0.492,0.282,80.0,bearish
2025-04-10,28.2,40.2,68.4,0.947,0.473,85.0,bullish
2025-05-06,6.8,10.7,17.5,0.412,0.458,90.0,bullish
2025-05-12,23.3,31.3,54.6,0.579,0.307,85.0,bullish
2025-05-15,18.5,29.8,48.3,0.422,0.446,80.0,bullish
2025-05-22,26.0,29.7,55.7,0.931,0.468,80.0,bearish
2025-05-23,13.5,24.6,38.1,0.43,0.76,90.0,bullish
2025-05-29,64.3,73.8,138.1,0.309,0.214,80.0,bullish
2025-06-05,16.9,63.2,80.1,0.71,0.217,70.0,bullish
2025-06-10,11.1,20.6,31.700000000000003,0.73,0.456,90.0,bullish
2025-06-16,7.8,30.0,37.8,0.91,0.263,75.0,bullish
2025-06-24,10.7,41.3,52.0,0.729,0.291,75.0,bullish
2025-06-27,17.8,33.8,51.599999999999994,0.421,0.482,90.0,bullish
2025-07-02,9.4,23.5,32.9,0.691,0.996,90.0,bearish
2025-07-14,3.1,11.1,14.2,0.613,0.802,75.0,bearish
2025-07-17,13.0,18.9,31.9,0.454,0.407,90.0,bullish
2025-07-23,4.9,10.2,15.1,0.571,0.941,90.0,bearish
2025-07-29,6.2,15.4,21.6,0.806,0.338,85.0,bearish
2025-07-30,32.1,54.9,87.0,0.402,0.246,85.0,bearish
2025-08-12,44.7,50.6,95.30000000000001,0.568,0.451,90.0,bullish
2025-08-19,8.7,13.6,22.299999999999997,0.598,0.471,80.0,bearish
2025-08-20,16.8,21.3,38.1,0.423,0.263,90.0,bullish
2025-09-05,48.6,57.7,106.30000000000001,0.588,0.314,80.0,bullish
