rank,approach,metric,method,r2,p_value,formula,mae_baseline,mae_dynamic,improvement_pct
1,Intra_C1,volatility_pips,Pearson,0.6731377781409653,0.0019756054081057853,y = 0.0339 * volatility_pips + 0.5352,0.5002293149344692,0.29088839425769625,41.84899093812543
2,Intra_C1,volatility_pips,Linear,0.6731377781409653,0.0019756054081057853,y = 0.0339 * volatility_pips + 0.5352,0.5002293149344692,0.29088839425769625,41.84899093812543
3,Ecarts_Combined,duration_hours,Pearson,0.362059508190287,0.010606180713561095,y = 0.0166 * duration_hours + -0.9878,1.8509067388185967,0.5492035726057656,70.32786357694536
