date,cluster,amp_optimal,r2_linear,duration_hours,amplitude_pips,reversal_type,r_pearson,slope_pips_hour,r2_poly2,r2_poly3,rho_spearman,adx,volatility_pips,hurst,autocorr_lag1
2025-09-11,3,2.5373717473398947,0.6376423334826076,54.583333333333336,115.99999999999832,PEAK,-0.7983642698227692,-1.0804160661887854,0.7392503020437333,0.8826002526692645,-0.8306895436001194,23.4727859166772,21.34614434231187,0.5273921353717047,0.9963850011944226
2025-08-12,3,4.9999936677422125,0.428811685295364,108.48333333333332,88.99999999999908,PEAK,-0.6548398595280553,-0.3715539581856338,0.5845693031902157,0.5967589478849415,-0.7303931322261524,24.64035638974294,21.894428018676702,0.5126472246739088,0.9981261738766198
2025-07-15,3,2.0130106898011864,0.0168144357337687,35.3,43.400000000000105,PEAK,-0.1292186615400768,-0.11974833746436515,0.11984425364602869,0.1442650456361967,-0.11866354827683138,22.11533581784067,9.466351252235425,0.4576558120765407,0.9926755110971597
2025-06-11,3,2.3996141067970127,0.3668277749119039,119.06666666666666,76.10000000000116,TROUGH,0.6057119285578967,0.2659296455382935,0.3674572559714566,0.3764752117841952,0.5177069725648721,15.283073127560568,13.651249392096354,0.477205142043079,0.9925697244340782
2025-05-13,3,1.5375337874555182,0.4108385084603226,35.4,177.5000000000015,PEAK,-0.6405958669897122,-3.0016137401530116,0.792110293234775,0.8485654575497454,-0.42876211059007824,19.05758075585809,47.91703050129038,0.5770938209482631,0.9977331958930825
2025-04-10,3,1.7819388163550065,0.0888549856584977,45.916666666666664,217.6,TROUGH,0.2992358887777006,1.06705352450858,0.16853341310114722,0.7165002332549322,0.3022660096339213,58.42553493675882,47.29010924296069,0.5252029076967936,0.9952301033601133
2025-10-01,1,1.6131676182275587,0.0254891708814767,29.033333333333335,0.0,PEAK,0.16104733418453307,0.20195574862858495,0.054246315314699256,0.11494648998940649,0.08961170409050168,17.4076867982728,10.533784394476786,0.45981547697358754,0.9887514550961175
2025-09-02,1,1.5452447711442256,0.0647481568491862,116.45,0.0,PEAK,0.2537515200070032,0.1474267158634456,0.41375192187162757,0.6081742266373716,0.27320690942816694,43.97762050716115,24.240344918741098,0.5401254536125015,0.998513745310981
2025-07-01,1,1.3627021196080742,0.7027512365298622,25.066666666666663,0.0,TROUGH,0.8380772168912604,2.8372471918687965,0.7855977590290062,0.8912952996271478,0.8379489197777329,26.77528704340258,24.527193077515204,0.6189931334189073,0.9952887164758466
2025-06-02,1,1.4051538990351102,0.471215376048,71.96666666666667,0.0,TROUGH,0.6866947099572619,0.7378537008095096,0.7805165037670158,0.8401917358278138,0.8922272417148626,21.982414383417616,30.046418238209263,0.6107741177884424,0.9967455136315105
2025-05-01,1,2.105608259581158,0.833395280284716,64.75,0.0,PEAK,-0.9129625658741949,-1.6597131754074665,0.8629395218957518,0.8676568112561717,-0.916118620579067,16.29870996553536,33.98488442885176,0.48883726257914534,0.9980774562669728
2025-04-01,1,0.8660163003116487,0.1588353076624881,30.633333333333333,0.0,PEAK,-0.39961704097044304,-0.5221308627090439,0.2484133560630093,0.6445807931616758,-0.31892880754489916,19.707262700935754,11.598042519642418,0.4789128233281836,0.9883934060444872
2025-03-03,1,0.8278096988273446,0.5964291336352798,66.7,0.0,TROUGH,0.726580611156786,1.124644952189638,0.7261102263523687,0.8543272382175023,0.6980037621037489,39.873897054501676,28.04862472151138,0.6216092348739317,0.9945390750268202
2025-02-03,1,3.290012905595624,0.9396749392987432,101.75,0.0,PEAK,-0.9689927272934086,-1.9808893321536232,0.9421654514692015,0.9596970773210753,-0.8605164329004897,12.562195149771886,73.41100839264509,0.52374345980543,0.9988394799978799
2024-12-02,1,1.1334625107020608,0.6826582961603864,65.2,0.0,PEAK,-0.7442631514131255,-1.3728269806957683,0.6932107580554041,0.7713242287456117,-0.8249690938111808,43.202513654101026,18.860351275562056,0.6133831587449297,0.9894158054676154
2024-10-01,1,0.9339391473948876,0.8067559674582894,28.8,0.0,PEAK,-0.8983149686629174,-3.4389054165068127,0.8069698371253727,0.9213712312317481,-0.8566602675301105,40.795190612032584,31.899503484088665,0.6156533101206129,0.995969167844281
2024-09-03,1,0.8745066561970182,0.543000989475438,29.416666666666668,0.0,PEAK,-0.7364926052895198,-0.8819987469059538,0.7133319393864577,0.7150437419708273,-0.7188153016946203,25.407603814939986,10.299507152412444,0.4590104957202777,0.996212756334629
