approach,metric,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,linear_r2,linear_p,poly2_r2,poly3_r2,distance_corr,mutual_info
Intra_C3,r2_linear,6,0.345547183944367,0.5023088844636473,0.5428571428571429,0.26570262390670557,0.3333333333333333,0.46944444444444444,0.1194028563318822,0.5023088844636471,0.1613667240938753,0.2574743397326513,,2.220446049250313e-16
Intra_C3,r_pearson,6,-0.33184501665589483,0.5205040466499943,-0.4285714285714286,0.3965014577259474,-0.2,0.7194444444444444,0.11012111507935109,0.5205040466499945,0.14688696439464588,0.20940027374777814,,0.0
Intra_C3,slope_pips_hour,6,0.151042685663189,0.7751589073316629,-0.028571428571428574,0.9571545189504373,-0.06666666666666665,1.0,0.022813892892348933,0.7751589073316628,0.36361778941481715,0.36926512557292823,,0.0
Intra_C3,duration_hours,6,0.674028288297523,0.14206785640472544,0.6571428571428573,0.15617492711370237,0.4666666666666666,0.2722222222222222,0.4543141334252888,0.1420678564047253,0.5924593343877462,0.9853735929823223,,0.06944444444444464
Intra_C3,r2_poly2,6,0.21326942525850195,0.6849460191463509,0.028571428571428574,0.9571545189504373,0.06666666666666665,1.0,0.045483847750091726,0.6849460191463508,0.5006473044098003,0.9409686862670751,,0.0
Intra_C3,r2_poly3,6,-0.041180862582378776,0.9382636246861347,-0.08571428571428573,0.8717434402332361,-0.06666666666666665,1.0,0.0016958634430287638,0.9382636246861348,0.293718145434797,0.2966023190425585,,0.0
Intra_C3,rho_spearman,6,-0.462664187259504,0.35552223914865955,-0.4285714285714286,0.3965014577259474,-0.2,0.7194444444444444,0.21405815017249732,0.3555222391486598,0.3707831925981756,0.39164850650552374,,2.220446049250313e-16
Intra_C3,adx,6,-0.1766473293760929,0.7377850822089433,0.2,0.704,0.2,0.7194444444444444,0.03120427897570585,0.7377850822089432,0.31025972219987363,0.8490703408242415,,0.0
Intra_C3,amplitude_pips,6,-0.38985065527293816,0.44484945713719887,-0.4285714285714286,0.3965014577259474,-0.2,0.7194444444444444,0.15198353341673923,0.444849457137199,0.2971862530749604,0.5451326307615693,,0.0
Intra_C3,volatility_pips,6,-0.3595013262865033,0.4839792026230927,-0.4285714285714286,0.3965014577259474,-0.2,0.7194444444444444,0.12924120360175484,0.48397920262309246,0.6154866548239025,0.6506886008729837,,0.0
Intra_C3,hurst,6,-0.15216973349988522,0.7735071926053461,-0.3142857142857143,0.5440932944606414,-0.2,0.7194444444444444,0.02315562779342608,0.7735071926053463,0.3139724966360803,0.3828157667018449,,0.0
Intra_C3,autocorr_lag1,6,0.41505812480268633,0.41316451821539435,0.2,0.704,0.06666666666666665,1.0,0.1722732469647223,0.4131645182153945,0.3848641393359573,0.48099846162809445,,0.0555555555555558
Intra_C1,r2_linear,11,0.34268016977135385,0.30224514805851854,0.21818181818181823,0.519248247554982,0.1272727272727273,0.6480954385121052,0.11742969875452397,0.30224514805851876,0.6752535655929651,0.7431123965347264,,0.029437229437230483
Intra_C1,r_pearson,11,-0.2898456660874983,0.3872759727547076,-0.36363636363636365,0.2716375409938228,-0.34545454545454546,0.16457331248997917,0.08401051014970555,0.3872759727547075,0.16855617259771172,0.5494106014182072,,0.11713564213564265
Intra_C1,slope_pips_hour,11,-0.21237743768384626,0.5306939787746782,-0.23636363636363636,0.4840911622253965,-0.23636363636363636,0.3587114698573032,0.04510417603715604,0.5306939787746783,0.048035046631100364,0.24160075494267508,,0.0
Intra_C1,duration_hours,11,0.554991338588414,0.07636583313849278,0.28181818181818186,0.4011448979604785,0.16363636363636364,0.5422593494468494,0.30801538590815947,0.07636583313849274,0.3116583970092687,0.6714891869144046,,0.0
Intra_C1,r2_poly2,11,0.29476890537217265,0.3788908772330696,0.3272727272727273,0.32589494101284167,0.2,0.4453821448613115,0.0868887075743089,0.3788908772330696,0.5761535365322927,0.7875832813751457,,0.03502886002886085
Intra_C1,r2_poly3,11,0.14567181317546984,0.6691093313752206,0.14545454545454548,0.6695786456420787,0.0909090909090909,0.7611503928170594,0.02122027715382899,0.6691093313752203,0.2846539487199875,0.5097235444835624,,0.0
Intra_C1,rho_spearman,11,-0.2590956172664721,0.44169339809487485,-0.29090909090909095,0.38545696969136556,-0.23636363636363636,0.3587114698573032,0.06713053888669429,0.4416933980948744,0.10809879245705811,0.22604324372462148,,0.0
Intra_C1,adx,11,-0.5639654895784219,0.07075086409364491,-0.48181818181818187,0.1334338382568288,-0.34545454545454546,0.16457331248997917,0.31805707343542927,0.07075086409364467,0.7870907277580184,0.8152058697263844,,0.0
Intra_C1,amplitude_pips,11,,,,,,,,,0.0,0.0,,6.661338147750939e-16
Intra_C1,volatility_pips,11,0.8204497413863723,0.001975605408105788,0.4272727272727273,0.189943724965427,0.3090909090909091,0.21834651074234407,0.6731377781409653,0.0019756054081057853,0.7438685563462939,0.7488421737433829,,0.0774531024531031
Intra_C1,hurst,11,-0.23341805559513895,0.48971359217254,-0.27272727272727276,0.41714143714253127,-0.2727272727272727,0.2829668209876543,0.05448398867781535,0.4897135921725405,0.47913540216903716,0.48094994788136913,,0.0
Intra_C1,autocorr_lag1,11,0.4552064080523747,0.15946181280053848,0.5909090909090909,0.05557560428877463,0.45454545454545453,0.06017015392015392,0.20721287393194512,0.15946181280053848,0.6275892470861723,0.7025039328661191,,0.01432178932179018
Ecarts_Combined,r2_linear,17,0.28875579611170826,0.2609961677578352,0.2303921568627451,0.3736648667172987,0.16176470588235295,0.3927276123262421,0.08337990978810643,0.260996167757835,0.13342974808670427,0.2529272470498667,,0.0
Ecarts_Combined,r_pearson,17,-0.2861884638100833,0.26545009230646716,-0.286764705882353,0.2644463470710114,-0.20588235294117643,0.27056053596407176,0.08190383681797535,0.26545009230646716,0.12834102060906394,0.16132828096233165,,0.0
Ecarts_Combined,slope_pips_hour,17,-0.05844556459621496,0.823682133089541,-0.07107843137254903,0.7863266619781206,-0.07352941176470587,0.7150317752938318,0.0034158840209703337,0.8236821330895412,0.055989288212120014,0.17279092953079866,,0.0
Ecarts_Combined,duration_hours,17,0.6017138092069078,0.01060618071356108,0.38480392156862747,0.1272159953159875,0.24999999999999997,0.17665741934030035,0.362059508190287,0.010606180713561095,0.36206991734817007,0.6993268468476137,,0.0941437647320007
Ecarts_Combined,r2_poly2,17,0.22871018134122628,0.3772603711681057,0.15686274509803924,0.5476805847029371,0.10294117647058822,0.5976439315443395,0.05230834704913664,0.3772603711681052,0.06608975128586214,0.1363630986332317,,0.01861667744020723
Ecarts_Combined,r2_poly3,17,0.04013261133716124,0.8784552980374392,-0.009803921568627453,0.9702105713958575,-0.014705882352941175,0.9676638168395322,0.0016106264927396431,0.878455298037439,0.0026411448975214302,0.14970885918625088,,0.0
Ecarts_Combined,rho_spearman,17,-0.3127296542420138,0.2216511963483077,-0.2916666666666667,0.2560026072263,-0.1764705882352941,0.34884640290128766,0.09779983664232948,0.2216511963483081,0.16894843245271252,0.1833936683065721,,0.0
Ecarts_Combined,adx,17,-0.35411417801922995,0.16316117743127323,-0.34803921568627455,0.17101314886910315,-0.2352941176470588,0.20489900152579948,0.12539685107423487,0.16316117743127362,0.13648609708444837,0.17597847133698796,,0.0
Ecarts_Combined,amplitude_pips,17,-0.1387730438311655,0.5952973543454126,-0.22369505778805185,0.3880937417369764,-0.14291548761875736,0.4665044969404537,0.019257957694166584,0.5952973543454122,0.15661000120479485,0.16064015812262067,,0.0
Ecarts_Combined,volatility_pips,17,0.2760143589845103,0.283558485587198,-0.002450980392156863,0.992551188788469,0.0,1.0,0.07618392636563014,0.283558485587198,0.144377507504158,0.4417724109888347,,0.050153033241269185
Ecarts_Combined,hurst,17,-0.18158803996566503,0.48548297845547134,-0.18627450980392157,0.4740951399440866,-0.16176470588235295,0.3927276123262421,0.03297421625857195,0.48548297845547184,0.20050730531993843,0.32454562868344083,,0.0
Ecarts_Combined,autocorr_lag1,17,0.3922540873018615,0.1194000101175159,0.4607843137254902,0.06267762211132862,0.30882352941176466,0.09138624889203259,0.1538632690050164,0.11940001011751598,0.3900661053843042,0.47641475261396704,,0.03568433200786192
