date,cluster,amp_optimal,r2_linear,duration_hours,amplitude_pips,reversal_type,r_pearson,slope_pips_hour,r2_poly2,r2_poly3,rho_spearman,adx,volatility_pips,hurst,autocorr_lag1,amp_predicted_dynamic,amp_predicted_baseline,error_dynamic,error_baseline
2025-10-01,1,1.6131676182275587,0.0254891708814767,29.033333333333335,0.0,PEAK,0.161047334184533,0.2019557486285849,0.0542463153146992,0.1149464899894064,0.0896117040905016,17.4076867982728,10.533784394476786,0.4598154769735875,0.9887514550961176,0.892295290972763,1.4506930806022464,0.7208723272547957,0.16247453762531228
2025-09-02,1,1.5452447711442256,0.0647481568491862,116.45,0.0,PEAK,0.2537515200070032,0.1474267158634456,0.4137519218716275,0.6081742266373716,0.2732069094281669,43.97762050716115,24.240344918741098,0.5401254536125015,0.998513745310981,1.3569476927453232,1.4506930806022464,0.18829707839890242,0.0945516905419792
2025-07-01,1,1.3627021196080742,0.7027512365298622,25.066666666666663,0.0,TROUGH,0.8380772168912604,2.8372471918687965,0.7855977590290062,0.8912952996271478,0.8379489197777329,26.77528704340258,24.527193077515204,0.6189931334189073,0.9952887164758466,1.3666718453277653,1.4506930806022464,0.0039697257196911195,0.08799096099417225
2025-06-02,1,1.4051538990351102,0.471215376048,71.96666666666667,0.0,TROUGH,0.6866947099572619,0.7378537008095096,0.7805165037670158,0.8401917358278138,0.8922272417148626,21.982414383417616,30.046418238209263,0.6107741177884424,0.9967455136315104,1.553773578275294,1.4506930806022464,0.1486196792401837,0.04553918156713621
2025-05-01,1,2.105608259581158,0.833395280284716,64.75,0.0,PEAK,-0.9129625658741948,-1.6597131754074663,0.8629395218957518,0.8676568112561717,-0.916118620579067,16.29870996553536,33.98488442885176,0.4888372625791453,0.9980774562669728,1.6872875821380746,1.4506930806022464,0.41832067744308343,0.6549151789789116
2025-04-01,1,0.8660163003116487,0.1588353076624881,30.633333333333333,0.0,PEAK,-0.399617040970443,-0.5221308627090439,0.2484133560630093,0.6445807931616758,-0.3189288075448991,19.70726270093575,11.598042519642418,0.4789128233281836,0.9883934060444872,0.928373641415878,1.4506930806022464,0.0623573411042293,0.5846767802905978
2025-03-03,1,0.8278096988273446,0.5964291336352798,66.7,0.0,TROUGH,0.726580611156786,1.124644952189638,0.7261102263523687,0.8543272382175023,0.6980037621037489,39.87389705450168,28.04862472151138,0.6216092348739317,0.9945390750268202,1.4860483780592357,1.4506930806022464,0.6582386792318912,0.6228833817749019
2025-02-03,1,3.290012905595624,0.9396749392987432,101.75,0.0,PEAK,-0.9689927272934086,-1.9808893321536232,0.9421654514692016,0.9596970773210752,-0.8605164329004897,12.562195149771886,73.41100839264509,0.52374345980543,0.99883947999788,3.0238331845106687,1.4506930806022464,0.26617972108495547,1.8393198249933778
2024-12-02,1,1.1334625107020608,0.6826582961603864,65.2,0.0,PEAK,-0.7442631514131255,-1.3728269806957685,0.6932107580554041,0.7713242287456117,-0.8249690938111808,43.202513654101026,18.860351275562056,0.6133831587449297,0.9894158054676154,1.1745659082415538,1.4506930806022464,0.04110339753949299,0.3172305699001856
2024-10-01,1,0.9339391473948876,0.8067559674582894,28.8,0.0,PEAK,-0.8983149686629174,-3.4389054165068127,0.8069698371253727,0.921371231231748,-0.8566602675301105,40.795190612032584,31.899503484088665,0.6156533101206129,0.995969167844281,1.6165931681106058,1.4506930806022464,0.6826540207157182,0.5167539332073589
2024-09-03,1,0.8745066561970182,0.543000989475438,29.416666666666668,0.0,PEAK,-0.7364926052895198,-0.8819987469059538,0.7133319393864577,0.7150437419708273,-0.7188153016946203,25.407603814939986,10.299507152412444,0.4590104957202777,0.996212756334629,0.8843532924667818,1.4506930806022464,0.009846636269763676,0.5761864244052283
