date,r2,duration_minutes,amplitude_pips,direction,impact_real,method_used,timeframe_used,trend_result
2024-03-08,0.8105118689692327,11275,159.59999999999974,UP,40.99999999999993,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-02-29 18:35:00+0100', tz='Europe/Zurich'), 'duration_minutes': 11275, 'slope_pips_per_hour': np.float64(0.8493126385809299), 'amplitude_pips': np.float64(159.59999999999974), 'direction': 'UP', 'r2': np.float64(0.8105118689692327), 'tstat': np.float64(188.87379590366118), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(60.70000000000073), 'n_points': 8342, 'timeframe_used': 'H1'}"
2024-04-05,0.7255550774081754,4670,151.40000000000154,UP,53.40000000000123,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-04-02 08:40:00+0200', tz='Europe/Zurich'), 'duration_minutes': 4670, 'slope_pips_per_hour': np.float64(1.9451820128479858), 'amplitude_pips': np.float64(151.40000000000154), 'direction': 'UP', 'r2': np.float64(0.7255550774081754), 'tstat': np.float64(49.55819150671589), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(131.90000000000146), 'n_points': 931, 'timeframe_used': 'H1'}"
2024-05-03,0.7375231967603617,3225,101.39999999999816,UP,60.80000000000085,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-05-01 08:45:00+0200', tz='Europe/Zurich'), 'duration_minutes': 3225, 'slope_pips_per_hour': np.float64(1.8865116279069425), 'amplitude_pips': np.float64(101.39999999999816), 'direction': 'UP', 'r2': np.float64(0.7375231967603617), 'tstat': np.float64(24.464265420839627), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(95.40000000000146), 'n_points': 215, 'timeframe_used': 'H1'}"
2024-08-02,0.44676019817778473,1595,59.40000000000056,UP,85.69999999999966,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-08-01 11:55:00+0200', tz='Europe/Zurich'), 'duration_minutes': 1595, 'slope_pips_per_hour': np.float64(2.234482758620711), 'amplitude_pips': np.float64(59.40000000000056), 'direction': 'UP', 'r2': np.float64(0.44676019817778473), 'tstat': np.float64(15.97438216905994), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(57.20000000000073), 'n_points': 318, 'timeframe_used': 'H1'}"
2024-09-06,0.9143648144400341,3994,93.00000000000085,UP,47.000000000001485,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-09-03 19:55:00+0200', tz='Europe/Zurich'), 'duration_minutes': 3994, 'slope_pips_per_hour': np.float64(1.3967459324155322), 'amplitude_pips': np.float64(93.00000000000085), 'direction': 'UP', 'r2': np.float64(0.9143648144400341), 'tstat': np.float64(92.07545687618925), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(70.99999999999818), 'n_points': 796, 'timeframe_used': 'H1'}"
2023-05-05,0.4794650516317362,2550,-105.99999999999943,DOWN,44.500000000000654,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2023-05-03 20:00:00+0200', tz='Europe/Zurich'), 'duration_minutes': 2550, 'slope_pips_per_hour': np.float64(-2.4941176470588102), 'amplitude_pips': np.float64(-105.99999999999943), 'direction': 'DOWN', 'r2': np.float64(0.4794650516317362), 'tstat': np.float64(-12.439650327622774), 'method_used': 'validated-inversion', 'reversal_type': 'HIGH', 'reversal_prominence': np.float64(85.59999999999854), 'n_points': 170, 'timeframe_used': 'H1'}"
2023-07-07,0.6040276981602013,9965,-98.19999999999939,DOWN,43.5999999999992,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2023-06-30 16:25:00+0200', tz='Europe/Zurich'), 'duration_minutes': 9965, 'slope_pips_per_hour': np.float64(-0.5912694430506736), 'amplitude_pips': np.float64(-98.19999999999939), 'direction': 'DOWN', 'r2': np.float64(0.6040276981602013), 'tstat': np.float64(-24.012751294954978), 'method_used': 'validated-inversion', 'reversal_type': 'HIGH', 'reversal_prominence': np.float64(91.60000000000036), 'n_points': 380, 'timeframe_used': 'H1'}"
2023-09-01,0.8184940763204976,2671,-117.09999999999887,DOWN,20.999999999999908,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2023-08-30 15:59:00+0200', tz='Europe/Zurich'), 'duration_minutes': 2671, 'slope_pips_per_hour': np.float64(-2.630475477349282), 'amplitude_pips': np.float64(-117.09999999999887), 'direction': 'DOWN', 'r2': np.float64(0.8184940763204976), 'tstat': np.float64(-109.13060660455281), 'method_used': 'validated-inversion', 'reversal_type': 'HIGH', 'reversal_prominence': np.float64(115.79999999999927), 'n_points': 2643, 'timeframe_used': 'H1'}"
2024-07-05,0.9163285234716154,4340,121.4000000000004,UP,25.599999999998957,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2024-07-02 12:10:00+0200', tz='Europe/Zurich'), 'duration_minutes': 4340, 'slope_pips_per_hour': np.float64(1.6783410138248904), 'amplitude_pips': np.float64(121.4000000000004), 'direction': 'UP', 'r2': np.float64(0.9163285234716154), 'tstat': np.float64(97.16067408142263), 'method_used': 'validated-inversion', 'reversal_type': 'LOW', 'reversal_prominence': np.float64(63.600000000000364), 'n_points': 864, 'timeframe_used': 'H1'}"
2024-01-05,0.8552873191668473,11790,-262.6000000000017,DOWN,77.5999999999999,validated-inversion,M1,"{'trend_exists': np.True_, 't_start_datetime': Timestamp('2023-12-28 10:00:00+0100', tz='Europe/Zurich'), 'duration_minutes': 11790, 'slope_pips_per_hour': np.float64(-1.3363867684478459), 'amplitude_pips': np.float64(-262.6000000000017), 'direction': 'DOWN', 'r2': np.float64(0.8552873191668473), 'tstat': np.float64(-26.962197011999145), 'method_used': 'validated-inversion', 'reversal_type': 'HIGH', 'reversal_prominence': np.float64(112.30000000000109), 'n_points': 125, 'timeframe_used': 'H1'}"
