date,method,impact_detected,impact_real,ecart,better_than_m1
2025-09-11,M30+M1,63.799999999998306,60.7000000000002,3.0999999999981043,True
2025-09-11,M1_uniquement,56.8,60.7000000000002,3.9000000000002046,False
2024-09-11,M30+M1,40.99999999999993,39.39999999999833,1.6000000000016,True
2024-09-11,M1_uniquement,37.4,39.39999999999833,1.9999999999983304,False
2025-08-12,M30+M1,92.0999999999994,62.699999999999974,29.399999999999423,False
2025-08-12,M1_uniquement,50.6,62.699999999999974,12.099999999999971,True
