date,impact_real,impact_pred,error,sous_estimation,pattern_type,pattern_impact,pattern_confidence,pattern_used,impact_base,amplification,impact_formules,ecart,r_squared,trend_amplitude
2025-04-04,123.59999999999928,60.09545121066501,63.50454878933427,63.50454878933427,DOUBLE_WAVE,63.5,0.9,False,30.047725605332506,2.0,60.09545121066501,3.4045487893349886,0,0
2023-07-12,108.50000000000026,52.5,56.000000000000256,56.000000000000256,DOUBLE_WAVE,52.5,0.9,True,32.5125385522488,0.5339478482156085,17.360000000000262,35.13999999999974,0,0
2023-03-10,109.7999999999999,56.56653421746144,53.23346578253846,53.23346578253846,DOUBLE_WAVE,48.8,0.9,False,28.28326710873072,2.0,56.56653421746144,7.766534217461441,0,0
2023-08-04,92.00000000000097,48.2,43.80000000000096,43.80000000000096,DOUBLE_WAVE,48.2,0.9,True,30.047725605332506,2.0,60.09545121066501,11.895451210665009,0,0
2023-07-07,81.99999999999986,38.7,43.299999999999855,43.299999999999855,DOUBLE_WAVE,38.7,0.9,True,30.047725605332506,2.0,60.09545121066501,21.39545121066501,0,0
2025-04-10,41.59999999999941,3.425003987600682,38.17499601239873,38.17499601239873,DOUBLE_WAVE,42.0,0.9,True,34.25003987600682,0.1,3.425003987600682,38.57499601239932,0,0
2025-04-30,54.30000000000046,17.441913098021093,36.85808690197936,36.85808690197936,DOUBLE_WAVE,26.3,0.9,False,24.68257425617176,0.7066488655922842,17.441913098021093,8.858086901978908,0,0
2023-10-12,81.59999999999945,48.7,32.89999999999945,32.89999999999945,DOUBLE_WAVE,48.7,0.9,True,34.25003987600682,0.6836317390069933,23.414414321493403,25.2855856785066,0,0
2023-05-26,53.800000000001624,30.6,23.200000000001623,23.200000000001623,DOUBLE_WAVE,30.6,0.9,True,27.86469140544329,1.5,41.79703710816493,11.197037108164928,0,0
2024-11-13,72.20000000000005,50.4,21.800000000000047,21.800000000000047,DOUBLE_WAVE,50.4,0.9,True,30.266963591862055,2.0,60.53392718372411,10.133927183724111,0,0
2025-07-15,44.29999999999934,65.0,20.700000000000657,-20.700000000000657,DOUBLE_WAVE,65.0,0.85,True,32.61349230622606,1.1673349896639722,38.070870704194434,26.92912929580558,0,0
