date,impact_base,amplification_predite,impact_pred_pips,impact_real_pips,error_pips,trend_exists,trend_r2,pattern_type,rf_used
2024-01-11,44.64300930058932,1.260412545559181,56.26860899397798,58.00000000000027,1.7313910060222923,False,,DOUBLE_WAVE,True
2024-03-12,46.23208474428957,1.129917452767308,52.23843943038999,33.90000000000004,18.338439430389947,False,,DOUBLE_WAVE,True
2024-05-15,42.160093026782846,1.2336665613663584,52.01149699123698,38.10000000000091,13.91149699123607,True,0.5596520299967215,DOUBLE_WAVE,True
2024-06-12,46.23208474428957,0.8961962140443659,41.4330193152106,77.19999999999949,35.76698068478889,True,0.8702156335127278,DOUBLE_WAVE,True
2024-07-11,44.64300930058932,1.2604125455591808,56.26860899397797,52.00000000000094,4.268608993977033,False,,DOUBLE_WAVE,True
2024-09-11,46.23208474428957,0.639388990737612,29.56028600434706,39.39999999999833,9.83971399565127,True,0.6645948060893044,DOUBLE_WAVE,True
2024-11-13,31.632216181205035,2.0,63.26443236241007,72.20000000000005,8.935567637589976,True,0.9132970657775078,DOUBLE_WAVE,True
2024-12-11,31.632216181205035,1.7562700875464623,55.554715081853594,24.399999999999977,31.154715081853617,True,0.4370329213986385,DOUBLE_WAVE,True
2025-01-15,31.928027145438698,1.3316265026447045,42.51620712402571,52.09999999999937,9.583792875973655,True,0.8886381331398577,DOUBLE_WAVE,True
2025-03-12,46.23208474428957,0.8554469603626197,39.549096365729554,38.200000000001566,1.3490963657279875,True,0.3945721692559902,DOUBLE_WAVE,True
2025-04-10,44.64300930058932,1.260412545559181,56.26860899397798,41.59999999999941,14.668608993978566,False,,DOUBLE_WAVE,True
2025-05-13,46.23208474428957,1.2220670862323135,56.498709093899365,34.4000000000011,22.098709093898265,False,,DOUBLE_WAVE,True
2025-06-11,38.891140911975,1.5314282076504917,59.55899022030857,55.29999999999813,4.258990220310444,True,0.3780967668193506,DOUBLE_WAVE,True
2025-07-15,31.928027145438698,0.9098533653064984,29.04982294587463,44.29999999999934,15.250177054124707,True,0.6668873987065101,DOUBLE_WAVE,True
2025-08-12,31.632216181205035,1.862242166031219,58.90684677765503,62.699999999999974,3.793153222344941,True,0.3849993975572311,DOUBLE_WAVE,True
2025-09-11,35.494277288824435,1.4487835747957931,51.423525935296205,60.7000000000002,9.276474064703995,True,0.6417478920851019,DOUBLE_WAVE,True
2025-10-24,46.23208474428957,0.59625712172028,27.566209780758168,37.400000000000766,9.833790219242598,True,0.7471523851792375,DOUBLE_WAVE,True
