date,impact_pred_avec,impact_real,direction,impact_real_abs
2024-01-11,48.851495230862554,58.00000000000027,DOWN,47.04000000000042
2024-03-12,33.7,33.90000000000004,DOWN,32.29999999999844
2024-05-15,28.185833644581443,38.10000000000091,UP,44.32000000000214
2024-06-12,80.9,77.19999999999949,UP,77.62000000000046
2024-07-11,42.0,52.00000000000094,UP,49.7599999999987
2024-09-11,45.51755397314832,39.39999999999833,DOWN,46.81999999999853
2024-11-13,50.4,72.20000000000005,UP,17.860000000000653
2024-12-11,32.8,24.399999999999977,UP,31.799999999999606
2025-01-15,47.7,52.09999999999937,UP,53.31999999999893
2025-03-12,32.13715500014319,38.200000000001566,UP,32.38000000000074
2025-04-10,3.425003987600682,41.59999999999941,UP,51.160000000001205
2025-05-13,34.7,34.4000000000011,UP,42.30000000000178
2025-06-11,39.8,55.29999999999813,UP,50.89999999999817
2025-07-15,65.0,44.29999999999934,DOWN,21.719999999998407
2025-08-12,55.828816212540744,62.699999999999974,UP,46.299999999999116
2025-09-11,56.8,60.7000000000002,UP,54.35999999999774
2025-10-24,23.1,37.400000000000766,UP,39.519999999999555
2025-04-04,60.09545121066501,123.59999999999928,UP,55.50000000000166
2023-03-10,56.56653421746144,109.7999999999999,UP,63.59999999999921
2023-07-12,52.5,108.50000000000026,UP,63.78000000000217
2025-01-10,77.8,93.00000000000084,DOWN,88.42000000000016
2023-08-04,48.2,92.00000000000097,UP,80.86000000000038
2023-07-07,38.7,81.99999999999986,UP,39.43999999999947
2023-10-12,48.7,81.59999999999945,DOWN,51.01999999999718
2024-10-04,72.2,79.59999999999967,DOWN,70.51999999999836
2023-04-12,63.4,75.20000000000194,UP,65.39999999999768
2023-10-06,72.2,72.20000000000005,DOWN,71.29999999999859
2025-07-03,69.4,71.00000000000107,DOWN,77.54000000000039
2025-02-07,70.7,70.6999999999991,UP,33.119999999997596
2023-05-10,60.6,60.59999999999954,UP,53.22000000000049
2025-09-05,41.6,60.19999999999914,UP,60.25999999999865
2025-04-30,17.441913098021093,54.30000000000046,UP,28.239999999999377
2023-05-26,30.6,53.800000000001624,DOWN,18.640000000000878
2024-04-05,45.0,53.7999999999994,DOWN,41.199999999999015
2023-10-27,51.1,53.29999999999835,UP,29.05999999999853
2024-11-27,44.0,52.90000000000017,UP,51.679999999998394
2023-11-30,40.67904681299699,49.39999999999944,UP,32.78000000000114
2024-09-27,38.99871452947323,47.499999999998096,UP,38.480000000000736
