date,direction_reelle,impact_real,impact_pred_avec,impact_real_old
2024-01-11,DOWN,58.00000000000027,48.851495230862554,58.00000000000027
2024-03-12,DOWN,12.699999999998823,33.7,33.90000000000004
2024-05-15,UP,38.10000000000091,28.185833644581443,38.10000000000091
2024-06-12,UP,77.19999999999949,80.9,77.19999999999949
2024-07-11,UP,52.00000000000094,42.0,52.00000000000094
2024-09-11,DOWN,39.39999999999833,45.51755397314832,39.39999999999833
2024-11-13,DOWN,72.20000000000005,50.4,72.20000000000005
2024-12-11,DOWN,24.399999999999977,32.8,24.399999999999977
2025-01-15,UP,52.09999999999937,47.7,52.09999999999937
2025-03-12,UP,30.69999999999906,32.13715500014319,38.200000000001566
2025-04-10,UP,41.59999999999941,3.425003987600682,41.59999999999941
2025-05-13,UP,34.4000000000011,34.7,34.4000000000011
2025-06-11,UP,55.29999999999813,39.8,55.29999999999813
2025-07-15,DOWN,44.29999999999934,65.0,44.29999999999934
2025-08-12,UP,62.699999999999974,55.828816212540744,62.699999999999974
2025-09-11,UP,60.7000000000002,56.8,60.7000000000002
2025-10-24,UP,37.400000000000766,23.1,37.400000000000766
2025-04-04,DOWN,97.10000000000107,60.09545121066501,123.59999999999928
2023-03-10,UP,100.09999999999852,56.56653421746144,109.7999999999999
2023-07-12,UP,82.40000000000025,52.5,108.50000000000026
2025-01-10,DOWN,92.79999999999956,77.8,93.00000000000084
2023-08-04,UP,85.50000000000057,48.2,92.00000000000097
2023-07-07,UP,43.5999999999992,38.7,81.99999999999986
2023-10-12,DOWN,78.79999999999887,48.7,81.59999999999945
2024-10-04,DOWN,72.09999999999938,72.2,79.59999999999967
2023-04-12,UP,76.40000000000092,63.4,75.20000000000194
2023-10-06,DOWN,72.79999999999953,72.2,72.20000000000005
2025-07-03,DOWN,71.00000000000107,69.4,71.00000000000107
2025-02-07,UP,37.8999999999996,70.7,70.6999999999991
2023-05-10,UP,58.700000000000415,60.6,60.59999999999954
2025-09-05,UP,59.899999999999395,41.6,60.19999999999914
2025-04-30,DOWN,26.89999999999859,17.441913098021093,54.30000000000046
2023-05-26,DOWN,34.79999999999927,30.6,53.800000000001624
2024-04-05,DOWN,53.40000000000123,45.0,53.7999999999994
2023-10-27,UP,51.09999999999948,51.1,53.29999999999835
2024-11-27,UP,44.39999999999999,44.0,52.90000000000017
2023-11-30,DOWN,49.79999999999984,40.67904681299699,49.39999999999944
2024-09-27,UP,47.29999999999901,38.99871452947323,47.499999999998096
