date,impact_base,amplification,impact_pred,impact_real_pips,error_pips
2024-01-11,44.64300930058932,1.3564454194823643,60.55580547769298,58.00000000000027,2.555805477692708
2024-03-12,46.23208474428957,0.8529489543954935,39.433608342165634,33.90000000000004,5.533608342165593
2024-05-15,42.160093026782846,1.0194904120152275,42.98181061047517,38.10000000000091,4.881810610474261
2024-06-12,46.23208474428957,1.2802803057776655,59.19002759315801,77.19999999999949,18.009972406841484
2024-07-11,44.64300930058932,1.2347863134999932,55.124576877820594,52.00000000000094,3.1245768778196563
2024-09-11,46.23208474428957,0.9539724311682282,44.10413428148548,39.39999999999833,4.70413428148715
2024-11-13,31.632216181205035,1.8046594879342444,57.0853790557988,72.20000000000005,15.11462094420125
2024-12-11,31.632216181205035,1.1946215820200226,37.78852813719052,24.399999999999977,13.38852813719054
2025-01-15,31.928027145438698,1.698003223549311,54.213893014524814,52.09999999999937,2.113893014525445
2025-03-12,46.23208474428957,0.873338040858525,40.376238315383155,38.200000000001566,2.176238315381589
2025-05-13,46.23208474428957,1.1987788192544142,55.42204396142947,34.4000000000011,21.022043961428373
2025-07-15,31.928027145438698,1.5990151530935517,51.05339921393873,44.29999999999934,6.753399213939389
2025-08-12,31.632216181205035,1.6193410139401907,51.223345024047866,62.699999999999974,11.476654975952108
2025-09-11,35.494277288824435,1.4487835747957931,51.423525935296205,60.7000000000002,9.276474064703995
2025-10-24,46.23208474428957,0.8517958881718286,39.380299686797386,37.400000000000766,1.98029968679662
