date,factor_real,factor_rf_predicted,factor_fixed,error_rf,error_fixed,improvement
2025-09-11,0.8649065459212323,1.088076654041684,0.758,0.22317010812045168,0.10690654592123228,-108.75251949949003
2025-08-01,2.5701458838924753,1.729026661198507,0.758,0.8411192226939683,1.8121458838924753,53.58435376696876
2025-08-12,1.0681776363770936,1.344810123897827,0.758,0.27663248752073333,0.3101776363770936,10.814818646557192
2025-11-20,0.6925788098013013,2.273211210450987,0.758,1.580632400649686,0.06542119019869874,-2316.086280070651
2024-10-04,0.9638409521196718,1.3522758264592363,0.758,0.3884348743395645,0.2058409521196718,-88.70631443335738
2024-11-13,1.341903504826461,3.5584375559844235,0.758,2.2165340511579625,0.5839035048264609,-279.6062248019436
2023-07-12,5.7572790274749925,2.3706973721352624,0.758,3.38658165533973,4.9992790274749925,32.25859895541367
2023-10-12,1.4915034499079654,1.9695718668813935,0.758,0.47806841697342817,0.7335034499079653,34.823971580036506
2025-01-15,1.505015617701534,1.9414042862834506,0.758,0.4363886685819167,0.7470156177015339,41.58239021499635
2025-05-13,0.5748557080056106,1.130761115667076,0.758,0.5559054076614655,0.18314429199438942,-203.53411597370203
2025-07-15,0.7616553863047316,1.0751741090018583,0.758,0.31351872269712666,0.0036553863047316115,-8476.897120047237
2025-11-26,1.2857491474359029,1.3888314507014272,0.758,0.10308230326552437,0.5277491474359028,80.4675566476317
2024-09-12,0.3262991389634624,1.2113632820900992,0.758,0.8850641431266368,0.4317008610365376,-105.01792398596311
2024-08-13,2.816896485863015,2.5716506225899947,0.758,0.24524586327302034,2.058896485863015,88.0884801661011
2024-07-11,1.2027695985942817,2.595616800027758,0.758,1.3928472014334763,0.44476959859428167,-213.16151235058447
2024-06-12,2.6091579317497087,3.488153182572467,0.758,0.8789952508227583,1.8511579317497087,52.5164635741298
2024-05-15,0.6246155213777146,1.1518764440235805,0.758,0.5272609226458659,0.13338447862228542,-295.2940612670153
2024-04-10,2.888542926188563,1.5896454620653748,0.758,1.298897464123188,2.130542926188563,39.03443821022409
2024-03-12,0.3521886522474118,1.667634633324154,0.758,1.3154459810767423,0.4058113477525882,-224.15209391303978
2024-02-13,1.4847207538783127,1.2370924991903747,0.758,0.24762825468793803,0.7267207538783127,65.92525349435628
2024-01-11,0.981000634302732,1.207018548761952,0.758,0.22601791445922004,0.22300063430273198,-1.3530365803318665
2023-12-12,0.9305367007703949,1.4501594541510692,0.758,0.5196227533806743,0.17253670077039485,-201.16650605958216
2023-11-14,9.373773832871148,2.0765133586918934,0.758,7.297260474179255,8.615773832871149,15.30348154754787
2023-09-13,2.0618507140984788,3.6342004364561276,0.758,1.5723497223576488,1.3038507140984787,-20.592772267246737
2023-08-10,0.6969717280107858,1.2717973611835267,0.758,0.5748256331727409,0.06102827198921423,-841.9005559822047
