date,trend_exists,trend_candle_count_m1,trend_pips_per_candle_m1,distance_to_support_pips,distance_to_resistance_pips,distance_to_directional_barrier_pips,support_level,resistance_level,directional_barrier_level,atr_window_pips,support_resistance_window_hours,trend_duration_h,amplification_ideale,trend_r2,trend_amplitude_pips,impact_base_pips,impact_real_pips
2025-10-24,True,7539.0,-0.0200955033824114,0.0,0.0,0.0,1.16128,1.16128,1.16128,1.1419369894982183,72.0,174.55,0.8089620056473937,0.746233760721445,151.49999999999997,46.23208474428957,37.400000000000766
2025-09-11,True,3272.0,-0.035421760391198,0.1000000000006551,3.0999999999981043,0.1000000000006551,1.16822,1.16854,1.16822,5.967361111111039,72.0,54.75,1.710134834020467,0.6436267865044597,115.89999999999988,35.494277288824435,60.7000000000002
2025-08-12,True,3611.0,-0.0247022985322626,0.0,0.0,0.0,1.16053,1.16053,1.16053,1.294387755102009,72.0,108.48333333333332,1.9821564079109493,0.4313187667009422,89.20000000000039,31.632216181205035,62.699999999999974
2025-07-15,True,7062.0,0.0077740016992353,0.0,0.1000000000006551,0.1000000000006551,1.16658,1.16659,1.16659,5.742038216560408,72.0,166.25,1.3874956882930405,0.5836294240856407,54.89999999999995,31.928027145438698,44.29999999999934
2025-05-13,True,6758.0,-0.0467445989937851,15.899999999999803,0.8000000000008001,15.899999999999803,1.11147,1.11314,1.11147,21.248717948718177,72.0,161.5,0.7440720051944028,0.871112560571037,315.9000000000001,46.23208474428957,34.4000000000011
2025-03-12,True,11168.0,0.0518803724928365,0.0,13.999999999998458,13.999999999998458,1.08824,1.08964,1.08964,17.861538461538476,72.0,281.5,0.8262660057682105,0.7692226665753136,579.3999999999988,46.23208474428957,38.200000000001566
2025-01-15,True,3127.0,0.0417332906939558,0.5999999999994898,0.2999999999997449,0.2999999999997449,1.03025,1.03034,1.03034,6.813095238095225,72.0,52.25,1.631795154854799,0.929762861800388,130.50000000000006,31.928027145438698,52.09999999999937
2024-12-11,True,2710.0,-0.039594095940959,0.1999999999990898,0.0,0.1999999999990898,1.05152,1.05154,1.05152,1.4697963501719322,72.0,45.483333333333334,0.771365492073798,0.7226004143391696,107.29999999999906,31.632216181205035,24.399999999999977
2024-11-13,True,5608.0,-0.0412624821683312,0.99999999999989,0.0,0.99999999999989,1.06256,1.06266,1.06256,6.183464566929203,72.0,142.0,2.2824831363823077,0.914494460946158,231.4000000000016,31.632216181205035,72.20000000000005
2024-09-11,True,4251.0,-0.0330039990590454,0.0,0.0,0.0,1.1043,1.1043,1.1043,4.199604743082993,72.0,120.0,0.8522220059493397,0.6553028369836105,140.3000000000021,46.23208474428957,39.39999999999833
2024-07-11,True,10008.0,0.0147881694644286,0.0,0.0,0.0,1.0848,1.0848,1.0848,0.7667770941789138,72.0,218.26666666666668,1.16479602998704,0.5919888141371071,148.00000000000148,44.64300930058932,52.00000000000094
2024-06-12,True,9232.0,-0.021273830155979,0.0,0.0,0.0,1.07672,1.07672,1.07672,0.9842077230359808,72.0,203.58333333333337,1.6698360116571418,0.8708536449708498,196.3999999999988,46.23208474428957,77.19999999999949
2024-05-15,True,5728.0,0.0193261173184359,0.0999999999984346,0.2000000000013102,0.2000000000013102,1.08312,1.08315,1.08315,1.9349896480330824,72.0,144.83333333333334,0.9036981957273506,0.6831900087053516,110.70000000000137,42.160093026782846,38.10000000000091
2024-03-12,True,2918.0,-0.0249485949280327,5.20000000000076,3.2999999999994145,5.20000000000076,1.09099,1.09184,1.09099,3.6097560975609033,72.0,283.0,0.7332570051188801,0.7800011588850543,183.99999999999972,46.23208474428957,33.90000000000004
2024-01-11,True,2695.0,0.0294619666048239,0.0999999999984346,0.2999999999997449,0.2999999999997449,1.09878,1.09882,1.09882,2.8872389791183526,72.0,45.416666666666664,1.2991955719086041,0.8630992639744304,79.40000000000057,44.64300930058932,58.00000000000027
