date,error_avec,pattern_used,impact_pred_avec,impact_real,ecart_pattern_formules,pattern_confidence,pattern_impact_detected,sous_estimation
2025-04-04,63.50454878933427,False,60.09545121066501,123.59999999999928,3.4045487893349886,0.9,63.5,63.50454878933427
2023-07-12,56.000000000000256,True,52.5,108.50000000000026,35.13999999999974,0.9,52.5,56.000000000000256
2023-03-10,53.23346578253846,False,56.56653421746144,109.7999999999999,7.766534217461441,0.9,48.8,53.23346578253846
2023-08-04,43.80000000000096,True,48.2,92.00000000000097,11.895451210665009,0.9,48.2,43.80000000000096
2023-07-07,43.299999999999855,True,38.7,81.99999999999986,21.39545121066501,0.9,38.7,43.299999999999855
2025-04-10,38.17499601239873,True,3.425003987600682,41.59999999999941,38.57499601239932,0.9,42.0,38.17499601239873
2025-04-30,36.85808690197936,False,17.441913098021093,54.30000000000046,8.858086901978908,0.9,26.3,36.85808690197936
2023-10-12,32.89999999999945,True,48.7,81.59999999999945,25.2855856785066,0.9,48.7,32.89999999999945
2023-05-26,23.200000000001623,True,30.6,53.800000000001624,11.197037108164928,0.9,30.6,23.200000000001623
2024-11-13,21.800000000000047,True,50.4,72.20000000000005,10.133927183724111,0.9,50.4,21.800000000000047
2025-07-15,20.700000000000657,True,65.0,44.29999999999934,26.92912929580558,0.85,65.0,-20.700000000000657
