date,impact_base,amplification,impact_pred,impact_real_pips,error_pips,trend_r2
2024-01-11,44.64300930058932,1.3564454194823643,60.55580547769297,58.00000000000027,2.555805477692701,0.8630992639744304
2024-03-12,46.23208474428957,0.8529489543954935,39.433608342165634,33.90000000000004,5.533608342165593,0.7800011588850543
2024-05-15,42.160093026782846,1.2336665613663584,52.01149699123698,38.10000000000091,13.91149699123607,0.5596520299967215
2024-06-12,46.23208474428957,1.2802803057776655,59.190027593158,77.19999999999949,18.00997240684149,0.8702156335127278
2024-07-11,44.64300930058932,1.2604125455591808,56.26860899397797,52.00000000000094,4.268608993977033,0.5919888141371071
2024-09-11,46.23208474428957,0.639388990737612,29.56028600434706,39.39999999999833,9.83971399565127,0.6645948060893044
2024-11-13,31.632216181205035,1.8046594879342444,57.085379055798796,72.20000000000005,15.11462094420125,0.9132970657775078
2024-12-11,31.632216181205035,1.7562700875464623,55.55471508185359,24.399999999999977,31.15471508185361,0.4370329213986385
2025-01-15,31.928027145438698,1.698003223549311,54.213893014524814,52.09999999999937,2.113893014525445,0.8886381331398577
2025-03-12,46.23208474428957,0.8554469603626197,39.549096365729554,38.200000000001566,1.3490963657279877,0.3945721692559902
2025-05-13,46.23208474428957,1.1987788192544142,55.42204396142947,34.4000000000011,21.022043961428373,0.871112560571037
2025-07-15,31.928027145438698,0.9098533653064984,29.049822945874634,44.29999999999934,15.250177054124709,0.6668873987065101
2025-08-12,31.632216181205035,1.862242166031219,58.90684677765503,62.699999999999974,3.793153222344941,0.3849993975572311
2025-09-11,35.494277288824435,1.4487835747957931,51.4235259352962,60.7000000000002,9.276474064704004,0.6417478920851019
2025-10-24,46.23208474428957,0.8517958881718286,39.380299686797386,37.400000000000766,1.98029968679662,0.7471523851792375
