date,factor_real,factor_hybrid,factor_fixed,method,error_hybrid,error_fixed
2025-09-11,0.8649065459212323,1.305094118536095,0.758,random_forest,0.44018757261486263,0.10690654592123228
2025-08-01,2.5701458838924753,0.4,0.758,atypical_rule,2.1701458838924754,1.8121458838924753
2025-08-12,1.0681776363770936,0.4,0.758,atypical_rule,0.6681776363770936,0.3101776363770936
2025-11-20,0.6925788098013013,2.4380405820524085,0.758,random_forest,1.7454617722511072,0.06542119019869874
2024-10-04,0.9638409521196718,1.29707341504115,0.758,random_forest,0.33323246292147823,0.2058409521196718
2024-11-13,1.341903504826461,4.327505711092141,0.758,random_forest,2.98560220626568,0.5839035048264609
2023-07-12,5.7572790274749925,1.9765683882867386,0.758,random_forest,3.780710639188254,4.9992790274749925
2023-10-12,1.4915034499079654,0.4,0.758,atypical_rule,1.0915034499079654,0.7335034499079653
2025-01-15,1.505015617701534,0.4,0.758,atypical_rule,1.1050156177015338,0.7470156177015339
2025-05-13,0.5748557080056106,0.4,0.758,atypical_rule,0.17485570800561057,0.18314429199438942
2025-07-15,0.7616553863047316,0.4,0.758,atypical_rule,0.3616553863047316,0.0036553863047316115
2025-11-26,1.2857491474359029,1.4923296654664486,0.758,random_forest,0.20658051803054578,0.5277491474359028
2024-09-12,0.3262991389634624,0.4,0.758,atypical_rule,0.07370086103653761,0.4317008610365376
2024-08-13,2.816896485863015,1.9780842677555552,0.758,random_forest,0.8388122181074598,2.058896485863015
2024-07-11,1.2027695985942817,0.4,0.758,atypical_rule,0.8027695985942817,0.44476959859428167
2024-06-12,2.6091579317497087,0.4,0.758,atypical_rule,2.2091579317497088,1.8511579317497087
2024-05-15,0.6246155213777146,0.4,0.758,atypical_rule,0.22461552137771457,0.13338447862228542
2024-04-10,2.888542926188563,0.4,0.758,atypical_rule,2.488542926188563,2.130542926188563
2024-03-12,0.3521886522474118,0.4,0.758,atypical_rule,0.04781134775258822,0.4058113477525882
2024-02-13,1.4847207538783127,1.353250639875481,0.758,random_forest,0.1314701140028316,0.7267207538783127
2024-01-11,0.981000634302732,1.4143751096164905,0.758,random_forest,0.4333744753137585,0.22300063430273198
2023-12-12,0.9305367007703949,1.7722246069872531,0.758,random_forest,0.8416879062168583,0.17253670077039485
2023-11-14,9.373773832871148,1.5097482733241991,0.758,random_forest,7.864025559546949,8.615773832871149
2023-09-13,2.0618507140984788,3.16684547398056,0.758,random_forest,1.1049947598820813,1.3038507140984787
2023-08-10,0.6969717280107858,0.4,0.758,atypical_rule,0.29697172801078575,0.06102827198921423
