model,mae,r2,cv_mae
Linear Regression,0.37479998913804025,0.1329652307024859,1.1038304302407789
Ridge (alpha=1.0),0.3734118442147237,0.12434987173233991,1.0168171077688937
Lasso (alpha=0.1),0.37544423018426415,0.12052924523728525,0.97324655815115
Random Forest,0.1493012678610996,0.8622890913215875,0.5348367862716475
Gradient Boosting,0.0076071774189459505,0.9996384268468927,0.6446143948635878
