date,direction_reelle,impact_real_abs,impact_pred_avec,ratio_real_pred,biais,biais_pct
2024-01-11,DOWN,58.00000000000027,48.851495230862554,1.1872717452332562,-9.148504769137716,-15.77
2024-03-12,DOWN,12.699999999998823,33.7,0.37685459940649324,21.00000000000118,165.35
2024-05-15,UP,38.10000000000091,28.185833644581443,1.3517428819184636,-9.914166355419468,-26.02
2024-06-12,UP,77.19999999999949,80.9,0.9542645241038256,3.7000000000005144,4.79
2024-07-11,UP,52.00000000000094,42.0,1.2380952380952603,-10.000000000000938,-19.23
2024-09-11,DOWN,39.39999999999833,45.51755397314832,0.8656001160176829,6.117553973149988,15.53
2024-11-13,DOWN,72.20000000000005,50.4,1.4325396825396834,-21.800000000000047,-30.19
2024-12-11,DOWN,24.399999999999977,32.8,0.7439024390243896,8.40000000000002,34.43
2025-01-15,UP,52.09999999999937,47.7,1.092243186582796,-4.399999999999366,-8.45
2025-03-12,UP,30.69999999999906,32.13715500014319,0.9552805778813426,1.4371550001441271,4.68
2025-04-10,UP,41.59999999999941,3.425003987600682,12.145971260355076,-38.17499601239873,-91.77
2025-05-13,UP,34.4000000000011,34.7,0.9913544668588212,0.2999999999989029,0.87
2025-06-11,UP,55.29999999999813,39.8,1.3894472361808576,-15.499999999998131,-28.03
2025-07-15,DOWN,44.29999999999934,65.0,0.6815384615384514,20.700000000000657,46.73
2025-08-12,UP,62.699999999999974,55.828816212540744,1.123075935576004,-6.8711837874592305,-10.96
2025-09-11,UP,60.7000000000002,56.8,1.0686619718309895,-3.9000000000002046,-6.43
2025-10-24,UP,37.400000000000766,23.1,1.6190476190476522,-14.300000000000765,-38.24
2025-04-04,DOWN,97.10000000000107,60.09545121066501,1.6157628912647044,-37.00454878933606,-38.11
2023-03-10,UP,100.09999999999852,56.56653421746144,1.769597543579023,-43.53346578253708,-43.49
2023-07-12,UP,82.40000000000025,52.5,1.5695238095238142,-29.900000000000247,-36.29
2025-01-10,DOWN,92.79999999999956,77.8,1.1928020565552642,-14.99999999999956,-16.16
2023-08-04,UP,85.50000000000057,48.2,1.7738589211618374,-37.300000000000566,-43.63
2023-07-07,UP,43.5999999999992,38.7,1.1266149870800826,-4.899999999999196,-11.24
2023-10-12,DOWN,78.79999999999887,48.7,1.6180698151950486,-30.09999999999887,-38.2
2024-10-04,DOWN,72.09999999999938,72.2,0.9986149584487449,0.1000000000006196,0.14
2023-04-12,UP,76.40000000000092,63.4,1.2050473186120019,-13.000000000000917,-17.02
2023-10-06,DOWN,72.79999999999953,72.2,1.0083102493074727,-0.5999999999995254,-0.82
2025-07-03,DOWN,71.00000000000107,69.4,1.023054755043243,-1.6000000000010601,-2.25
2025-02-07,UP,37.8999999999996,70.7,0.5360678925035304,32.8000000000004,86.54
2023-05-10,UP,58.700000000000415,60.6,0.9686468646864754,1.8999999999995865,3.24
2025-09-05,UP,59.899999999999395,41.6,1.4399038461538316,-18.299999999999393,-30.55
2025-04-30,DOWN,26.89999999999859,17.441913098021093,1.5422620127060824,-9.458086901977499,-35.16
2023-05-26,DOWN,34.79999999999927,30.6,1.1372549019607605,-4.199999999999271,-12.07
2024-04-05,DOWN,53.40000000000123,45.0,1.1866666666666938,-8.400000000001228,-15.73
2023-10-27,UP,51.09999999999948,51.1,0.9999999999999899,5.186961971048731e-13,0.0
2024-11-27,UP,44.39999999999999,44.0,1.0090909090909088,-0.3999999999999915,-0.9
2023-11-30,DOWN,49.79999999999984,40.67904681299699,1.2242174756191362,-9.120953187002854,-18.32
2024-09-27,UP,47.29999999999901,38.99871452947323,1.2128604896515778,-8.301285470525777,-17.55
