date,trend_r2,trend_duration_h,trend_amplitude_pips,trend_candle_count_m1,trend_pips_per_candle_m1,distance_to_support_pips,distance_to_resistance_pips,distance_to_directional_barrier_pips,support_level,resistance_level,directional_barrier_level,atr_window_pips,support_resistance_window_hours
2025-10-24,0.746233760721445,174.55,151.49999999999997,7539.0,-0.0200955033824114,0.0,0.0,0.0,1.16128,1.16128,1.16128,1.1419369894982183,72.0
2025-09-11,0.6436267865044597,54.75,115.89999999999988,3272.0,-0.035421760391198,0.1000000000006551,3.0999999999981043,0.1000000000006551,1.16822,1.16854,1.16822,5.967361111111039,72.0
2025-08-12,0.4313187667009422,108.48333333333332,89.20000000000039,3611.0,-0.0247022985322626,0.0,0.0,0.0,1.16053,1.16053,1.16053,1.294387755102009,72.0
2025-07-15,0.5836294240856407,166.25,54.89999999999995,7062.0,0.0077740016992353,0.0,0.1000000000006551,0.1000000000006551,1.16658,1.16659,1.16659,5.742038216560408,72.0
2025-06-11,,,,,,,,,,,,,
2025-05-13,0.871112560571037,161.5,315.9000000000001,6758.0,-0.0467445989937851,15.899999999999803,0.8000000000008001,15.899999999999803,1.11147,1.11314,1.11147,21.248717948718177,72.0
2025-04-10,,,,,,,,,,,,,
2025-03-12,0.7692226665753136,281.5,579.3999999999988,11168.0,0.0518803724928365,0.0,13.999999999998458,13.999999999998458,1.08824,1.08964,1.08964,17.861538461538476,72.0
2025-01-15,0.929762861800388,52.25,130.50000000000006,3127.0,0.0417332906939558,0.5999999999994898,0.2999999999997449,0.2999999999997449,1.03025,1.03034,1.03034,6.813095238095225,72.0
2024-12-11,0.7226004143391696,45.483333333333334,107.29999999999906,2710.0,-0.039594095940959,0.1999999999990898,0.0,0.1999999999990898,1.05152,1.05154,1.05152,1.4697963501719322,72.0
2024-11-13,0.914494460946158,142.0,231.4000000000016,5608.0,-0.0412624821683312,0.99999999999989,0.0,0.99999999999989,1.06256,1.06266,1.06256,6.183464566929203,72.0
2024-09-11,0.6553028369836105,120.0,140.3000000000021,4251.0,-0.0330039990590454,0.0,0.0,0.0,1.1043,1.1043,1.1043,4.199604743082993,72.0
2024-07-11,0.5919888141371071,218.26666666666668,148.00000000000148,10008.0,0.0147881694644286,0.0,0.0,0.0,1.0848,1.0848,1.0848,0.7667770941789138,72.0
2024-06-12,0.8708536449708498,203.58333333333337,196.3999999999988,9232.0,-0.021273830155979,0.0,0.0,0.0,1.07672,1.07672,1.07672,0.9842077230359808,72.0
2024-05-15,0.6831900087053516,144.83333333333334,110.70000000000137,5728.0,0.0193261173184359,0.0999999999984346,0.2000000000013102,0.2000000000013102,1.08312,1.08315,1.08315,1.9349896480330824,72.0
2024-03-12,0.7800011588850543,283.0,183.99999999999972,2918.0,-0.0249485949280327,5.20000000000076,3.2999999999994145,5.20000000000076,1.09099,1.09184,1.09099,3.6097560975609033,72.0
2024-01-11,0.8630992639744304,45.416666666666664,79.40000000000057,2695.0,0.0294619666048239,0.0999999999984346,0.2999999999997449,0.2999999999997449,1.09878,1.09882,1.09882,2.8872389791183526,72.0
