option,mae,median,perfect_cases,good_cases,total_cases,perfect_pct,good_pct
Pipeline Complet Actuel,12.59174740775378,9.833790219242598,5,10,17,29.411764705882355,58.82352941176471
Option 1: Sans ajustements SR,8.140804020706677,5.533608342165593,7,10,15,46.666666666666664,66.66666666666666
Option 2: Seuils ajustés,10.824104919385526,8.649104173705481,3,9,15,20.0,60.0
Option 3: RF seul,8.140804020706677,5.533608342165593,7,10,15,46.666666666666664,66.66666666666666
Option 4: Hybride par R²,10.344911973551408,9.276474064704004,6,9,15,40.0,60.0
