date,impact_real,impact_base,amplification_parfaite,r2,duration_minutes,amplitude_pips,score_base,score_ajuste,surprise_max,num_events,amp_interp_amplitude_only,impact_pred_amplitude_only,amplitude_duration_product,amp_interp_composite,impact_pred_composite,trend_velocity,amp_interp_velocity,impact_pred_velocity,impact_pred_baseline,impact_pred_mean_amp,amp_multivariate,impact_pred_multivariate
2023-07-12,82.40000000000025,32.5125385522488,2.534406837152397,0.8640780227593367,8512,201.5000000000011,47.29292616666667,89.85655971666667,33.33333333333333,6,2.534406837152397,82.40000000000025,1715168.0000000095,2.534406837152397,82.40000000000025,0.023672462403234097,2.534406837152397,82.40000000000025,91.03510794629663,64.14269408433957,1.8225607294374186,59.25607597964876
2023-08-10,32.90000000000015,24.051325531926295,1.3679079748152723,0.7166035135485732,2779,103.70000000000212,40.96576233333333,46.75440266304347,7.82608695652174,9,1.3679079748152723,32.90000000000015,288182.30000000587,1.3679079748152723,32.90000000000015,0.03731558113086957,1.3679079748152723,32.90000000000015,67.34371148939363,47.44990347148727,1.5865885794609125,38.159558409850916
2023-10-12,78.79999999999887,34.25003987600682,2.3007272483557206,0.8250492282164822,4600,117.7000000000006,40.96576233333333,77.83494843333332,33.33333333333335,9,2.3007272483557206,78.79999999999887,541420.0000000028,2.3007272483557206,78.79999999999887,0.025586956516176877,2.3007272483557206,78.79999999999887,95.90011165281908,67.57054133477327,1.7970758029774772,61.54991791218556
2023-11-14,117.40000000000084,32.5125385522488,3.6109145956516095,0.5236089656899438,6117,72.69999999999888,47.29292616666667,89.85655971666667,100.0,6,3.6109145956516095,117.40000000000084,444705.89999999315,3.6109145956516095,117.40000000000084,0.011884910902094812,3.6109145956516095,117.40000000000084,91.03510794629663,64.14269408433957,2.1902590454315467,71.21088165400482
2023-12-12,42.800000000000615,27.908575027499367,1.5335788358175997,0.2260554628762908,5759,71.20000000000016,47.29292616666667,47.29292616666667,0.0968730800112948,6,1.5335788358175997,42.800000000000615,410040.8000000009,1.5335788358175997,42.800000000000615,0.012363257507837627,1.5335788358175997,42.800000000000615,78.14401007699823,55.059717574557475,2.033130751735437,56.74178212552463
2024-01-11,58.00000000000027,34.25003987600682,1.6934286853379992,0.8630992639744304,2725,79.40000000000057,40.96576233333333,77.83494843333332,49.999999999999986,9,1.6934286853379992,58.00000000000027,216365.00000000157,1.6934286853379992,58.00000000000027,0.029137614668206593,1.6934286853379992,58.00000000000027,95.90011165281908,67.57054133477327,1.7947709172268889,61.47097548331827
2024-02-13,91.60000000000056,32.5125385522488,2.817374590815052,0.5089295278376361,10140,70.6999999999991,47.29292616666667,89.85655971666667,49.999999999999986,6,2.817374590815052,91.60000000000056,716897.9999999908,2.817374590815052,91.60000000000056,0.006972386587083501,2.817374590815052,91.60000000000056,91.03510794629663,64.14269408433957,2.771516297944574,90.10903048510883
2024-04-10,117.59999999999992,32.5125385522488,3.6170660685572913,0.5020179877326744,7170,93.50000000000192,47.29292616666667,89.85655971666667,33.33333333333335,6,3.6170660685572913,117.59999999999992,670395.0000000137,3.6170660685572913,117.59999999999992,0.013040446302226146,3.6170660685572913,117.59999999999992,91.03510794629663,64.14269408433957,2.1961033624941884,71.40089523781552
2024-06-12,77.19999999999949,32.5125385522488,2.374468541603922,0.8713096739567968,12232,196.3999999999988,47.29292616666667,89.85655971666667,100.0,6,2.374468541603922,77.19999999999949,2402364.7999999854,2.374468541603922,77.19999999999949,0.01605624591104828,2.374468541603922,77.19999999999949,91.03510794629663,64.14269408433957,2.389389316386227,77.6851122653386
2024-08-14,22.200000000001108,27.908575027499367,0.7954544428773814,0.9149470036230408,8565,144.89999999999893,47.29292616666667,47.29292616666667,3.333333333333336,6,0.7954544428773814,22.200000000001108,1241068.4999999907,0.7954544428773814,22.200000000001108,0.016917688264224313,0.7954544428773814,22.200000000001108,78.14401007699823,55.059717574557475,2.219907608352083,61.95445804181079
2024-09-11,39.39999999999833,32.5125385522488,1.2118401624247561,0.6441095625178347,7198,140.3000000000021,47.29292616666667,89.85655971666667,49.999999999999986,6,1.2118401624247561,39.39999999999833,1009879.400000015,1.2118401624247561,39.39999999999833,0.019491525421021193,1.2118401624247561,39.39999999999833,91.03510794629663,64.14269408433957,1.9495074336020437,63.38343559288206
2024-11-13,72.20000000000005,27.908575027499367,2.5870185034118967,0.9580800419533018,8520,231.4000000000016,47.29292616666667,47.29292616666667,0.24405280184057412,6,2.5870185034118967,72.20000000000005,1971528.0000000135,2.5870185034118967,72.20000000000005,0.027159624409957978,2.5870185034118967,72.20000000000005,78.14401007699823,55.059717574557475,1.664856957961057,46.46378532131052
2024-12-11,24.399999999999977,27.908575027499367,0.8742832615408612,0.7226004143391696,2729,107.29999999999906,47.29292616666667,47.29292616666667,0.3128823853873992,6,0.8742832615408612,24.399999999999977,292821.69999999745,0.8742832615408612,24.399999999999977,0.039318431645540726,0.8742832615408612,24.399999999999977,78.14401007699823,55.059717574557475,1.5582587475587348,43.48878116850015
2025-04-10,41.59999999999941,34.25003987600682,1.2145971260355075,0.6147014004466946,9065,183.60000000000153,40.96576233333333,77.83494843333332,200.0,9,1.2145971260355075,41.59999999999941,1664334.000000014,1.2145971260355075,41.59999999999941,0.020253723108631858,1.2145971260355075,41.59999999999941,95.90011165281908,67.57054133477327,1.921352485189385,65.80639923360124
2025-05-13,34.4000000000011,32.5125385522488,1.0580533397820993,0.5870170740295714,9645,315.9000000000001,47.29292616666667,89.85655971666667,33.33333333333333,6,1.0580533397820993,34.4000000000011,3046855.500000001,1.0580533397820993,34.4000000000011,0.03275272161402253,1.0580533397820993,34.4000000000011,91.03510794629663,64.14269408433957,1.1285038283249678,36.69052422477588
2025-06-11,55.29999999999813,32.5125385522488,1.7008822584286698,0.475451453268514,8585,89.69999999999922,47.29292616666667,89.85655971666667,66.66666666666666,6,1.7008822584286698,55.29999999999813,770074.4999999934,1.7008822584286698,55.29999999999813,0.010448456609149769,1.7008822584286698,55.29999999999813,91.03510794629663,64.14269408433957,2.4124546570508394,78.43502504291757
2025-08-12,62.699999999999974,27.908575027499367,2.246621331910329,0.4313187667009422,6509,89.20000000000039,47.29292616666667,47.29292616666667,3.5714285714285587,6,2.246621331910329,62.69999999999998,580602.8000000025,2.246621331910329,62.69999999999998,0.013704102010492592,2.246621331910329,62.69999999999998,78.14401007699823,55.059717574557475,2.1023872833845796,58.67463323519911
