ts_utc,open,high,low,close,volume
2025-07-15 12:20:00+02:00,1.16804,1.16804,1.16788,1.16788,60
2025-07-15 12:21:00+02:00,1.16786,1.16793,1.16778,1.16793,90
2025-07-15 12:22:00+02:00,1.16794,1.16814,1.16794,1.16813,113
2025-07-15 12:23:00+02:00,1.16814,1.16816,1.16807,1.16813,66
2025-07-15 12:24:00+02:00,1.16814,1.16818,1.16791,1.16796,69
2025-07-15 12:25:00+02:00,1.16795,1.16796,1.16786,1.16787,67
2025-07-15 12:26:00+02:00,1.16786,1.16796,1.16786,1.16794,82
2025-07-15 12:27:00+02:00,1.16794,1.16796,1.16788,1.16792,64
2025-07-15 12:28:00+02:00,1.16791,1.168,1.16786,1.16797,50
2025-07-15 12:29:00+02:00,1.16798,1.168,1.16794,1.16797,47
2025-07-15 12:30:00+02:00,1.16796,1.168,1.16792,1.168,51
2025-07-15 12:31:00+02:00,1.168,1.168,1.16788,1.16788,65
2025-07-15 12:32:00+02:00,1.16788,1.16793,1.16786,1.16792,37
2025-07-15 12:33:00+02:00,1.16792,1.16793,1.16784,1.16786,27
2025-07-15 12:34:00+02:00,1.16785,1.16785,1.1677,1.16782,49
2025-07-15 12:35:00+02:00,1.16782,1.16782,1.16764,1.16776,79
2025-07-15 12:36:00+02:00,1.16777,1.1679,1.16777,1.16787,47
2025-07-15 12:37:00+02:00,1.16786,1.16786,1.16772,1.16772,41
2025-07-15 12:38:00+02:00,1.16772,1.16777,1.16772,1.16772,21
2025-07-15 12:39:00+02:00,1.16772,1.16772,1.16766,1.16768,10
2025-07-15 12:40:00+02:00,1.16768,1.16776,1.16767,1.16774,45
2025-07-15 12:41:00+02:00,1.16775,1.16787,1.16775,1.16778,60
2025-07-15 12:42:00+02:00,1.1678,1.1678,1.16764,1.1677,53
2025-07-15 12:43:00+02:00,1.1677,1.168,1.1677,1.168,89
2025-07-15 12:44:00+02:00,1.16802,1.16816,1.16795,1.16812,108
2025-07-15 12:45:00+02:00,1.16812,1.16816,1.16806,1.16808,53
2025-07-15 12:46:00+02:00,1.16807,1.16816,1.16807,1.16812,30
2025-07-15 12:47:00+02:00,1.16811,1.16816,1.16802,1.16802,63
2025-07-15 12:48:00+02:00,1.16803,1.16814,1.16803,1.16813,38
2025-07-15 12:49:00+02:00,1.16816,1.16821,1.16812,1.16821,37
2025-07-15 12:50:00+02:00,1.1682,1.1683,1.1682,1.16828,38
2025-07-15 12:51:00+02:00,1.16828,1.16838,1.16828,1.16836,48
2025-07-15 12:52:00+02:00,1.16837,1.16837,1.16822,1.16822,48
2025-07-15 12:53:00+02:00,1.16822,1.16833,1.16821,1.16828,61
2025-07-15 12:54:00+02:00,1.16828,1.16832,1.16825,1.16828,43
2025-07-15 12:55:00+02:00,1.16828,1.16829,1.16818,1.16821,60
2025-07-15 12:56:00+02:00,1.16822,1.16833,1.16817,1.16833,72
2025-07-15 12:57:00+02:00,1.16833,1.16838,1.16827,1.16833,124
2025-07-15 12:58:00+02:00,1.16832,1.16842,1.16832,1.16842,74
2025-07-15 12:59:00+02:00,1.16842,1.16843,1.16834,1.16838,69
2025-07-15 13:00:00+02:00,1.16838,1.16842,1.16832,1.1684,54
2025-07-15 13:01:00+02:00,1.1684,1.1684,1.16826,1.16832,68
2025-07-15 13:02:00+02:00,1.16832,1.16835,1.1683,1.1683,50
2025-07-15 13:03:00+02:00,1.16829,1.16832,1.16824,1.16828,65
2025-07-15 13:04:00+02:00,1.16827,1.16828,1.16812,1.16821,84
2025-07-15 13:05:00+02:00,1.16822,1.16828,1.16802,1.16802,93
2025-07-15 13:06:00+02:00,1.16802,1.16814,1.16802,1.16807,71
2025-07-15 13:07:00+02:00,1.16806,1.16809,1.16802,1.16803,68
2025-07-15 13:08:00+02:00,1.16802,1.16804,1.16785,1.16785,66
2025-07-15 13:09:00+02:00,1.16786,1.1679,1.16775,1.16783,91
2025-07-15 13:10:00+02:00,1.16782,1.16788,1.16772,1.16773,62
2025-07-15 13:11:00+02:00,1.16774,1.16778,1.16772,1.16772,73
2025-07-15 13:12:00+02:00,1.16773,1.16774,1.16766,1.16768,85
2025-07-15 13:13:00+02:00,1.16768,1.16768,1.16748,1.16762,82
2025-07-15 13:14:00+02:00,1.16762,1.16774,1.1676,1.16774,103
2025-07-15 13:15:00+02:00,1.16776,1.1678,1.16764,1.16768,110
2025-07-15 13:16:00+02:00,1.16766,1.16766,1.16758,1.16763,65
2025-07-15 13:17:00+02:00,1.16764,1.16776,1.16759,1.16766,113
2025-07-15 13:18:00+02:00,1.16766,1.16768,1.16754,1.1676,76
2025-07-15 13:19:00+02:00,1.16758,1.16759,1.16748,1.16748,86
2025-07-15 13:20:00+02:00,1.16752,1.1676,1.16745,1.16758,91
2025-07-15 13:21:00+02:00,1.16759,1.16763,1.16746,1.16763,115
2025-07-15 13:22:00+02:00,1.16762,1.16762,1.16724,1.16729,99
2025-07-15 13:23:00+02:00,1.1673,1.16753,1.1673,1.16748,105
2025-07-15 13:24:00+02:00,1.16749,1.16749,1.16744,1.16749,46
2025-07-15 13:25:00+02:00,1.16748,1.16756,1.16739,1.1674,107
2025-07-15 13:26:00+02:00,1.16738,1.16738,1.16728,1.16733,79
2025-07-15 13:27:00+02:00,1.16732,1.16736,1.16728,1.16732,81
2025-07-15 13:28:00+02:00,1.16732,1.16736,1.16724,1.16728,70
