date,direction,impact_up,impact_down,impact_real_abs
2024-01-11,DOWN,21.059999999999413,47.04000000000042,47.04000000000042
2024-03-12,DOWN,9.500000000002284,32.29999999999844,32.29999999999844
2024-05-15,UP,44.32000000000214,3.1799999999981843,44.32000000000214
2024-06-12,UP,77.62000000000046,1.9799999999992046,77.62000000000046
2024-07-11,UP,49.7599999999987,5.64000000000231,49.7599999999987
2024-09-11,DOWN,4.68000000000135,46.81999999999853,46.81999999999853
2024-11-13,UP,17.860000000000653,17.739999999999423,17.860000000000653
2024-12-11,UP,31.799999999999606,6.00000000000156,31.799999999999606
2025-01-15,UP,53.31999999999893,7.980000000000764,53.31999999999893
2025-03-12,UP,32.38000000000074,24.120000000000807,32.38000000000074
2025-04-10,UP,51.160000000001205,13.739999999999863,51.160000000001205
2025-05-13,UP,42.30000000000178,2.3999999999979593,42.30000000000178
2025-06-11,UP,50.89999999999817,11.800000000001809,50.89999999999817
2025-07-15,DOWN,7.7800000000016745,21.719999999998407,21.719999999998407
2025-08-12,UP,46.299999999999116,10.799999999999699,46.299999999999116
2025-09-11,UP,54.35999999999774,24.140000000001383,54.35999999999774
2025-10-24,UP,39.519999999999555,3.8800000000005497,39.519999999999555
2025-04-04,UP,55.50000000000166,26.699999999999502,55.50000000000166
2023-03-10,UP,63.59999999999921,6.299999999999084,63.59999999999921
2023-07-12,UP,63.78000000000217,7.819999999998384,63.78000000000217
2025-01-10,DOWN,10.580000000000034,88.42000000000016,88.42000000000016
2023-08-04,UP,80.86000000000038,8.039999999998049,80.86000000000038
2023-07-07,UP,39.43999999999947,17.559999999998688,39.43999999999947
2023-10-12,DOWN,9.28000000000262,51.01999999999718,51.01999999999718
2024-10-04,DOWN,7.580000000002585,70.51999999999836,70.51999999999836
2023-04-12,UP,65.39999999999768,4.900000000001015,65.39999999999768
2023-10-06,DOWN,14.800000000001479,71.29999999999859,71.29999999999859
2025-07-03,DOWN,1.9599999999986295,77.54000000000039,77.54000000000039
2025-02-07,UP,33.119999999997596,30.980000000002672,33.119999999997596
2023-05-10,UP,53.22000000000049,11.579999999999924,53.22000000000049
2025-09-05,UP,60.25999999999865,12.440000000000229,60.25999999999865
2025-04-30,UP,28.239999999999377,4.5600000000001195,28.239999999999377
2023-05-26,DOWN,15.159999999998508,18.640000000000878,18.640000000000878
2024-04-05,DOWN,15.300000000000313,41.199999999999015,41.199999999999015
2023-10-27,UP,29.05999999999853,16.940000000000843,29.05999999999853
2024-11-27,UP,51.679999999998394,7.120000000000459,51.679999999998394
2023-11-30,UP,32.78000000000114,9.719999999997508,32.78000000000114
2024-09-27,UP,38.480000000000736,10.519999999998308,38.480000000000736
