date,impact_real,impact_base,amplification_parfaite,r2,duration_minutes,amplitude_pips,score_base,score_ajuste,surprise_max,num_events,amp_interpolated,impact_pred_interpolated,impact_pred_baseline,impact_pred_mean_amp
2024-10-04,72.09999999999938,25.34378962112672,2.8448784131279417,0.8148841309446393,5973,200.59999999999968,44.036836400000006,83.66998916,81.42857142857143,10,2.8448784131279417,72.09999999999938,70.96261093915481,59.46889933448613
2023-01-06,103.6999999999999,33.70950933801298,3.076283281378445,0.7763979576025005,3180,151.9999999999988,43.125103888888894,76.18768353703706,25.000000000000007,9,3.076283281378445,103.6999999999999,94.38662614643633,79.09896062923883
2023-02-03,117.19999999999952,35.59630853333471,3.292476237816789,0.7953267010299527,4595,197.89999999999975,43.125103888888894,81.93769738888889,216.66666666666666,9,3.292476237816789,117.19999999999952,99.66966389333717,83.52631238240528
2023-03-10,100.09999999999852,35.59630853333471,2.812089346462944,0.8738056223120264,3366,81.2999999999997,43.125103888888894,81.93769738888889,133.33333333333331,9,2.812089346462944,100.09999999999852,99.66966389333717,83.52631238240528
2023-04-07,39.00000000000014,35.59630853333471,1.0956192258946738,0.3802590111668695,4173,88.79999999999998,43.125103888888894,81.93769738888889,120.0,9,1.0956192258946738,39.00000000000014,99.66966389333717,83.52631238240528
2023-06-02,40.10000000000069,35.59630853333471,1.1265213066250517,0.8459337827920465,2618,143.4000000000002,43.125103888888894,81.93769738888889,133.33333333333331,9,1.1265213066250517,40.10000000000069,99.66966389333717,83.52631238240528
2023-08-04,85.50000000000057,25.34378962112672,3.3736075495484426,0.540268338070423,10410,95.79999999999922,44.036836400000006,83.66998916,140.0,10,3.3736075495484426,85.50000000000057,70.96261093915481,59.46889933448613
2023-10-06,72.79999999999953,25.34378962112672,2.87249859189618,0.8727555449169992,4122,119.10000000000088,44.036836400000006,83.66998916,240.0,10,2.87249859189618,72.79999999999953,70.96261093915481,59.46889933448613
2023-11-03,82.1000000000005,25.34378962112672,3.23945239553131,0.7373286640152014,11300,131.09999999999954,44.036836400000006,83.66998916,250.0,10,3.23945239553131,82.1000000000005,70.96261093915481,59.46889933448613
2024-02-02,100.49999999999892,25.34378962112672,3.9654685231533637,0.7509180151413362,1739,115.5000000000017,44.036836400000006,83.66998916,360.0,10,3.9654685231533637,100.49999999999892,70.96261093915481,59.46889933448613
2024-03-08,40.99999999999993,25.34378962112672,1.6177533278536256,0.8105118689692327,11275,159.59999999999974,44.036836400000006,83.66998916,140.0,10,1.6177533278536256,40.99999999999993,70.96261093915481,59.46889933448613
2024-04-05,53.40000000000123,25.34378962112672,2.1070250660337986,0.7255550774081754,4670,151.40000000000154,44.036836400000006,83.66998916,100.0,10,2.1070250660337986,53.40000000000123,70.96261093915481,59.46889933448613
2024-05-03,60.80000000000085,25.34378962112672,2.3990098130122433,0.7375231967603617,3225,101.39999999999816,44.036836400000006,83.66998916,60.0,10,2.3990098130122433,60.80000000000084,70.96261093915481,59.46889933448613
2024-08-02,85.69999999999966,25.34378962112672,3.3814990291964735,0.4467601981777847,1595,59.40000000000056,44.036836400000006,83.66998916,200.0,10,3.3814990291964735,85.69999999999966,70.96261093915481,59.46889933448613
2024-09-06,47.000000000001485,25.34378962112672,1.8544977172956814,0.914364814440034,3994,93.00000000000084,44.036836400000006,83.66998916,33.33333333333335,10,1.8544977172956814,47.000000000001485,70.96261093915481,59.46889933448613
2023-05-05,44.500000000000654,35.59630853333471,1.2501296295465005,0.4794650516317362,2550,105.99999999999945,43.125103888888894,81.93769738888889,320.0,9,1.2501296295465005,44.500000000000654,99.66966389333717,83.52631238240528
2023-07-07,43.5999999999992,25.34378962112672,1.720342563278461,0.6040276981602013,9965,98.1999999999994,44.036836400000006,83.66998916,33.33333333333335,10,1.720342563278461,43.5999999999992,70.96261093915481,59.46889933448613
2023-09-01,20.999999999999908,25.34378962112672,0.8286053630469767,0.8184940763204976,2671,117.09999999999889,44.036836400000006,83.66998916,500.0,10,0.8286053630469767,20.999999999999908,70.96261093915481,59.46889933448613
2024-07-05,25.599999999998957,25.34378962112672,1.0101093949524682,0.9163285234716154,4340,121.4000000000004,44.036836400000006,83.66998916,233.33333333333334,10,1.0101093949524682,25.599999999998957,70.96261093915481,59.46889933448613
2024-01-05,77.5999999999999,25.34378962112672,3.06189410344979,0.8552873191668473,11790,262.6000000000017,44.036836400000006,83.66998916,33.33333333333335,10,3.06189410344979,77.5999999999999,70.96261093915481,59.46889933448613
