base_date,target_date,amp_pred,impact_pred,impact_real,error_abs
2024-10-04,2023-01-06,2.0712246949476,69.8199681954592,103.6999999999999,33.88003180454071
2024-10-04,2023-02-03,2.1547493638277233,76.70112316681832,117.19999999999952,40.4988768331812
2024-10-04,2023-03-10,1.6787518287778196,59.75736804807514,100.09999999999852,40.34263195192337
2024-10-04,2023-04-07,2.1982485585352483,78.24953392257898,39.00000000000014,39.249533922578834
2024-10-04,2023-06-02,2.5533018461313706,90.88812029362536,40.10000000000069,50.78812029362467
2024-10-04,2023-08-04,1.7822603266710462,45.16923076923158,85.50000000000057,40.330769230768986
2024-10-04,2023-10-06,0.9130258430030734,23.13953488372177,72.79999999999953,49.66046511627776
2024-10-04,2023-11-03,1.0614364650990122,26.900822467661783,82.1000000000005,55.19917753233872
2024-10-04,2024-02-02,0.8893656176774347,22.539895110680327,100.49999999999892,77.96010488931859
2024-10-04,2024-03-08,3.1120799364749936,78.87189919415165,40.99999999999993,37.87189919415172
2024-10-04,2024-04-05,2.9402533761636898,74.51716299830012,53.40000000000123,21.117162998298895
2024-10-04,2024-05-03,1.5274346930295277,38.71098352015062,60.80000000000085,22.08901647985023
2024-10-04,2024-08-02,2.812089346462944,71.26900079256858,85.69999999999966,14.430999207431086
2024-10-04,2024-09-06,2.462412220087363,62.40685726638572,47.000000000001485,15.406857266384236
2024-10-04,2023-05-05,2.9100530801504956,103.58714728941803,44.500000000000654,59.08714728941737
2024-10-04,2023-07-07,2.9559228053185307,74.91428571428357,43.5999999999992,31.314285714284367
2024-10-04,2023-09-01,3.479704109262026,88.18888888890693,20.999999999999908,67.18888888890703
2024-10-04,2024-07-05,2.9428314042595733,74.58249999999954,25.599999999998957,48.982500000000584
2024-10-04,2024-01-05,3.292476237816789,83.44382510378749,77.5999999999999,5.843825103787594
2023-01-06,2024-10-04,3.282853799442896,83.1999560499973,72.09999999999938,11.099956049997914
2023-01-06,2023-02-03,2.7640677367806106,98.3906079654788,117.19999999999952,18.809392034520727
2023-01-06,2023-03-10,1.6787518287778196,59.75736804807514,100.09999999999852,40.34263195192337
2023-01-06,2023-04-07,2.1982485585352483,78.24953392257898,39.00000000000014,39.249533922578834
2023-01-06,2023-06-02,2.5533018461313706,90.88812029362536,40.10000000000069,50.78812029362467
2023-01-06,2023-08-04,1.7822603266710462,45.16923076923158,85.50000000000057,40.330769230768986
2023-01-06,2023-10-06,0.9130258430030734,23.13953488372177,72.79999999999953,49.66046511627776
2023-01-06,2023-11-03,1.0614364650990122,26.900822467661783,82.1000000000005,55.19917753233872
2023-01-06,2024-02-02,0.8893656176774347,22.539895110680327,100.49999999999892,77.96010488931859
2023-01-06,2024-03-08,2.3160723694449548,58.698050878517414,40.99999999999993,17.698050878517485
2023-01-06,2024-04-05,1.3691050208120492,34.698309616688896,53.40000000000123,18.701690383312332
2023-01-06,2024-05-03,1.5274346930295277,38.71098352015062,60.80000000000085,22.08901647985023
