date,impact_real,impact_base,amplification_parfaite,r2,duration_minutes,amplitude_pips,score_base,score_ajuste,surprise_max,num_events,amp_interpolated,impact_pred_interpolated,impact_pred_baseline,impact_pred_mean_amp,amplitude_abs,amp_spline,impact_pred_spline,error_spline
2025-09-11,56.2,34.25003987600682,1.6408740019999155,0.6369007778408259,3275,97.49999999999926,40.96576233333333,77.83494843333332,33.33333333333335,9,1.6408740019999155,56.2,95.90011165281908,78.79797879288928,97.49999999999926,1.7474619282432136,59.850640724133825,3.6506407241338223
2023-08-10,32.90000000000015,24.051325531926295,1.3679079748152725,0.7166035135485732,2779,103.70000000000212,40.96576233333333,46.75440266304347,7.82608695652174,9,1.3679079748152725,32.90000000000015,67.34371148939363,55.33412066282721,103.70000000000212,2.0166796744704607,48.5038193443082,15.60381934430805
2023-10-12,78.79999999999887,34.25003987600682,2.3007272483557206,0.8250492282164822,4600,103.9000000000012,40.96576233333333,77.83494843333332,33.33333333333335,9,2.3007272483557206,78.79999999999887,95.90011165281908,78.79797879288928,103.9000000000012,2.3133943492570643,79.2338487109833,0.4338487109844209
2024-01-11,58.00000000000027,34.25003987600682,1.6934286853379992,0.8614575815136214,2721,76.30000000000025,40.96576233333333,77.83494843333332,49.999999999999986,9,1.6934286853379992,58.00000000000027,95.90011165281908,78.79797879288928,76.30000000000025,1.7228590579718284,59.00799143627466,1.0079914362743878
2023-01-12,65.69999999999965,40.80014959632067,1.6102882134021494,0.7958162441316269,8640,265.1999999999988,40.228748249999995,76.43462167499999,200.0,8,1.6102882134021494,65.69999999999965,114.24041886969788,93.86760816269208,265.1999999999988,1.6104232576541417,65.70550982568305,0.005509825683404301
2023-07-12,82.40000000000025,32.5125385522488,2.534406837152397,0.8640780227593367,8512,187.50000000000043,47.29292616666667,89.85655971666667,33.33333333333333,6,2.534406837152397,82.40000000000025,91.03510794629663,74.80056468891296,187.50000000000043,2.636155605930215,85.7081107675329,3.3081107675326535
2023-11-14,117.40000000000084,32.5125385522488,3.610914595651609,0.5236089656899438,6117,67.20000000000059,47.29292616666667,89.85655971666667,100.0,6,3.610914595651609,117.40000000000084,91.03510794629663,74.80056468891296,67.20000000000059,3.8059113075466073,123.7398381130487,6.339838113047861
2023-12-12,42.800000000000615,27.908575027499367,1.5335788358175997,0.2260554628762908,5759,69.79999999999987,47.29292616666667,47.29292616666667,0.0968730800112948,6,1.5335788358175997,42.800000000000615,78.14401007699823,64.20837205206344,69.79999999999987,1.9424595830971907,54.21127901275309,11.411279012752473
2024-02-13,91.60000000000056,32.5125385522488,2.817374590815052,0.1927618490791693,10137,67.99999999999918,47.29292616666667,89.85655971666667,49.999999999999986,6,2.817374590815052,91.60000000000056,91.03510794629663,74.80056468891296,67.99999999999918,2.4049495380521853,78.19101457213462,13.408985427865943
2024-04-10,117.59999999999992,32.5125385522488,3.6170660685572913,0.498941983490839,7156,71.80000000000186,47.29292616666667,89.85655971666667,33.33333333333335,6,3.6170660685572913,117.59999999999992,91.03510794629663,74.80056468891296,71.80000000000186,2.815041996158304,91.52416142629627,26.07583857370365
2024-05-15,38.10000000000091,3.200869373597728,11.903016197495464,0.5563926047655618,8685,105.89999999999876,41.45533409090909,78.76513477272727,114.28571428571428,11,11.903016197495464,38.10000000000091,8.962434246073638,7.364138492470827,105.89999999999876,6.929720524924603,22.181130195822732,15.918869804178179
2024-06-12,77.19999999999949,32.5125385522488,2.374468541603922,0.8713096739567968,12232,148.0999999999999,47.29292616666667,89.85655971666667,100.0,6,2.374468541603922,77.19999999999949,91.03510794629663,74.80056468891296,148.0999999999999,1.8591144124915036,60.44452900917138,16.75547099082811
2024-08-14,22.200000000001108,27.908575027499367,0.7954544428773814,0.4979955128706878,8561,140.29999999999987,47.29292616666667,47.29292616666667,3.333333333333336,6,0.7954544428773814,22.200000000001108,78.14401007699823,64.20837205206344,140.29999999999987,1.4732399222012003,41.11602690225953,18.91602690225842
