date,impact_base,amplification,impact_pred,impact_real_pips,error_pips
2024-01-11,44.64300930058932,1.2892224077361358,57.55476793909247,58.00000000000027,0.44523206090779865
2024-03-12,46.23208474428957,1.0468269032557636,48.39699010392268,33.90000000000004,14.496990103922641
2024-05-15,42.160093026782846,1.1694137165610192,49.30259107700844,38.10000000000091,11.202591077007526
2024-06-12,46.23208474428957,1.0114214415643559,46.760121798594824,77.19999999999949,30.439878201404667
2024-07-11,44.64300930058932,1.2527246759414243,55.92539935913075,52.00000000000094,3.9253993591298126
2024-09-11,46.23208474428957,0.7337640228667969,33.923440487488584,39.39999999999833,5.476559512509745
2024-11-13,31.632216181205035,1.9413978463802732,61.410716370426684,72.20000000000005,10.789283629573362
2024-12-11,31.632216181205035,1.5877755358885304,50.224858998454664,24.399999999999977,25.824858998454687
2025-01-15,31.928027145438698,1.4415395189160864,46.02551289117545,52.09999999999937,6.0744871088239165
2025-03-12,46.23208474428957,0.8608142845113912,39.79723895062563,38.200000000001566,1.5972389506240674
2025-05-13,46.23208474428957,1.2150806061389436,56.17570955415838,34.4000000000011,21.77570955415728
2025-07-15,31.928027145438698,1.1166019016426143,35.65089582629386,44.29999999999934,8.649104173705481
2025-08-12,31.632216181205035,1.7893718204039104,56.601796251572885,62.699999999999974,6.098203748427089
2025-09-11,35.494277288824435,1.4487835747957931,51.4235259352962,60.7000000000002,9.276474064704004
2025-10-24,46.23208474428957,0.6729187516557447,31.110436752569935,37.400000000000766,6.289563247430831
