version,total_cas,mae,mae_median,taux_acceptable,taux_excellent,taux_mediocre,cas_ameliore,cas_degrade,cas_inchange,amélioration_moyenne,degradation_moyenne,mae_recent,taux_acceptable_recent,taux_excellent_recent,score_trading
Baseline (sans correction),38,16.42125236917912,9.024252384568943,63.1578947368421,55.26315789473685,28.947368421052634,0,0,38,0.0,0.0,15.680426670183618,50.0,40.0,68.82101268405891
V4 - Protection Ratio,38,17.497702598511527,14.750000000000803,50.0,34.21052631578947,34.21052631578947,8,17,13,18.743809565389725,11.226799131632303,20.50556206104839,40.0,30.0,59.65835421713979
V2 - Conditions Strictes,38,18.34491312482726,15.349999999999486,47.368421052631575,31.57894736842105,36.84210526315789,8,17,13,18.743809565389725,13.120563837514531,23.72496206104818,30.0,20.0,57.38364895398191
V3 - Protection Erreur,38,18.34491312482726,15.349999999999486,47.368421052631575,31.57894736842105,36.84210526315789,8,17,13,18.743809565389725,13.120563837514531,23.72496206104818,30.0,20.0,57.38364895398191
V1 - Correction Non-Sélective,38,17.889992177132658,16.93384299333484,44.73684210526316,28.947368421052634,39.473684210526315,13,21,4,17.2699594258085,13.348646916083085,20.012462459808923,40.0,40.0,55.36936998562611
