date,num_events,impact_simple,impact_base_formule,impact_amplifie,impact_real,correction_factor_real,ratio_vs_0758,num_events_log,num_events_sqrt,surprise_net,surprise_max,surprise_mean,surprise_std,surprise_range,same_direction_ratio,opposite_directions_count,correlation_directions,num_families,same_family_ratio,trend_r2,trend_amplitude,trend_duration,trend_direction,impact_simple_log
2025-09-11,92,1210.0753169559168,36.93736458778312,103.42462084579273,60.7000000000002,0.5869008704465505,0.7742755546788265,4.532599493153256,9.591663046625438,-69.21514373698993,500.0,61.780076466577505,116.87110670262844,1000.0,0.4393939393939394,1073,0.01469237832874215,52,0.15217391304347827,0.0,0.0,0.0,0,7.0992639356372225
2025-08-01,133,1601.8328489652483,38.58064842088609,108.02581557848106,188.4000000000019,1.744027564069894,2.3008279209365354,4.897839799950911,11.532562594670797,1819.5053994335929,1349.9999999999998,62.737448862322466,195.72467109036467,1649.9999999999998,0.42857142857142855,2352,0.020408163265306145,64,0.10526315789473684,0.0,0.0,0.0,0,7.379527873289465
2025-08-12,81,810.6981157867605,34.554673592131365,96.75308605796782,62.699999999999974,0.6480413447735861,0.8549358110469474,4.406719247264253,9.0,-707.9302863760765,1300.0,61.651383272423836,191.16069821102653,1795.5555555555557,0.5849056603773585,682,0.02883588465646114,42,0.1728395061728395,0.0,0.0,0.0,0,6.6991284924471515
2025-11-20,111,2267.9084542388478,31.83708356211391,89.14383397391894,35.49999999999942,0.3982328156357483,0.5253731076988764,4.718498871295094,10.535653752852738,-373.88133284173966,400.0,44.368351569883664,82.67350229938545,794.5470282746683,0.43023255813953487,1813,0.019469983775013078,71,0.07207207207207207,0.0,0.0,0.0,0,7.727054137663064
2024-10-04,74,1123.9316857530605,39.37098578100333,110.23876018680932,72.09999999999938,0.6540349317954915,0.8628429179360046,4.31748811353631,8.602325267042627,-650.8232893969001,630.7692307692307,89.24290722281432,139.68028551661288,980.7692307692307,0.6,726,0.040000000000000036,39,0.08108108108108109,0.0,0.0,0.0,0,7.0254775890197
2024-11-13,68,1068.919153076045,31.335146958352254,87.7384114833863,72.20000000000005,0.8229006974177037,1.0856209728465747,4.23410650459726,8.246211251235321,-590.9441192363316,178.37837837837836,21.81985569330168,42.699728876417524,269.9416538126215,0.2857142857142857,490,0.18367346938775508,41,0.11764705882352941,0.0,0.0,0.0,0,6.975338366728457
2023-07-12,83,1423.672037088622,32.14318891389,90.00092895889199,82.40000000000025,0.9155461055033834,1.2078444663633028,4.430816798843313,9.1104335791443,1654.6487555253786,4250.0,189.58158440033017,569.8281152378647,6187.786259541985,0.4444444444444444,1280,0.012345679012345623,56,0.10843373493975904,0.0,0.0,0.0,0,7.261696916802817
2023-10-12,85,1357.9599469456682,33.925718707837504,94.992012381945,78.79999999999887,0.8295434323799659,1.0943844754353111,4.454347296253507,9.219544457292887,2868.9173664279606,2159.9999999999995,109.47627323401183,329.1910047369828,2559.9999999999995,0.45569620253164556,1548,0.007851305880467452,56,0.09411764705882353,0.0,0.0,0.0,0,7.214474941270662
2025-01-15,139,1657.9073754249157,32.046117316746816,89.72912848689109,52.09999999999937,0.5806364207316567,0.7660111091446657,4.941642422609304,11.789826122551595,-700.0032906137407,4880.180180180181,118.01763460332303,468.31713029543624,5880.180180180181,0.6694915254237288,3081,0.11490950876185024,64,0.1510791366906475,0.0,0.0,0.0,0,7.41391445706153
2025-05-13,84,909.9946779976461,33.15296600476125,92.82830481333148,34.4000000000011,0.3705766260536168,0.4888873694638744,4.442651256490317,9.16515138991168,-893.6308590962259,760.0,52.70807952183721,112.5900046795849,997.5,0.4583333333333333,1287,0.006944444444444642,43,0.16666666666666666,0.0,0.0,0.0,0,6.814537055308367
