date,num_events,impact_simple,impact_base_formule,impact_amplifie,impact_real,correction_factor_real,ratio_vs_0758,num_events_log,num_events_sqrt,surprise_net,surprise_max,surprise_mean,surprise_std,surprise_range,same_direction_ratio,opposite_directions_count,correlation_directions,num_families,same_family_ratio,trend_r2,trend_amplitude,trend_duration,trend_direction,impact_simple_log,correction_factor_new,amplification_reelle
2025-09-11,92,1210.0753169559168,36.93736458778312,70.18099271678793,60.7000000000002,0.8649065459212323,0.7742755546788265,4.532599493153256,9.591663046625438,-69.21514373698993,500.0,61.780076466577505,116.87110670262844,1000.0,0.4393939393939394,1073,0.0146923783287421,52,0.1521739130434782,0.0,0.0,0.0,0,7.0992639356372225,0.8649065459212323,1.9
2025-08-01,133,1601.8328489652483,38.58064842088609,73.30323199968358,188.4000000000019,2.5701458838924753,2.300827920936535,4.897839799950911,11.532562594670797,1819.5053994335929,1349.9999999999998,62.737448862322466,195.72467109036467,1649.9999999999998,0.4285714285714285,2352,0.0204081632653061,64,0.1052631578947368,0.0,0.0,0.0,0,7.379527873289465,2.5701458838924753,1.9
2025-08-12,81,810.6981157867605,34.554673592131365,58.6981021365114,62.699999999999974,1.0681776363770936,0.8549358110469474,4.406719247264253,9.0,-707.9302863760765,1300.0,61.65138327242384,191.16069821102653,1795.5555555555557,0.5849056603773585,682,0.0288358846564611,42,0.1728395061728395,0.0,0.0,0.0,0,6.6991284924471515,1.0681776363770936,1.6987022603471464
2025-11-20,111,2267.908454238848,31.83708356211391,51.2577045350034,35.49999999999942,0.6925788098013013,0.5253731076988764,4.718498871295094,10.535653752852738,-373.88133284173966,400.0,44.368351569883664,82.67350229938545,794.5470282746683,0.4302325581395348,1813,0.019469983775013,71,0.072072072072072,0.0,0.0,0.0,0,7.727054137663064,0.6925788098013013,1.61
2024-10-04,74,1123.9316857530605,39.37098578100333,74.80487298390632,72.09999999999938,0.9638409521196718,0.8628429179360046,4.31748811353631,8.602325267042627,-650.8232893969001,630.7692307692307,89.24290722281432,139.68028551661288,980.7692307692308,0.6,726,0.04,39,0.081081081081081,0.0,0.0,0.0,0,7.0254775890197,0.9638409521196718,1.9
2024-11-13,68,1068.919153076045,31.335146958352254,53.80416679762467,72.20000000000005,1.341903504826461,1.0856209728465749,4.23410650459726,8.246211251235321,-590.9441192363316,178.37837837837836,21.81985569330168,42.69972887641752,269.9416538126215,0.2857142857142857,490,0.183673469387755,41,0.1176470588235294,0.0,0.0,0.0,0,6.975338366728457,1.341903504826461,1.717054873530229
2023-07-12,83,1423.672037088622,32.14318891389,14.31231656599749,82.40000000000025,5.7572790274749925,1.2078444663633028,4.430816798843313,9.1104335791443,1654.6487555253786,4250.0,189.58158440033017,569.8281152378647,6187.786259541985,0.4444444444444444,1280,0.0123456790123456,56,0.108433734939759,0.0,0.0,0.0,0,7.261696916802817,5.7572790274749925,0.4452674749956973
2023-10-12,85,1357.9599469456682,33.925718707837504,52.832596535302216,78.79999999999887,1.4915034499079654,1.0943844754353111,4.454347296253507,9.219544457292889,2868.9173664279606,2159.9999999999995,109.47627323401184,329.1910047369828,2559.9999999999995,0.4556962025316455,1548,0.0078513058804674,56,0.0941176470588235,0.0,0.0,0.0,0,7.214474941270662,1.4915034499079654,1.5573022045689735
2025-01-15,139,1657.9073754249157,32.046117316746816,34.61758096541662,52.09999999999937,1.5050156177015341,0.7660111091446657,4.941642422609304,11.789826122551595,-700.0032906137407,4880.180180180181,118.01763460332305,468.31713029543624,5880.180180180181,0.6694915254237288,3081,0.1149095087618502,64,0.1510791366906475,0.0,0.0,0.0,0,7.41391445706153,1.5050156177015341,1.0802425961077662
2025-05-13,84,909.994677997646,33.15296600476125,59.84110363859405,34.4000000000011,0.5748557080056106,0.4888873694638744,4.442651256490317,9.16515138991168,-893.6308590962259,760.0,52.70807952183721,112.5900046795849,997.5,0.4583333333333333,1287,0.0069444444444446,43,0.1666666666666666,0.0,0.0,0.0,0,6.814537055308367,0.5748557080056106,1.805
2025-07-15,126,1220.2463728159605,33.79351664438182,58.16278699862736,44.29999999999934,0.7616553863047316,0.6176509322654918,4.844187086458591,11.224972160321824,-584.7788362735802,1250.0,60.00379973183358,176.4629687096294,2305.0,0.4333333333333333,1989,0.0177777777777776,59,0.1349206349206349,0.0,0.0,0.0,0,7.107627233294003,0.7616553863047316,1.7211226523326906
2025-11-26,109,3005.054072750169,30.61181152550651,26.832605776020273,34.50000000000175,1.2857491474359029,0.5310101559447944,4.700480365792417,10.44030650891055,-990.5878042842526,1000.0,108.1100446471181,199.57726398328447,1654.8,0.6349206349206349,920,0.0728143109095488,92,0.036697247706422,0.0,0.0,0.0,0,8.008383558424642,1.2857491474359029,0.8765441977735519
2024-12-13,104,1025.8260329625148,26.212231114446205,73.39424712044936,32.7999999999995,0.4469015118606026,0.5895798309506631,4.653960350157523,10.198039027185567,-2579.9319010163654,700.0,73.44050138128117,132.8709260786879,1332.0,0.3333333333333333,1568,0.1111111111111112,54,0.125,0.0,0.0,0.0,0,6.9342278021646,,2.8
2024-09-12,101,1458.4266694149208,30.94298771096707,57.615843117820674,18.799999999998818,0.3262991389634624,0.286265075739713,4.624972813284271,10.04987562112089,680.9989818528794,1000.0,88.24165302078893,203.01118352983633,1900.0,0.654320987654321,1484,0.0952598689224203,62,0.0891089108910891,0.0,0.0,0.0,0,7.285798945397055,0.3262991389634624,1.8619999999999997
2024-08-13,65,807.7118131605677,27.390829800264783,12.176521278697935,34.30000000000044,2.816896485863015,0.5900131535232956,4.189654742026425,8.06225774829855,-1352.2848890312384,1000.0,73.93826683885351,188.4549439111493,1460.0,0.4193548387096774,936,0.0260145681581684,43,0.123076923076923,0.0,0.0,0.0,0,6.695442627588221,2.816896485863015,0.4445473674032404
2024-07-11,90,1284.3667288789109,31.4219448960775,43.23355034977201,52.00000000000094,1.2027695985942815,0.7797278455771828,4.51085950651685,9.486832980505138,-3315.7164311417987,1100.0,62.508701304387095,148.195288374357,1326.3243243243244,0.7837837837837838,928,0.3221329437545653,55,0.0888888888888888,0.0,0.0,0.0,0,7.158799348736401,1.2027695985942815,1.3759030668776009
2024-06-12,94,1865.834268505096,25.206745672394504,29.588090111597403,77.19999999999949,2.6091579317497087,1.443023101589072,4.553876891600541,9.69535971483266,18896.31884341487,19584.615384615387,351.7275903045191,2255.848911029969,19984.615384615387,0.3783783783783784,1288,0.0591672753834917,63,0.0957446808510638,0.0,0.0,0.0,0,7.531999370723705,2.6091579317497087,1.1738163464711426
2024-05-15,136,1805.8846081227744,32.303573070785625,60.997523590133866,38.10000000000091,0.6246155213777146,0.5557086753729771,4.919980925828125,11.6619037896906,-917.0909924611568,1199.9999999999998,68.46995430563558,167.83083068110287,1628.5714285714284,0.652542372881356,3157,0.0930767020970988,73,0.088235294117647,0.0,0.0,0.0,0,7.499359430292425,0.6246155213777146,1.8882593407383217
2024-04-10,101,1345.2710129229567,33.37465627611343,40.71256789497441,117.59999999999992,2.888542926188563,1.660210985181292,4.624972813284271,10.04987562112089,-914.513728901522,1406.6666666666667,100.9609922358934,228.5089163848195,2105.6691604322527,0.3647058823529411,1674,0.0732179930795847,54,0.1188118811881188,0.0,0.0,0.0,0,7.205093836833806,2.888542926188563,1.2198647847682196
2024-03-12,82,895.9505611333,31.950436434781196,36.06021920058088,12.699999999998823,0.35218865224741186,0.1872835742282852,4.418840607796598,9.055385138137416,-2213.5512240246567,1920.0,112.2637674136447,309.25252953033004,2820.0,0.4583333333333333,1287,0.0069444444444446,42,0.1097560975609756,0.0,0.0,0.0,0,6.799000744746443,0.35218865224741186,1.1286299413840175
2024-02-13,56,956.6597309680913,32.47110689997204,61.69510310994688,91.60000000000056,1.4847207538783127,1.3291412704338457,4.04305126783455,7.483314773547883,797.8599068407729,1300.0,77.90112320164685,198.04577806181243,1876.923076923077,0.4339622641509434,690,0.0174439302242791,33,0.125,0.0,0.0,0.0,0,6.864492527996153,1.4847207538783127,1.9
