date,amplification_reelle,impact_base,impact_predicted
2025-09-11,1.9,25.673686733449994,48.78000479355499
2025-08-01,1.9,25.198288719404353,188.3
2025-08-12,1.6987022603471464,39.045208066846335,50.6
2025-11-20,1.6099999999999999,36.052335293071074,36.6
2024-10-04,1.9,5.466744656283183,72.2
2024-11-13,1.7170548735302287,34.93858196940845,87.34645492352114
2023-07-12,0.44526747499569735,35.18649099656702,52.5
2023-10-12,1.5573022045689735,40.958637308066464,48.7
2025-01-15,1.0802425961077662,4.225361562750802,47.7
2025-05-13,1.805,48.096265702186386,34.7
2025-07-15,1.7211226523326906,32.704873662525586,81.76218415631396
2025-11-26,0.8765441977735519,27.594413770702943,34.4
2024-09-12,1.8619999999999997,33.048134156591594,26.6
2024-08-13,0.4445473674032404,33.676572023822324,34.2
2024-07-11,1.3759030668776009,40.958637308066464,42.0
2024-06-12,1.1738163464711426,48.08896412284897,80.9
2024-05-15,1.8882593407383215,16.792311250405657,31.708238571163683
2024-04-10,1.2198647847682196,48.463948530224165,134.3
2024-03-12,1.1286299413840175,54.76543974187606,33.7
2024-02-13,1.9,48.096265702186386,91.38290483415413
2024-01-11,1.7042872504142066,26.247798451096635,57.6
2023-12-12,1.4052271627175852,31.41520928084475,44.145505403900614
2023-11-14,0.44526747499569735,48.583131702533805,139.1
2023-09-13,0.44526747499569735,36.53908095622304,28.2
2023-08-10,1.3537499999999998,28.081089435623444,38.01477482347523
