date,impact_base,amplification,impact_pred_sans,impact_pred_avec,impact_real,error_sans,error_avec,improvement_pips,pattern_type,pattern_impact_pips,pattern_wave1_pips,pattern_wave2_pips,pattern_pullback_pips,pattern_confidence,pattern_base_ratio,pattern_ratio_predicted,pattern_used,pattern_reason
2023-07-07,30.047725605332506,2.0,60.09545121066501,38.7,81.99999999999986,21.904548789334847,43.299999999999855,-21.39545121066501,NONE,0,0,0,0,0,0.0,1.2879510585364238,True,"Pattern prédit (ratio 1.29, confiance 0.9)"
2025-07-15,32.61349230622606,1.1673349896639718,38.07087070419442,65.0,44.29999999999934,6.22912929580491,20.700000000000657,-14.470870704195749,NONE,0,0,0,0,0,0.0,1.9930401623254317,True,"Pattern prédit (ratio 1.99, confiance 0.8)"
2023-08-04,30.047725605332506,2.0,60.09545121066501,48.2,92.00000000000097,31.904548789335955,43.80000000000096,-11.895451210665009,NONE,0,0,0,0,0,0.0,1.6041147550763726,True,"Pattern prédit (ratio 1.60, confiance 0.9)"
2023-05-26,27.86469140544329,1.5,41.79703710816493,30.599999999999998,53.800000000001624,12.002962891836695,23.200000000001623,-11.197037108164931,NONE,0,0,0,0,0,0.0,1.0981639650967883,True,"Pattern prédit (ratio 1.10, confiance 0.9)"
2024-11-13,30.266963591862055,2.0,60.53392718372411,50.4,72.20000000000005,11.666072816275936,21.800000000000047,-10.133927183724111,NONE,0,0,0,0,0,0.0,1.6651819019451015,True,"Pattern prédit (ratio 1.67, confiance 0.9)"
2023-03-10,28.28326710873072,2.0,56.56653421746144,48.8,109.7999999999999,53.23346578253846,60.9999999999999,-7.766534217461441,NONE,0,0,0,0,0,0.0,1.7254018007324197,True,"Pattern prédit (ratio 1.73, confiance 0.9)"
2025-06-11,32.5125385522488,2.0,65.0250771044976,39.8,55.29999999999813,9.72507710449947,15.499999999998131,-5.774922895498662,NONE,0,0,0,0,0,0.0,1.2241431082362269,True,"Pattern prédit (ratio 1.22, confiance 0.9)"
2025-08-12,27.914408106270372,2.0,55.828816212540744,50.6,62.699999999999974,6.8711837874592305,12.099999999999971,-5.2288162125407425,NONE,0,0,0,0,0,0.0,1.8126839661928493,True,"Pattern prédit (ratio 1.81, confiance 0.9)"
2024-09-27,25.99914301964882,1.5,38.99871452947323,36.6,47.499999999998096,8.501285470524863,10.899999999998094,-2.3987145294732315,NONE,0,0,0,0,0,0.0,1.407738707862009,True,"Pattern prédit (ratio 1.41, confiance 0.8)"
2024-07-11,34.250039876006824,1.7870857510452025,61.20775823514179,42.0,52.00000000000094,9.207758235140853,10.000000000000938,-0.792241764860087,NONE,0,0,0,0,0,0.0,1.2262759445550968,True,"Pattern prédit (ratio 1.23, confiance 0.9)"
