date,impact_real,r_squared_72h,num_events,amp_optimal,impact_pred_optimal,error_optimal,amp_baseline,impact_pred_baseline,error_baseline,gain_vs_baseline
2025-10-15,5.800000000000249,0.0801289498065855,10,0.706262208187422,5.800003172374894,3.1723746447553935e-06,2.5,20.530629789962287,14.730629789962038,14.730626617587394
2025-09-11,57.10000000000104,0.7422197609853229,11,2.537371747339895,57.1000167570636,1.6757062560657232e-05,2.5,56.259017639931514,0.8409823600695248,0.8409656030069641
2025-08-12,62.599999999999326,0.572074324237065,11,4.9999936677422125,40.42356211064305,22.17643788935628,2.5,20.211806652595538,42.388193347403785,20.211755458047506
2025-07-15,24.69999999999972,0.0082973417503404,11,1.0975999018746798,24.69995689646188,4.3103537837652084e-05,2.5,56.259017639931514,31.559017639931795,31.558974536393958
2025-06-11,53.90000000000006,0.1323917070152599,11,2.3951711832856284,53.899991140448726,8.859551336115601e-06,2.5,56.25901763993152,2.3590176399314586,2.3590087803801225
2025-05-13,34.79999999999927,0.5534985137769493,11,1.5464181186856925,34.79998568713924,1.4312860031395758e-05,2.5,56.25901763993152,21.45901763993225,21.459003327072217
2025-04-10,40.19999999999912,0.3662548335653763,11,1.786380873465158,40.200013228765044,1.32287659226904e-05,2.5,56.25901763993152,16.0590176399324,16.059004411166477
2025-02-12,4.999999999999449,0.6606632993488611,8,0.5000063322577876,11.076736614863455,6.076736614864005,2.5,55.38298167568324,50.382981675683794,44.30624506081979
2025-01-15,49.89999999999828,0.7537154988824788,11,2.2174229112805617,49.90001387236857,1.3872370288936509e-05,2.5,56.25901763993152,6.359017639933242,6.359003767562953
2024-12-11,21.599999999999397,0.6130136575453297,9,2.612084130023419,21.59999475875244,5.241246956444456e-06,2.5,20.673142291323117,0.9268577086762804,0.9268524674293239
2024-11-13,26.399999999999757,0.7704245844045277,11,3.265418935105604,26.400006462431552,6.462431795029033e-06,2.5,20.211806652595538,6.188193347404219,6.188186884972424
2024-10-10,22.399999999997977,0.7819522983425488,9,0.9801253885753008,22.400003356931375,3.356933397924422e-06,2.5,57.13555535351392,34.73555535351595,34.73555199658255
2024-09-11,0.0,0.4598318456687471,9,0.5000063322577876,11.427255789528918,11.427255789528918,2.5,57.13555535351392,57.13555535351392,45.70829956398501
2024-08-14,18.700000000000383,0.8037024236891039,9,2.261387235526522,18.699992038328645,7.96167173788831e-06,2.5,20.673142291323117,1.973142291322734,1.9731343296509962
2024-07-11,51.399999999999224,0.101517382536637,9,2.2490373533319072,51.399999277366256,7.226329685749988e-07,2.5,57.13555535351392,5.735555353514698,5.73555463088173
2024-06-12,77.70000000000054,0.2767595941161614,21,2.5192418984947182,77.69998708234911,1.2917651432076127e-05,2.5,77.10651677472491,0.5934832252756337,0.5934703076242016
2024-05-15,37.8999999999996,0.8375835765874081,8,1.8408021246730697,37.89997471347979,2.528651980782115e-05,2.5,51.47209225463452,13.572092254634917,13.57206696811511
2024-04-10,0.1000000000006551,0.4585892605687338,10,0.5000063322577876,11.46016135912863,11.360161359127975,2.5,57.30008111787338,57.20008111787273,45.839919758744756
2024-03-12,7.300000000001194,0.2274954386172347,9,0.5000063322577876,11.427255789528918,4.127255789527723,2.5,57.13555535351392,49.83555535351273,45.70829956398501
2024-02-13,6.500000000000394,0.4257979473888507,9,0.5000063322577876,11.427255789528918,4.927255789528523,2.5,57.13555535351392,50.635555353513524,45.708299563985
2024-02-09,23.300000000001653,0.3798500784093896,6,2.8733705445885445,23.299992195256763,7.804744889483572e-06,2.5,20.27235248090256,3.0276475190990944,3.027639714354205
2024-01-11,11.000000000001007,0.1585103198353635,7,0.5000063322577876,11.57131504077261,0.5713150407716032,2.5,57.85584248764476,46.85584248764375,46.28452744687215
2023-12-12,17.799999999998928,0.3056579730397492,9,2.1525518766208735,17.80000449393517,4.493936241800611e-06,2.5,20.673142291323117,2.8731422913241893,2.8731377973879475
2023-11-14,117.3999999999986,0.5615336785927683,9,4.9999936677422125,114.27096598820172,3.1290340117968753,2.5,57.13555535351392,60.26444464648468,57.1354106346878
2023-10-12,1.3999999999980697,0.8019093933341708,9,0.5000063322577876,11.427255789528918,10.027255789530848,2.5,57.13555535351392,55.73555535351585,45.708299563985
2023-09-13,23.300000000001653,0.1290084786190336,9,1.019504220799181,23.29997593624507,2.406375658381421e-05,2.5,57.13555535351392,33.83555535351227,33.835531289755686
2023-08-10,35.30000000000033,0.0010498495522444,9,4.268823088978401,35.29999485397438,5.146025948477018e-06,2.5,20.673142291323117,14.626857708677214,14.626852562651266
2023-07-12,81.39999999999814,0.7400707409548941,9,3.561704873351088,81.39999437769255,5.622305593533383e-06,2.5,57.13555535351392,24.264444646484222,24.26443902417863
2023-06-13,27.29999999999899,0.6320125885037696,10,1.1959860779161684,27.30001413320333,1.4133204338406813e-05,2.5,57.06591121187972,29.76591121188073,29.765897078676392
